t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0.33870053291321,"[0.0, 0.0, 0.5863813757896423]","[0.0, 0.0, 0.5863813757896423]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[473.6607360839844, 473.6607360839844, 473.6607360839844, 473.6607360839844]"
0.36967396736145,"[0.0, 0.0, 0.5863813757896423]","[0.0, 0.0, 0.5863813757896423]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[473.6607360839844, 473.6607360839844, 473.6607360839844, 473.6607360839844]"
0.40171766281128,"[0.0, 0.0, 0.5863813757896423]","[0.0, 0.0, 0.5863813757896423]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[473.6607360839844, 473.6607360839844, 473.6607360839844, 473.6607360839844]"
0.43267250061035,"[0.0, 0.0, 0.5863813757896423]","[0.0, 0.0, 0.5863813757896423]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[473.6607360839844, 473.6607360839844, 473.6607360839844, 473.6607360839844]"
0.46370577812195,"[0.0, 0.0, 0.5863813757896423]","[0.0, 0.0, 0.5863813757896423]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[473.6607360839844, 473.6607360839844, 473.6607360839844, 473.6607360839844]"
0.49425339698792,"[0.0, 0.0, 0.5863813757896423]","[0.0, 0.0, 0.5863813757896423]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[473.6607360839844, 473.6607360839844, 473.6607360839844, 473.6607360839844]"
0.52589082717896,"[0.0, 0.0, 0.5863813757896423]","[0.0, 0.0, 0.5863813757896423]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[473.6607360839844, 473.6607360839844, 473.6607360839844, 473.6607360839844]"
0.55739808082581,"[0.0, 0.0, 0.5863813757896423]","[0.0, 0.0, 0.5863813757896423]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[473.6607360839844, 473.6607360839844, 473.6607360839844, 473.6607360839844]"
0.58898067474365,"[0.0, 0.0, 0.5863813757896423]","[0.0, 0.0, 0.5863813757896423]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[473.6607360839844, 473.6607360839844, 473.6607360839844, 473.6607360839844]"
0.61998057365417,"[0.0, 0.0, 0.5863813757896423]","[0.0, 0.0, 0.5863813757896423]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[473.6607360839844, 473.6607360839844, 473.6607360839844, 473.6607360839844]"
