t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0.34074234962463,"[-0.8556810021400452, -0.08199465274810791, -0.7598415613174438]","[-0.8556810021400452, -0.08199465274810791, -0.7598415613174438]","[-0.07970070838928223, 0.11809854209423065, -1.66486656665802]","[-0.07970070838928223, 0.11809854209423065, -1.66486656665802]","[0.010483107529580593, -0.010508504696190357, 0.687364935874939, 0.7261605858802795]","[[0.054838032517382396, -0.9984949726664234, -0.0008502827841420091], [0.9980543255276024, 0.05483909877232862, -0.029671194324329186], [0.029673164923503026, 0.0007784836977756671, 0.9995593515711468]]","[0.028452755883336067, -0.015496022067964077, 0.36831405758857727]",[0.0],"[0.010483107529580593, -0.010508504696190357, 0.687364935874939, 0.7261605858802795]",[0.44],"[0.22423863410949707, 0.6397057324647903, -17.2877364730835]","[653.6715698242188, 653.2596435546875, 627.8140258789062, 627.8104858398438]"
0.37176752090454,"[-0.8580095767974854, -0.07825717329978943, -0.8120012879371643]","[-0.8580095767974854, -0.07825717329978943, -0.8120012879371643]","[-0.07559243589639664, 0.1310928612947464, -1.8120133876800537]","[-0.07559243589639664, 0.1310928612947464, -1.8120133876800537]","[0.010859745554625988, -0.01044390257447958, 0.6914551258087158, 0.7222623229026794]","[[0.043561467783735486, -0.9990508069482474, -6.84212097766812e-05], [0.9985971344500227, 0.043543749838683476, -0.030130150037973924], [0.0301045281246749, 0.001244190163690928, 0.9995459816510072]]","[0.025200307369232178, -0.01261079590767622, 0.38403913378715515]",[0.0],"[0.010859745554625988, -0.01044390257447958, 0.6914551258087158, 0.7222623229026794]",[0.44],"[0.20541362464427948, 0.6497159600257874, -17.167341051101687]","[652.04833984375, 651.7120971679688, 629.42919921875, 629.4429321289062]"
0.40247988700867,"[-0.860434889793396, -0.07369257509708405, -0.8744359612464905]","[-0.860434889793396, -0.07369257509708405, -0.8744359612464905]","[-0.07145902514457703, 0.14557431638240814, -1.9714449644088745]","[-0.07145902514457703, 0.14557431638240814, -1.9714449644088745]","[0.011204383336007595, -0.010376399382948875, 0.6961122751235962, 0.7177705764770508]","[[0.030640061516192474, -0.9995303403290982, 0.0007032692170596544], [0.9990652957037619, 0.030604324432621066, -0.03053063133642331], [0.030494765884480968, 0.001638075408200823, 0.9995335842598106]]","[0.0225885808467865, -0.00999467447400093, 0.39926716685295105]",[0.0],"[0.011204383336007595, -0.010376399382948875, 0.6961122751235962, 0.7177705764770508]",[0.44],"[0.20667053759098053, 0.7240727543830872, -17.781578836441042]","[651.7176513671875, 651.4578247070312, 631.9871215820312, 631.9832763671875]"
0.43448114395142,"[-0.8625264763832092, -0.06912476569414139, -0.9357686638832092]","[-0.8625264763832092, -0.06912476569414139, -0.9357686638832092]","[-0.06802098453044891, 0.15897084772586823, -2.1173670291900635]","[-0.06802098453044891, 0.15897084772586823, -2.1173670291900635]","[0.011467404663562775, -0.01031566970050335, 0.7004669904708862, 0.7135181427001953]","[[0.018479164438579, -0.999828400044827, 0.0013442418955715851], [0.9993552242095016, 0.018428987781882955, -0.030815974773880317], [0.030785911837218904, 0.0019128303346671593, 0.9995241711778244]]","[0.020677629858255386, -0.008043988607823849, 0.41145142912864685]",[0.0],"[0.011467404663562775, -0.01031566970050335, 0.7004669904708862, 0.7135181427001953]",[0.44],"[0.17190203070640564, 0.6698265671730042, -17.10610323905945]","[652.910888671875, 652.7094116210938, 635.7285766601562, 635.7219848632812]"
0.4655179977417,"[-0.864713191986084, -0.06363286077976227, -1.0082929134368896]","[-0.864713191986084, -0.06363286077976227, -1.0082929134368896]","[-0.06456345319747925, 0.1738927811384201, -2.2778635025024414]","[-0.06456345319747925, 0.1738927811384201, -2.2778635025024414]","[0.011712413281202316, -0.010248798877000809, 0.7053674459457397, 0.708670973777771]","[[0.0047034566431254365, -0.99998694591518, 0.0019970575236119004], [0.9995067932428465, 0.004639171150228494, -0.03105883282631794], [0.031049162644478656, 0.0021421564747914346, 0.9995155629934183]]","[0.019135266542434692, -0.006279430817812681, 0.4232507348060608]",[0.0],"[0.011712413281202316, -0.010248798877000809, 0.7053674459457397, 0.708670973777771]",[0.44],"[0.17287656664848328, 0.746096670627594, -17.8348236656189]","[653.3448486328125, 653.1782836914062, 637.7937622070312, 637.7840576171875]"
0.49551796913147,"[-0.8666064143180847, -0.058211080729961395, -1.0788060426712036]","[-0.8666064143180847, -0.058211080729961395, -1.0788060426712036]","[-0.061695396900177, 0.18756550550460815, -2.422677993774414]","[-0.061695396900177, 0.18756550550460815, -2.422677993774414]","[0.011902958154678345, -0.010186911560595036, 0.7099053263664246, 0.7041229009628296]","[[-0.008138691141126309, -0.9999637043842446, 0.002554271347249726], [0.9994786868561201, -0.008214505632503588, -0.031225776404002814], [0.031245622226841574, 0.002298805299642326, 0.9995090928400492]]","[0.018047381192445755, -0.004961075261235237, 0.4326916038990021]",[0.0],"[0.011902958154678345, -0.010186911560595036, 0.7099053263664246, 0.7041229009628296]",[0.44],"[0.1434028148651123, 0.6836362183094025, -17.050724563598635]","[653.5482177734375, 653.4197387695312, 639.9766845703125, 639.9664916992188]"
0.52755856513977,"[-0.8684173822402954, -0.05237730219960213, -1.153666377067566]","[-0.8684173822402954, -0.05237730219960213, -1.153666377067566]","[-0.05908040702342987, 0.2013659030199051, -2.5680160522460938]","[-0.05908040702342987, 0.2013659030199051, -2.5680160522460938]","[0.012068931013345718, -0.01012348011136055, 0.7145070433616638, 0.6994508504867554]","[[-0.021245599725983277, -0.9997694774823435, 0.0030849188822092977], [0.9992807591500276, -0.02133194821846285, -0.03134984380929895], [0.031408425977316856, 0.0024166524377036147, 0.99950371210926]]","[0.017243772745132446, -0.003869138192385435, 0.4410526156425476]",[0.0],"[0.012068931013345718, -0.01012348011136055, 0.7145070433616638, 0.6994508504867554]",[0.44],"[0.13074949383735657, 0.6900198757648468, -17.076902923583987]","[655.57080078125, 655.4739990234375, 643.7581176757812, 643.7476196289062]"
0.55821347236633,"[-0.870153546333313, -0.04612833261489868, -1.2328782081604004]","[-0.870153546333313, -0.04612833261489868, -1.2328782081604004]","[-0.056705642491579056, 0.21523022651672363, -2.7124264240264893]","[-0.056705642491579056, 0.21523022651672363, -2.7124264240264893]","[0.012215133756399155, -0.010058123618364334, 0.7191599607467651, 0.6946642994880676]","[[-0.034584429984022114, -0.9993952233547091, 0.0035952314305061073], [0.9989037780533622, -0.03468051726795096, -0.031437634241222145], [0.0315433090205679, 0.002504035094946122, 0.999499249313182]]","[0.016633866354823112, -0.002963415114209056, 0.4484573006629944]",[0.0],"[0.012215133756399155, -0.010058123618364334, 0.7191599607467651, 0.6946642994880676]",[0.44],"[0.11873822659254074, 0.6932161748409271, -17.030518589019778]","[656.143310546875, 656.0732421875, 645.9620361328125, 645.9515380859375]"
0.58751606941223,"[-0.8718219995498657, -0.03946263715624809, -1.316409707069397]","[-0.8718219995498657, -0.03946263715624809, -1.316409707069397]","[-0.054566990584135056, 0.22916336357593536, -2.8565852642059326]","[-0.054566990584135056, 0.22916336357593536, -2.8565852642059326]","[0.012345387600362301, -0.009990605525672436, 0.7238531112670898, 0.689771294593811]","[[-0.04812627777963119, -0.9988328711040705, 0.004090028634202492], [0.9983395195137635, -0.04823147057209831, -0.03149444976112892], [0.031654960263079124, 0.0025675261883282285, 0.9994955584124544]]","[0.016193315386772156, -0.0022129956632852554, 0.45501506328582764]",[0.0],"[0.012345387600362301, -0.009990605525672436, 0.7238531112670898, 0.689771294593811]",[0.44],"[0.10693259537220001, 0.6966568529605865, -17.01794200897217]","[658.593017578125, 658.5372314453125, 649.3997802734375, 649.3903198242188]"
0.61817145347595,"[-0.8734298944473267, -0.03237706795334816, -1.4042946100234985]","[-0.8734298944473267, -0.03237706795334816, -1.4042946100234985]","[-0.05266962945461273, 0.24322116374969482, -3.002720355987549]","[-0.05266962945461273, 0.24322116374969482, -3.002720355987549]","[0.01246282085776329, -0.009920790791511536, 0.7285764813423157, 0.6847792267799377]","[[-0.0618442225101572, -0.9980753611640812, 0.004573133441784005], [0.9975807970104734, -0.06195802213776469, -0.031524671354977496], [0.03174733923081119, 0.00261245196692661, 0.9994925120126767]]","[0.015874922275543213, -0.0015936860581859946, 0.46082279086112976]",[0.0],"[0.01246282085776329, -0.009920790791511536, 0.7285764813423157, 0.6847792267799377]",[0.44],"[0.09486805647611618, 0.702890008687973, -17.116754589080813]","[662.2285766601562, 662.1891479492188, 654.2413940429688, 654.233154296875]"
