idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[5.218013757257722e-05, 4.816658148517499e-17, -0.8505667448043823]","[-0.771321804491331, -14.546086117642421, -12.249199868721762]","[0.003353912616148591, 4.204705855004711e-15, -0.011259649880230427]","[-3.0584366845894384, 3.500469244016813, 4.425653466749857]","[1.0, 3.3149862754006685e-19, 3.912455213139765e-06, -2.3481572589134636e-12]","[[0.9999999999693854, 4.696314517757634e-12, 7.824910426159753e-06], [-4.696314517752446e-12, 1.0, -1.9037117472604653e-17], [-7.824910426159753e-06, -1.771112296246468e-17, 0.9999999999693854]]","[4.021869981691607e-15, 0.001108786673285067, -3.913512014452891e-10]",[1.0],"[0.9364493650341079, -0.24395071584387704, 0.2439507158462707, 0.06355063496589204]",[0.594],"[0.19479236491612986, 4.2015618462099926e-13, 6.715822236176825]","[515.9730834960938, 515.9730834960938, 515.9730834960938, 515.9730834960938]"
1,0.03,"[0.00011507904855534434, 4.8302642769772615e-17, -0.8507286906242371]","[-0.8018586536542199, -14.511040921382646, -12.205106818505149]","[0.0050383093766868114, -6.897830593657287e-15, -0.0074712843634188175]","[-3.05368491628889, 3.504519625977487, 4.409305021661325]","[0.9999999403953552, -0.00020078386296518147, 0.00018567992083262652, 2.8742652702362648e-09]","[[0.9999999310459309, -8.031159732480908e-08, 0.00037135983487136527], [-6.881453641846475e-08, 0.9999999193716771, 0.0004015677208993205], [-0.00037135983717978966, -0.00040156771876454704, 0.9999998504176081]]","[-0.2375134825706482, 0.2008649706840515, 2.1205028133408632e-06]",[1.0],"[0.936449365034108, -0.24395069830823907, 0.24395073338190773, 0.06355063496589146]",[0.594],"[0.17457273999336428, 0.006631951753136101, 7.083985596456811]","[515.9730834960938, 515.9730834960938, 515.9730834960938, 515.9730834960938]"
2,0.04,"[0.0002025825815508142, -1.3563010270445375e-06, -0.8506919145584106]","[-0.832348023351872, -14.475955453107908, -12.16117702836378]","[0.006462807301431894, -0.00038598364335484803, 0.013204466551542282]","[-3.0489369697652036, 3.5085468274738574, 4.392979014136955]","[0.999961256980896, -0.006728291045874357, 0.00567394495010376, 1.6166820842045126e-06]","[[0.999935612690828, -7.9585146573179e-05, 0.011347428731778854], [-7.311866864125512e-05, 0.9999094601920769, 0.013456079371409227], [-0.011347472241810133, -0.013456042679547866, 0.9998450728933596]]","[-1.5647032260894775, 1.3223540782928467, 0.0008224016055464745]",[1.0],"[0.9364493650192669, -0.24393208034333616, 0.24396935015735854, 0.06355063428621352]",[0.594],"[0.3298542972872197, 0.18363082528393312, 8.770167962007653]","[515.9730834960938, 515.9730834960938, 515.9730834960938, 515.9730834960938]"
3,0.05,"[0.0003128026146441698, -3.868795829475857e-05, -0.8503949046134949]","[-0.8627899518020563, -14.440829944622841, -12.117410273922014]","[0.004417800344526768, -0.005367687903344631, 0.005819067358970642]","[-3.044192845018434, 3.512550848506635, 4.37667544417657]","[0.9993502497673035, -0.027261415496468544, 0.023577384650707245, 2.566445618867874e-05]","[[0.9988882125489705, -0.001336801319689214, 0.04712273117036272], [-0.0012342101969016145, 0.998513629133242, 0.054488614960854526], [-0.04712552976797673, -0.05448619455783339, 0.9974018443168698]]","[-2.8050060272216797, 2.5441856384277344, 0.007867244072258472]",[1.0],"[0.9364493607967693, -0.2436356676311557, 0.244265424450222, 0.0635504409063854]",[0.594],"[0.5737383493957807, 0.4017173059302859, 5.923702661127505]","[515.9730834960938, 515.9730834960938, 515.9730834960938, 515.9730834960938]"
4,0.06,"[0.0003101072506979108, -0.00021468113118316978, -0.8507860898971558]","[-0.8931844772225417, -14.40566462773209, -12.073806330804212]","[-0.006528958678245544, -0.019981201738119125, -0.06167161092162132]","[-3.0394525420485374, 3.5165316890751086, 4.360394311780169]","[0.9978318214416504, -0.04876885935664177, 0.04419567063450813, 6.084036431275308e-05]","[[0.9960934780167375, -0.004432161764835203, 0.08819375825198461], [-0.004189327960263168, 0.995243189342061, 0.0973316166488762], [-0.08820562671258864, -0.09732086112613662, 0.9913366821649983]]","[-2.7714900970458984, 2.810769557952881, 0.018651964142918587]",[1.0],"[0.9364493159407004, -0.24287695502592782, 0.24502054190481729, 0.06354838657430678]",[0.594],"[0.361857377944939, 0.14609501269338487, -0.18699231957664786]","[515.9730834960938, 515.9730834960938, 515.9730834960938, 515.9730834960938]"
5,0.07,"[7.696589455008507e-05, -0.0006785700679756701, -0.8522022366523743]","[-0.9235316378310974, -14.370459734240296, -12.030364974634736]","[-0.026226479560136795, -0.0434882715344429, -0.12760792672634125]","[-3.034716060855569, 3.5204893491794564, 4.344135616947575]","[0.9956132173538208, -0.0679037943482399, 0.06436964124441147, 9.791346383281052e-05]","[[0.9917130799297068, -0.008936853066792571, 0.12816122562459217], [-0.008546917336814506, 0.9907781308437831, 0.13522442695658599], [-0.12818782040573404, -0.13519921634004378, 0.982491249121673]]","[-2.379760503768921, 2.5543220043182373, 0.028717800974845886]",[1.0],"[0.9364491589082502, -0.24174622920739874, 0.24613868058428934, 0.06354119423066962]",[0.594],"[0.14684997136853362, -0.11745507989482107, -0.17763973891709206]","[575.8117065429688, 668.121337890625, 625.5337524414062, 620.152099609375]"
6,0.08,"[-0.0007041010539978743, -0.0018081874586641788, -0.8553106188774109]","[-0.9538314718454919, -14.335215495952097, -11.987085981037941]","[-0.06290982663631439, -0.08426514267921448, -0.2191672921180725]","[-3.029983401439451, 3.524423828819856, 4.327899359679499]","[0.9923824071884155, -0.08822306990623474, 0.08598706126213074, 0.00024708433193154633]","[[0.9852123283109756, -0.01566248951098963, 0.17062049866995657], [-0.014681680922734383, 0.9844332575831953, 0.1751445391938364], [-0.17070769282416517, -0.17505955497046263, 0.9696458300968421]]","[-2.1983587741851807, 2.2963638305664062, 0.0393635556101799]",[1.0],"[0.9364487489372206, -0.2401288101727629, 0.24772322898637375, 0.06352241304840561]",[0.594],"[-0.8505113204927195, -1.1851485126395565, -2.952088739088916]","[575.8117065429688, 668.121337890625, 625.5337524414062, 620.152099609375]"
7,0.09,"[-0.0019311317009851336, -0.0033786597196012735, -0.8591555953025818]","[-0.9840840174834945, -14.299932144672132, -11.94396912563819]","[-0.10177211463451385, -0.12614572048187256, -0.2916448712348938]","[-3.0252545638002615, 3.5283351279964847, 4.311685539975052]","[0.9892901182174683, -0.1039683148264885, 0.10244709253311157, 0.0004785045748576522]","[[0.9790087281986454, -0.022249263184905308, 0.20260029713354252], [-0.020355743765322277, 0.9783807207499952, 0.20580769898252216], [-0.2027992943938204, -0.2056116133695972, 0.9573903648151677]]","[-2.022745132446289, 2.126154899597168, 0.048389606177806854]",[1.0],"[0.9364481661550127, -0.23860516418086683, 0.2492001265939508, 0.06349570565553309]",[0.594],"[-0.5402541956447742, -0.7891124485847603, -1.2463109776134509]","[575.8117065429688, 668.121337890625, 625.5337524414062, 620.152099609375]"
8,0.1,"[-0.0037834965623915195, -0.005617531016469002, -0.8640133738517761]","[-1.0142893129628738, -14.264609912205046, -11.901014184059845]","[-0.14621078968048096, -0.1732981652021408, -0.35479071736335754]","[-3.0205295479379335, 3.5322232467086323, 4.2954941578345895]","[0.9860343337059021, -0.11794406175613403, 0.117579884827137, 0.0007335388218052685]","[[0.9723488673207089, -0.029182285093536885, 0.231702555999829], [-0.02628910746079342, 0.9721773225586617, 0.23276626974625575], [-0.2320486221658065, -0.23242127213185837, 0.9445283421960187]]","[-1.7548388242721558, 1.9480136632919312, 0.05760304257273674]",[1.0],"[0.9364473391115964, -0.23698209885545027, 0.25075680529283717, 0.06345778511897975]",[0.594],"[-0.6172646858116555, -0.8710742595507828, -0.5255559311242486]","[575.8117065429688, 668.121337890625, 625.5337524414062, 620.152099609375]"
9,0.11,"[-0.006345562171190977, -0.008603416383266449, -0.8697805404663086]","[-1.0444473965013994, -14.22924903035548, -11.85822093192726]","[-0.1964835226535797, -0.22578513622283936, -0.41381287574768066]","[-3.015808353852556, 3.536088184956654, 4.279325213258467]","[0.9827821850776672, -0.12994498014450073, 0.13134902715682983, 0.0009880721336230636]","[[0.9654929157788193, -0.03607841050960578, 0.25791816119849714], [-0.032194171997735416, 0.9662266538721541, 0.25567477121609145], [-0.2584317412205664, -0.25515564199547075, 0.931723474796887]]","[-1.5234297513961792, 1.771125078201294, 0.0671796202659607]",[1.0],"[0.9367971065923462, -0.23542277496543917, 0.2510140281832315, 0.06308134243188335]",[0.594],"[-0.7677157866074227, -1.026189516834405, -0.3246614819382696]","[575.8117065429688, 668.121337890625, 625.5337524414062, 620.152099609375]"
