t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0.34119582176208,"[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[470.33343505859375, 470.33343505859375, 471.1842041015625, 469.4811706542969]"
0.37216639518738,"[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[470.33343505859375, 470.33343505859375, 471.1842041015625, 469.4811706542969]"
0.40272879600525,"[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[470.33343505859375, 470.33343505859375, 471.1842041015625, 469.4811706542969]"
0.43476057052612,"[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[470.33343505859375, 470.33343505859375, 471.1842041015625, 469.4811706542969]"
0.46575736999512,"[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[470.33343505859375, 470.33343505859375, 471.1842041015625, 469.4811706542969]"
0.49675464630127,"[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[470.33343505859375, 470.33343505859375, 471.1842041015625, 469.4811706542969]"
0.52875351905823,"[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[470.33343505859375, 470.33343505859375, 471.1842041015625, 469.4811706542969]"
0.55972361564636,"[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[470.33343505859375, 470.33343505859375, 471.1842041015625, 469.4811706542969]"
0.59072232246399,"[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[470.33343505859375, 470.33343505859375, 471.1842041015625, 469.4811706542969]"
0.62172079086304,"[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[470.33343505859375, 470.33343505859375, 471.1842041015625, 469.4811706542969]"
