t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0.34108090400696,"[-0.31007832288742065, 0.06494452059268951, -0.5592759847640991]","[-0.31007832288742065, 0.06494452059268951, -0.5592759847640991]","[0.39272287487983704, -0.04558337852358818, -1.1809791326522827]","[0.39272287487983704, -0.04558337852358818, -1.1809791326522827]","[-0.007762431167066097, -0.006663290783762932, -0.8929867744445801, 0.449966698884964]","[[-0.5949395575540086, 0.8037320687616295, 0.007866978824092041], [-0.803525175417409, -0.5949712693411175, 0.018886132143490497], [0.019860014654813685, 0.0049147900332245364, 0.9997906904366152]]","[0.005284144077450037, -0.020252441987395287, 0.12991008162498474]",[0.0],"[-0.007762431167066097, -0.006663290783762932, -0.8929867744445801, 0.449966698884964]",[0.44],"[0.850994884967804, -0.6144391372799873, -18.96886461734772]","[669.857421875, 669.5279541015625, 653.61669921875, 653.3715209960938]"
0.37308025360107,"[-0.2968115210533142, 0.06321241706609726, -0.601566731929779]","[-0.2968115210533142, 0.06321241706609726, -0.601566731929779]","[0.41128116846084595, -0.05944652855396271, -1.3819020986557007]","[0.41128116846084595, -0.05944652855396271, -1.3819020986557007]","[-0.008007691241800785, -0.006852218881249428, -0.8919739127159119, 0.4519641101360321]","[[-0.5913288277386595, 0.8063901323566484, 0.00809138935929754], [-0.8061706505441592, -0.5913631681695144, 0.01946237906527698], [0.0204792173957824, 0.004985622879898621, 0.9997778479547589]]","[0.004609416238963604, -0.016085363924503326, 0.1412961333990097]",[0.0],"[-0.008007691241800785, -0.006852218881249428, -0.8919739127159119, 0.4519641101360321]",[0.44],"[0.9279146790504456, -0.6931575015187263, -19.8561483001709]","[669.857421875, 669.6182250976562, 655.7694702148438, 655.5538940429688]"
0.40307950973511,"[-0.28422126173973083, 0.06123664975166321, -0.6457533240318298]","[-0.28422126173973083, 0.06123664975166321, -0.6457533240318298]","[0.4280419647693634, -0.07230543345212936, -1.5636192560195923]","[0.4280419647693634, -0.07230543345212936, -1.5636192560195923]","[-0.00818589050322771, -0.00699316430836916, -0.8909798860549927, 0.45391514897346497]","[[-0.5877881234032232, 0.8089730259766245, 0.008238321137990334], [-0.8087440448674269, -0.5878243323157972, 0.019892936891775348], [0.020935534013307555, 0.005030138062763034, 0.9997681736992506]]","[0.00437807897105813, -0.012985970824956894, 0.150459423661232]",[0.0],"[-0.00818589050322771, -0.00699316430836916, -0.8909798860549927, 0.45391514897346497]",[0.44],"[0.8380398154258728, -0.6429452449083328, -18.895857868194582]","[669.857421875, 669.6446533203125, 657.0247802734375, 656.8517456054688]"
0.43508744239807,"[-0.27112922072410583, 0.0588720366358757, -0.6953729391098022]","[-0.27112922072410583, 0.0588720366358757, -0.6953729391098022]","[0.4447304308414459, -0.08536216616630554, -1.744032382965088]","[0.4447304308414459, -0.08536216616630554, -1.744032382965088]","[-0.008329431526362896, -0.007110170554369688, -0.8899227380752563, 0.4559797942638397]","[[-0.5840260685373471, 0.8116920213940834, 0.008340912807977857], [-0.8114551266789899, -0.5840637183458273, 0.02025110984330486], [0.021309289234227063, 0.005058899948402085, 0.9997601320902708]]","[0.004118877463042736, -0.010461779311299324, 0.1586141437292099]",[0.0],"[-0.008329431526362896, -0.007110170554369688, -0.8899227380752563, 0.4559797942638397]",[0.44],"[0.834423303604126, -0.6528366357088089, -18.830656347274783]","[669.857421875, 669.6949462890625, 658.5953369140625, 658.4495239257812]"
0.46608114242554,"[-0.2561509907245636, 0.05581464245915413, -0.7562175393104553]","[-0.2561509907245636, 0.05581464245915413, -0.7562175393104553]","[0.46300897002220154, -0.09997313469648361, -1.9437284469604492]","[0.46300897002220154, -0.09997313469648361, -1.9437284469604492]","[-0.008454112336039543, -0.007217499893158674, -0.8887056708335876, 0.45834338665008545]","[[-0.5796997233529695, 0.8147867689197695, 0.008410248461451109], [-0.814542698700241, -0.5797384827743348, 0.020578239127023112], [0.021642621838159015, 0.005078693210140595, 0.9997528713598037]]","[0.003998579923063517, -0.008194544352591038, 0.1609923243522644]",[0.0],"[-0.008454112336039543, -0.007217499893158674, -0.8887056708335876, 0.45834338665008545]",[0.44],"[0.9139269590377808, -0.7305484265089035, -19.79480319976807]","[660.7017211914062, 660.56884765625, 669.66552734375, 669.5531005859375]"
0.49607968330383,"[-0.2420106828212738, 0.05261639133095741, -0.817133367061615]","[-0.2420106828212738, 0.05261639133095741, -0.817133367061615]","[0.4796658158302307, -0.11322852969169617, -2.1154892444610596]","[0.4796658158302307, -0.11322852969169617, -2.1154892444610596]","[-0.008541885763406754, -0.007300766184926033, -0.8876278400421143, 0.46042436361312866]","[[-0.5758729672094323, 0.8174956913748468, 0.00844112997095281], [-0.8172462421318989, -0.5759122924604485, 0.020826511272102], [0.02188693246928408, 0.005094942005411607, 0.9997474700014359]]","[0.003895931411534548, -0.0065629552118480206, 0.1502194106578827]",[0.0],"[-0.008541885763406754, -0.007300766184926033, -0.8876278400421143, 0.46042436361312866]",[0.44],"[0.8328422904014587, -0.6627697497606277, -18.39803987503052]","[650.763916015625, 650.6517333984375, 669.8558959960938, 669.7599487304688]"
0.52708888053894,"[-0.22736932337284088, 0.0490228496491909, -0.8829858899116516]","[-0.22736932337284088, 0.0490228496491909, -0.8829858899116516]","[0.49642351269721985, -0.12630029022693634, -2.271899700164795]","[0.49642351269721985, -0.12630029022693634, -2.271899700164795]","[-0.008608847856521606, -0.007374534383416176, -0.8866574168205261, 0.462287962436676]","[[-0.5724315171204408, 0.8199090736916942, 0.008447880656471396], [-0.8196551287136161, -0.5724709741285299, 0.021036904682345314], [0.022084514552586088, 0.005117837744270437, 0.9997430079624221]]","[0.003778231330215931, -0.005229786038398743, 0.1278107911348343]",[0.0],"[-0.008608847856521606, -0.007374534383416176, -0.8866574168205261, 0.462287962436676]",[0.44],"[0.8378848433494568, -0.6535880267620087, -17.63052278518677]","[630.8194580078125, 630.7237548828125, 669.857421875, 669.787109375]"
0.55808591842651,"[-0.21222436428070068, 0.04503847286105156, -0.9533876776695251]","[-0.21222436428070068, 0.04503847286105156, -0.9533876776695251]","[0.5132215023040771, -0.13931570947170258, -2.420549154281616]","[0.5132215023040771, -0.13931570947170258, -2.420549154281616]","[-0.008657996542751789, -0.007441144436597824, -0.8858609199523926, 0.46381044387817383]","[[-0.5696098802588512, 0.8218719438005055, 0.008437000556413388], [-0.8216142421892809, -0.5696490608060671, 0.021214976551385156], [0.02224212257281355, 0.005152299673027549, 0.9997393369306787]]","[0.00358542799949646, -0.004144679289311171, 0.10083963721990585]",[0.0],"[-0.008657996542751789, -0.007441144436597824, -0.8858609199523926, 0.46381044387817383]",[0.44],"[0.839899480342865, -0.6507709622383118, -17.242472705841067]","[627.0514526367188, 626.9696655273438, 669.857421875, 669.8085327148438]"
0.59008860588074,"[-0.19498158991336823, 0.040207602083683014, -1.0357701778411865]","[-0.19498158991336823, 0.040207602083683014, -1.0357701778411865]","[0.5317941308021545, -0.1534021645784378, -2.569000244140625]","[0.5317941308021545, -0.1534021645784378, -2.569000244140625]","[-0.008695215918123722, -0.007507907692342997, -0.8852334022521973, 0.4650053083896637]","[[-0.5673890902818344, 0.823407028179185, 0.008412157277358084], [-0.8231458966652718, -0.5674275664857267, 0.021379144459620136], [0.022377025004714418, 0.0052058582215328, 0.9997360490844409]]","[0.0032940590754151344, -0.0032287875656038523, 0.06022368744015694]",[0.0],"[-0.008695215918123722, -0.007507907692342997, -0.8852334022521973, 0.4650053083896637]",[0.44],"[0.9286314249038696, -0.7043227553367615, -17.23255449295044]","[603.3034057617188, 603.2293090820312, 669.857421875, 669.8283081054688]"
0.6210823059082,"[-0.178773432970047, 0.03541570529341698, -1.1147249937057495]","[-0.178773432970047, 0.03541570529341698, -1.1147249937057495]","[0.5487225651741028, -0.1660473495721817, -2.6941161155700684]","[0.5487225651741028, -0.1660473495721817, -2.6941161155700684]","[-0.008716179989278316, -0.007564399391412735, -0.8849639296531677, 0.46551650762557983]","[[-0.5664367538506592, 0.8240625011467165, 0.008384304215801053], [-0.8237987704802913, -0.5664742571615646, 0.0215034925586709], [0.022469715363703124, 0.005273389884891677, 0.9997336161364834]]","[0.0029134582728147507, -0.002575806574895978, 0.016809187829494476]",[0.0],"[-0.008716179989278316, -0.007564399391412735, -0.8849639296531677, 0.46551650762557983]",[0.44],"[0.8464217185974121, -0.6322592496871948, -16.06579357147217]","[603.5285034179688, 603.4573974609375, 669.857421875, 669.8423461914062]"
