t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0.34315538406372,"[11.657543182373047, 4.613116264343262, -15.254204750061035]","[11.657543182373047, 4.613116264343262, -15.254204750061035]","[2.1057417392730713, 0.6838252544403076, -1.6918132305145264]","[2.1057417392730713, 0.6838252544403076, -1.6918132305145264]","[6.541033599205548e-06, -1.3582101928477641e-05, 0.8434509634971619, 0.5372061729431152]","[[-0.42281905601752845, -0.906214128508669, -3.5586958120071015e-06], [0.906214128153305, -0.42281905573415157, -2.993944116962534e-05], [2.5626860178076013e-05, -1.5883906661939167e-05, 0.9999999995454828]]","[0.00010588281293166801, 0.00017339606711175293, -0.0027672452852129936]",[0.0],"[6.541033599205548e-06, -1.3582101928477641e-05, 0.8434509634971619, 0.5372061729431152]",[0.44],"[0.9198665618896484, 0.1510828733444214, -6.586336431503296]","[474.8411560058594, 474.85443115234375, 472.4508361816406, 472.4906311035156]"
0.37415432929993,"[11.720967292785645, 4.633672714233398, -15.304091453552246]","[11.720967292785645, 4.633672714233398, -15.304091453552246]","[2.122405767440796, 0.6865525841712952, -1.6340272426605225]","[2.122405767440796, 0.6865525841712952, -1.6340272426605225]","[5.330028216121718e-06, -1.1097147762484383e-05, 0.8434299826622009, 0.537239134311676]","[[-0.42274827155341455, -0.9062471875942018, -2.9326329026665597e-06], [0.9062471873576092, -0.42274827136393944, -2.4446333779196247e-05], [2.091465532631689e-05, -1.2992334800452092e-05, 0.9999999996968882]]","[8.6752072093077e-05, 0.00014286566874943674, -0.0024511897936463356]",[0.0],"[5.330028216121718e-06, -1.1097147762484383e-05, 0.8434299826622009, 0.537239134311676]",[0.44],"[0.8332014083862305, 0.13636648654937744, -6.920700607299805]","[473.9693603515625, 473.97052001953125, 473.3493957519531, 473.3533630371094]"
0.40515160560608,"[11.784890174865723, 4.65431022644043, -15.352254867553711]","[11.784890174865723, 4.65431022644043, -15.352254867553711]","[2.139012098312378, 0.6892614364624023, -1.5769902467727661]","[2.139012098312378, 0.6892614364624023, -1.5769902467727661]","[4.333845936344005e-06, -9.067471182788722e-06, 0.8434113264083862, 0.5372684001922607]","[[-0.42268533119234486, -0.9062765081655266, -2.432901973089662e-06], [0.9062765080083386, -0.42268533106547124, -1.9952092740689858e-05], [1.705376097157563e-05, -1.0638338849092762e-05, 0.9999999997979975]]","[7.114997424650937e-05, 0.00011468907177913934, -0.0021712316665798426]",[0.0],"[4.333845936344005e-06, -9.067471182788722e-06, 0.8434113264083862, 0.5372684001922607]",[0.44],"[0.8303165435791016, 0.1354426145553589, -6.958150205612183]","[473.9693603515625, 473.97052001953125, 473.3493957519531, 473.3533630371094]"
0.43615484237671,"[11.855780601501465, 4.677104949951172, -15.40327262878418]","[11.855780601501465, 4.677104949951172, -15.40327262878418]","[2.157212972640991, 0.6922203898429871, -1.515072226524353]","[2.157212972640991, 0.6922203898429871, -1.515072226524353]","[3.4678080282901647e-06, -7.271085451066028e-06, 0.8433933258056641, 0.5372967720031738]","[[-0.42262460413281544, -0.9063050230192382, -1.9640091911635876e-06], [0.9063050229183793, -0.42262460405112945, -1.5991254000637502e-05], [1.3662913776104485e-05, -8.538285762529517e-06, 0.9999999998702113]]","[5.649044396704994e-05, 9.242919622920454e-05, -0.0019000667380169034]",[0.0],"[3.4678080282901647e-06, -7.271085451066028e-06, 0.8433933258056641, 0.5372967720031738]",[0.44],"[0.9100437164306641, 0.14794766902923584, -6.714098987579346]","[473.9693603515625, 473.97052001953125, 473.3493957519531, 473.3533630371094]"
0.4671196937561,"[11.920745849609375, 4.697911739349365, -15.447890281677246]","[11.920745849609375, 4.697911739349365, -15.447890281677246]","[2.1736996173858643, 0.6948915719985962, -1.4594943523406982]","[2.1736996173858643, 0.6948915719985962, -1.4594943523406982]","[2.825421461238875e-06, -5.940572464169236e-06, 0.8433788418769836, 0.5373194217681885]","[[-0.42257574192210523, -0.9063276633312999, -1.6181685632508382e-06], [0.9063276632641614, -0.4225757418674905, -1.3056613901443303e-05], [1.1149771282426907e-05, -6.983998598226093e-06, 0.9999999999134532]]","[4.73292384413071e-05, 7.536914199590683e-05, -0.0016830554232001305]",[0.0],"[2.825421461238875e-06, -5.940572464169236e-06, 0.8433788418769836, 0.5373194217681885]",[0.44],"[0.8243322372436523, 0.13355910778045654, -7.031106290817261]","[473.9693603515625, 473.97052001953125, 473.3493957519531, 473.3533630371094]"
0.49912023544312,"[11.992777824401855, 4.720891952514648, -15.49505615234375]","[11.992777824401855, 4.720891952514648, -15.49505615234375]","[2.1917691230773926, 0.697809636592865, -1.3991010189056396]","[2.1917691230773926, 0.697809636592865, -1.3991010189056396]","[2.263341684738407e-06, -4.761218860949157e-06, 0.8433647751808167, 0.5373413562774658]","[[-0.4225282880769172, -0.9063495442861527, -1.299154298338987e-06], [0.9063495442430476, -0.4225282880418242, -1.046326272969542e-05], [8.934444902766096e-06, -5.598514367308779e-06, 0.9999999999444161]]","[3.7149449781281874e-05, 6.0372323787305504e-05, -0.0014728636015206575]",[0.0],"[2.263341684738407e-06, -4.761218860949157e-06, 0.8433647751808167, 0.5373413562774658]",[0.44],"[0.903475284576416, 0.14590322971343994, -6.790333328247071]","[473.9693603515625, 473.97052001953125, 473.3493957519531, 473.3533630371094]"
0.52998614311218,"[12.058777809143066, 4.741865634918213, -15.536213874816895]","[12.058777809143066, 4.741865634918213, -15.536213874816895]","[2.208136796951294, 0.7004441618919373, -1.3448387384414673]","[2.208136796951294, 0.7004441618919373, -1.3448387384414673]","[1.8395983261143556e-06, -3.889079380314797e-06, 0.8433536291122437, 0.5373589992523193]","[[-0.42249068750383345, -0.9063673243254425, -1.0767997587628783e-06], [0.9063673242968252, -0.4224906874803518, -8.536787849682263e-06], [7.28252745651228e-06, -4.582688987494056e-06, 0.9999999999629818]]","[3.0992538086138666e-05, 4.940709186485037e-05, -0.0013046467211097479]",[0.0],"[1.8395983261143556e-06, -3.889079380314797e-06, 0.8433536291122437, 0.5373589992523193]",[0.44],"[0.8183836936950684, 0.13172626495361328, -7.096885976791382]","[473.9693603515625, 473.97052001953125, 473.3493957519531, 473.3533630371094]"
0.56144905090332,"[12.12526798248291, 4.762918949127197, -15.575752258300781]","[12.12526798248291, 4.762918949127197, -15.575752258300781]","[2.2244482040405273, 0.7030614614486694, -1.2911556959152222]","[2.2244482040405273, 0.7030614614486694, -1.2911556959152222]","[1.499806444371643e-06, -3.180335625074804e-06, 0.8433436751365662, 0.5373746156692505]","[[-0.42245710880592924, -0.9063829666167508, -8.883587108678219e-07], [0.9063829665976711, -0.42245710879019893, -6.9761476916816204e-06], [5.947767826027371e-06, -3.7523160451917133e-06, 0.9999999999752721]]","[2.4968037905637175e-05, 4.024359441245906e-05, -0.001155642792582512]",[0.0],"[1.499806444371643e-06, -3.180335625074804e-06, 0.8433436751365662, 0.5373746156692505]",[0.44],"[0.8155703544616699, 0.1308649778366089, -7.125847873687745]","[473.9693603515625, 473.97052001953125, 473.3493957519531, 473.3533630371094]"
0.59212493896484,"[12.198970794677734, 4.786167621612549, -15.617396354675293]","[12.198970794677734, 4.786167621612549, -15.617396354675293]","[2.242326259613037, 0.7059208750724792, -1.2327390909194946]","[2.242326259613037, 0.7059208750724792, -1.2327390909194946]","[1.2004904874629574e-06, -2.547935309848981e-06, 0.8433340787887573, 0.5373897552490234]","[[-0.42242473690594795, -0.9063981883930194, -7.136395864216984e-07], [0.9063981883807843, -0.42242473689584625, -5.587783933162674e-06], [4.763297743778656e-06, -3.0072587762166756e-06, 0.9999999999841337]]","[1.9994102331111208e-05, 3.168076364090666e-05, -0.001011317828670144]",[0.0],"[1.2004904874629574e-06, -2.547935309848981e-06, 0.8433340787887573, 0.5373897552490234]",[0.44],"[0.8939027786254883, 0.14297068119049072, -6.8891697502136235]","[473.9693603515625, 473.97052001953125, 473.3493957519531, 473.3533630371094]"
0.62411141395569,"[12.266485214233398, 4.807384490966797, -15.653589248657227]","[12.266485214233398, 4.807384490966797, -15.653589248657227]","[2.2585201263427734, 0.7085026502609253, -1.1801797151565552]","[2.2585201263427734, 0.7085026502609253, -1.1801797151565552]","[9.78247840066615e-07, -2.084755578835029e-06, 0.8433263897895813, 0.5374017953872681]","[[-0.42239879943975, -0.9064102319448469, -5.907383434534675e-07], [0.9064102319366892, -0.42239879943297165, -4.5676830829563e-06], [3.890667220584804e-06, -2.464834500614236e-06, 0.9999999999893936]]","[1.661604255787097e-05, 2.6531917683314532e-05, -0.000895816134288907]",[0.0],"[9.78247840066615e-07, -2.084755578835029e-06, 0.8433263897895813, 0.5374017953872681]",[0.44],"[0.8096933364868164, 0.12908875942230225, -7.182031211853028]","[473.9693603515625, 473.97052001953125, 473.3493957519531, 473.3533630371094]"
