t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0.34004426002502,"[24.085247039794922, 8.70131778717041, -2.5663931369781494]","[24.085247039794922, 8.70131778717041, -2.5663931369781494]","[0.7770503759384155, 0.3522161841392517, 2.640748977661133]","[0.7770503759384155, 0.3522161841392517, 2.640748977661133]","[-6.853183094790438e-06, -2.5898365493048914e-05, 0.19899673759937286, 0.9800001978874207]","[[0.920800595508162, -0.39003368409770056, -5.3488328772366306e-05], [0.39003368480764555, 0.9208005967556805, 3.1248610935608956e-06], [4.803328446022842e-05, -2.3739622062652526e-05, 0.9999999985646171]]","[0.00015760917449370027, 0.00032428582198917866, -0.008568705059587955]",[0.0],"[-6.853183094790438e-06, -2.5898365493048914e-05, 0.19899673759937286, 0.9800001978874207]",[0.44],"[0.5232363939285278, 0.08398443460464478, -8.870535430908204]","[476.14569091796875, 476.1611633300781, 471.1368103027344, 471.1730041503906]"
0.37207436561584,"[24.111087799072266, 8.712973594665527, -2.4789116382598877]","[24.111087799072266, 8.712973594665527, -2.4789116382598877]","[0.7892107367515564, 0.35418397188186646, 2.660963535308838]","[0.7892107367515564, 0.35418397188186646, 2.660963535308838]","[-5.506703928404022e-06, -2.072194911306724e-05, 0.1988670378923416, 0.9800265431404114]","[[0.9209038016210536, -0.38978995115219023, -4.280632411040526e-05], [0.3897899516086288, 0.9209038024192043, 2.5516067511599993e-06], [3.842591651523794e-05, -1.903525730904607e-05, 0.999999999080554]]","[0.0001272458757739514, 0.00026004548999480903, -0.0074972594156861305]",[0.0],"[-5.506703928404022e-06, -2.072194911306724e-05, 0.1988670378923416, 0.9800265431404114]",[0.44],"[0.6080180406570435, 0.0983893871307373, -8.799272117614747]","[476.14569091796875, 476.1611633300781, 471.1368103027344, 471.1730041503906]"
0.40304851531982,"[24.134939193725586, 8.723627090454102, -2.398810625076294]","[24.134939193725586, 8.723627090454102, -2.398810625076294]","[0.8009212613105774, 0.35609424114227295, 2.67893385887146]","[0.8009212613105774, 0.35609424114227295, 2.67893385887146]","[-4.518527475738665e-06, -1.692804289632477e-05, 0.19876326620578766, 0.9800475835800171]","[[0.920986327441297, -0.3895949173459281, -3.497680962960075e-05], [0.38959491765188736, 0.9209863279735802, 2.1273976747848006e-06], [3.1384340511527107e-05, -1.558609006096557e-05, 0.9999999993860486]]","[0.00010374075645813718, 0.00021143531193956733, -0.006639924831688404]",[0.0],"[-4.518527475738665e-06, -1.692804289632477e-05, 0.19876326620578766, 0.9800475835800171]",[0.44],"[0.5855262279510498, 0.09551346302032471, -8.911483821868897]","[476.14569091796875, 476.1611633300781, 471.1368103027344, 471.1730041503906]"
0.43304705619812,"[24.159149169921875, 8.73434066772461, -2.318175792694092]","[24.159149169921875, 8.73434066772461, -2.318175792694092]","[0.813277006149292, 0.3581239581108093, 2.6965224742889404]","[0.813277006149292, 0.3581239581108093, 2.6965224742889404]","[-3.7052136576676276e-06, -1.3823519111610949e-05, 0.198671355843544, 0.9800662398338318]","[[0.9210593843523964, -0.3894221772661045, -2.8568168436092996e-05], [0.38942217747098085, 0.9210593847071186, 1.77003506563676e-06], [2.562368915185762e-05, -1.275538420336832e-05, 0.9999999995903635]]","[8.510467887390405e-05, 0.00017341731290798634, -0.005880624987185001]",[0.0],"[-3.7052136576676276e-06, -1.3823519111610949e-05, 0.198671355843544, 0.9800662398338318]",[0.44],"[0.61778724193573, 0.10148584842681885, -8.930569229125977]","[476.14569091796875, 476.1611633300781, 471.1368103027344, 471.1730041503906]"
0.46369385719299,"[24.186220169067383, 8.746198654174805, -2.228875160217285]","[24.186220169067383, 8.746198654174805, -2.228875160217285]","[0.827552855014801, 0.36048299074172974, 2.7154359817504883]","[0.827552855014801, 0.36048299074172974, 2.7154359817504883]","[-2.9807997634634376e-06, -1.1056772564188577e-05, 0.19858230650424957, 0.980084240436554]","[[0.9211301348424001, -0.38925477800279673, -2.2857005265016763e-05], [0.38925477813462883, 0.9211301350691342, 1.4515109475560987e-06], [2.04892688959932e-05, -1.0234228540713993e-05, 0.9999999997377252]]","[6.841676804469898e-05, 0.00014019546506460756, -0.005145286675542593]",[0.0],"[-2.9807997634634376e-06, -1.1056772564188577e-05, 0.19858230650424957, 0.980084240436554]",[0.44],"[0.7137924432754517, 0.11795163154602051, -8.864324626922608]","[474.3167419433594, 474.3182373046875, 473.0013427734375, 473.0049133300781]"
0.49472403526306,"[24.211252212524414, 8.757046699523926, -2.1471569538116455]","[24.211252212524414, 8.757046699523926, -2.1471569538116455]","[0.8411976099014282, 0.36275067925453186, 2.732241153717041]","[0.8411976099014282, 0.36275067925453186, 2.732241153717041]","[-2.448670102239703e-06, -9.021377081808168e-06, 0.19851107895374298, 0.9800986647605896]","[[0.9211867029024712, -0.3891208868013142, -1.865585555235869e-05], [0.3891208868896757, 0.9211867030532497, 1.2181899989720008e-06], [1.671150297636919e-05, -8.381563191605236e-06, 0.9999999998252376]]","[5.556389078265056e-05, 0.0001121934037655592, -0.0045568980276584625]",[0.0],"[-2.448670102239703e-06, -9.021377081808168e-06, 0.19851107895374298, 0.9800986647605896]",[0.44],"[0.6822377443313599, 0.1133844256401062, -8.969741401672364]","[474.3167419433594, 474.3182373046875, 473.0013427734375, 473.0049133300781]"
0.52558827400208,"[24.2367000579834, 8.767964363098145, -2.0649404525756836]","[24.2367000579834, 8.767964363098145, -2.0649404525756836]","[0.8554462790489197, 0.3651295602321625, 2.7486820220947266]","[0.8554462790489197, 0.3651295602321625, 2.7486820220947266]","[-2.00371118808107e-06, -7.376075245701941e-06, 0.19844800233840942, 0.9801114797592163]","[[0.9212367806269763, -0.38900233042475874, -1.5254017012836127e-05], [0.3890023304838768, 0.9212367807277596, 1.0001858799057843e-06], [1.366348708268489e-05, -6.855255470335155e-06, 0.9999999998831574]]","[4.6337638195836917e-05, 9.242213127436116e-05, -0.004035785794258118]",[0.0],"[-2.00371118808107e-06, -7.376075245701941e-06, 0.19844800233840942, 0.9801114797592163]",[0.44],"[0.7124334573745728, 0.11894404888153076, -8.987956581115723]","[474.3167419433594, 474.3182373046875, 473.0013427734375, 473.0049133300781]"
0.55758190155029,"[24.265199661254883, 8.780058860778809, -1.9739391803741455]","[24.265199661254883, 8.780058860778809, -1.9739391803741455]","[0.8716982007026672, 0.36785197257995605, 2.766353130340576]","[0.8716982007026672, 0.36785197257995605, 2.766353130340576]","[-1.6112530829559546e-06, -5.900245469092624e-06, 0.19838687777519226, 0.9801238179206848]","[[0.9212852933835961, -0.3888874081217578, -1.2205245168539139e-05], [0.38888740815978495, 0.9212852934480296, 8.173924931655075e-07], [1.0926639294806e-05, -5.499517600047549e-06, 0.999999999925182]]","[3.6343906685942784e-05, 7.372525578830391e-05, -0.003531115595251322]",[0.0],"[-1.6112530829559546e-06, -5.900245469092624e-06, 0.19838687777519226, 0.9801238179206848]",[0.44],"[0.8125960826873779, 0.13612061738967896, -8.92644458770752]","[474.3167419433594, 474.3182373046875, 473.0013427734375, 473.0049133300781]"
0.58858013153076,"[24.291582107543945, 8.791132926940918, -1.8907105922698975]","[24.291582107543945, 8.791132926940918, -1.8907105922698975]","[0.8871043920516968, 0.37044280767440796, 2.7820470333099365]","[0.8871043920516968, 0.37044280767440796, 2.7820470333099365]","[-1.319557100032398e-06, -4.825579253520118e-06, 0.19833800196647644, 0.9801337122917175]","[[0.9213240739053196, -0.3887955242991138, -9.982862452823344e-06], [0.3887955243245843, 0.9213240739484095, 6.724933031231729e-07], [8.93598917801893e-06, -4.500876293019417e-06, 0.9999999999499452]]","[3.006471524713561e-05, 6.0272977862041444e-05, -0.003127305069938302]",[0.0],"[-1.319557100032398e-06, -4.825579253520118e-06, 0.19833800196647644, 0.9801337122917175]",[0.44],"[0.770309567451477, 0.12954175472259521, -9.025304851531983]","[474.3167419433594, 474.3182373046875, 473.0013427734375, 473.0049133300781]"
0.61961674690247,"[24.321147918701172, 8.80340576171875, -1.7986217737197876]","[24.321147918701172, 8.80340576171875, -1.7986217737197876]","[0.9045802354812622, 0.3733883202075958, 2.798910140991211]","[0.9045802354812622, 0.3733883202075958, 2.798910140991211]","[-1.063905074261129e-06, -3.857096999126952e-06, 0.1982906460762024, 0.9801433086395264]","[[0.9213616393276101, -0.3887064998265895, -7.982940478013737e-06], [0.3887064998430038, 0.9213616393551007, 5.559063672584382e-07], [7.13909077985778e-06, -3.6152113910002974e-06, 0.9999999999679818]]","[2.4130105884978548e-05, 4.842261114390567e-05, -0.002736235037446022]",[0.0],"[-1.063905074261129e-06, -3.857096999126952e-06, 0.1982906460762024, 0.9801433086395264]",[0.44],"[0.8737921714782715, 0.1472756266593933, -8.96684461593628]","[474.3167419433594, 474.3182373046875, 473.0013427734375, 473.0049133300781]"
