t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,"[-0.0019077786710113287, 0.0019093411974608898, -4.63380765914917]","[-2.50919762305275, 2.0223002348641756, -5.3915155140809246]","[-0.0002003390691243112, 0.00020178803242743015, 0.04771070182323456]","[1.1037132329341253, 1.4381336076537568, 0.02965289686943937]","[-1.6433799828519113e-05, -1.6363936083507724e-05, -6.315941192269747e-08, 1.0]","[[0.9999999994644352, 1.2685666714540103e-07, -3.2727870091117184e-05], [-1.2578098054538886e-07, 0.9999999994598525, 3.286760172411138e-05], [3.272787424291371e-05, -3.286759758996507e-05, 0.9999999989243037]]","[6.377137469826266e-05, 6.432709051296115e-05, 2.9186582040097164e-09]",[0.6157210272225957],"[0.24999999999999997, -0.24999999999999997, 0.06698729810778066, 0.9330127018922194]",[0.68],"[0.0002907112393128741, -0.00029195243087486275, -18.69268128022973]","[516.0747680664062, 516.0746459960938, 516.0746459960938, 516.0748291015625]"
1.719893693924,"[-0.0019591222517192364, 0.0019609034061431885, -4.61096715927124]","[-0.7049365512980839, 4.283732804101994, -5.341970831980762]","[6.873773963889107e-05, -6.912092794664204e-05, -0.012778980657458305]","[0.9951693717441069, 1.1939413426714847, 0.02796146831424805]","[-1.0418451665827888e-06, -1.0474020655237837e-06, -6.540552277556344e-08, 1.0]","[[0.9999999999977973, 1.3081322801268575e-07, -2.094803994762712e-06], [-1.30808863089568e-07, 0.9999999999978205, 2.083690470177337e-06], [2.094804267332423e-06, -2.0836901961538183e-06, 0.999999999995635]]","[1.5782483387738466e-05, 1.627392521186266e-05, 9.307098203237274e-09]",[0.5988663858679427],"[0.2587620105938526, -0.020277087996374978, 0.005433229353483487, 0.9657129706049342]",[0.68],"[0.013471938556560023, -0.013563450121493329, -21.474012426003576]","[516.0747680664062, 516.0746459960938, 516.0746459960938, 516.0748291015625]"
1.7548959255219,"[-0.0019593180622905493, 0.001966678537428379, -4.611083507537842]","[-0.6701412234923418, 4.32543897491213, -5.3409927198629275]","[-0.0004052063450217247, 0.001733649056404829, 0.010457389988005161]","[0.9930086291722603, 1.1891174433236342, 0.02792708954731752]","[0.019553152844309807, 0.0035855246242135763, -1.8692351659410633e-05, 0.9998024106025696]","[[0.9999742873275302, 0.00017759393850638847, 0.00716890133630918], [0.0001028393055107497, 0.9992353477288861, -0.039098712741017186], [-0.007170363313945244, 0.03909844465346855, 0.9992096364540324]]","[3.3376920223236084, 0.37624800205230713, -0.0011135644745081663]",[0.6003413224613006],"[0.25878250850420814, -0.016229658753869024, 0.004348723956531905, 0.9657894698478299]",[0.68],"[-0.08578567103253937, 0.42876488198405444, -17.302142713435007]","[338.59161376953125, 636.2518920898438, 632.8995361328125, 344.78125]"
1.7858898639679,"[-0.0020126800518482924, 0.0022984319366514683, -4.610777378082275]","[-0.6393936045690402, 4.362228276067354, -5.340127621106023]","[-0.003530678804963827, 0.025280922651290894, 0.009556862525641918]","[0.9910969324250576, 1.1848508081768905, 0.02789664914778204]","[0.06452496349811554, 0.006788425147533417, -0.00017984682926908135, 0.9978930354118347]","[[0.9999077698782687, 0.0012349815664456018, 0.013525035132088628], [0.0005171099729715314, 0.9916729934813697, -0.12878046512342173], [-0.013571453572463985, 0.12877558161646768, 0.9915808927391664]]","[2.0007731914520264, 0.06489149481058121, -0.0031486365478485823]",[0.5989866546926976],"[0.25879651422354777, -0.01274501280617049, 0.0034150158889376995, 0.965841739904002]",[0.68],"[-0.2731470134816923, 2.2901895940702017, -18.4235380067189]","[555.4375610351562, 479.8563537597656, 469.6107177734375, 564.0198974609375]"
1.8178873062134,"[-0.002204781398177147, 0.003911478444933891, -4.610459327697754]","[-0.6077125916187169, 4.400070064120304, -5.339235502442326]","[-0.008239144459366798, 0.07633556425571442, 0.010528181679546833]","[0.9891249239645925, 1.1804508130261917, 0.027865224615625017]","[0.10116695612668991, 0.008048848249018192, -0.00040169330895878375, 0.9948368668556213]","[[0.9998701093686996, 0.0024277935812004638, 0.01593330576897159], [0.0008293163295147697, 0.9795301712610919, -0.2012957016617655], [-0.01609585812642686, 0.2012827689878197, 0.9794009260598493]]","[2.522780179977417, 0.0857868567109108, -0.003694592509418726]",[0.5982224233351187],"[0.25880718507818945, -0.009246949276805852, 0.002477712591171682, 0.9658815640756849]",[0.68],"[-0.3729315067475808, 4.289961933285861, -18.21389732306215]","[534.9786987304688, 501.1776123046875, 498.0832824707031, 538.1771240234375]"
1.8488962650299,"[-0.0025249184109270573, 0.007166146766394377, -4.610074043273926]","[-0.5770704681103671, 4.436608562699294, -5.338371902991103]","[-0.013181188143789768, 0.14369666576385498, 0.01599472388625145]","[0.987215371452859, 1.1761913810582225, 0.02783477227281475]","[0.1307309865951538, 0.008750412613153458, -0.0006334809586405754, 0.9913790822029114]","[[0.9998460579619493, 0.003543939690804687, 0.017184320869225056], [0.0010318606053242307, 0.9658180156914655, -0.2592190174519107], [-0.01751558323207436, 0.25919684457282804, 0.9656656788459146]]","[1.5205520391464233, -0.004065193235874176, -0.00419902428984642]",[0.5983469976542247],"[0.2588141988463333, -0.005911011603793466, 0.0015838507856874543, 0.9659077398147502]",[0.68],"[-0.39543784965717677, 5.605642800870433, -17.8723331785082]","[518.4060668945312, 517.284912109375, 513.9278564453125, 522.7544555664062]"
1.8794107437134,"[-0.002996206982061267, 0.012674521654844284, -4.609463214874268]","[-0.5469747568226598, 4.472435535390016, -5.33752299661844]","[-0.018204035237431526, 0.22577038407325745, 0.02542230114340782]","[0.9853377448355687, 1.1720043262342814, 0.02780480688379255]","[0.15380679070949554, 0.008449098095297813, -0.0009413962834514678, 0.9880643486976624]","[[0.9998554530288271, 0.004459377536204685, 0.01640691893093915], [0.0007387371135051876, 0.9526851698093659, -0.3039579208744016], [-0.016986091495513223, 0.3039261050762199, 0.9525441677460429]]","[1.557395339012146, -0.035790711641311646, -0.0043520559556782246]",[0.5992599296449781],"[0.2588180699176663, -0.002651573838164148, 0.0007104870686075758, 0.9659221868496448]",[0.68],"[-0.39298354455921714, 6.731464680689849, -17.57356145301322]","[523.9393310546875, 511.9803466796875, 509.31793212890625, 527.1505737304688]"
1.9104027748108,"[-0.0036833195481449366, 0.021819032728672028, -4.608392238616943]","[-0.5164666705573487, 4.508692490151319, -5.336661740772303]","[-0.02335049770772457, 0.33076542615890503, 0.04011702910065651]","[0.9834322314657414, 1.1677562670536998, 0.027774373906025666]","[0.17477954924106598, 0.00766166765242815, -0.0013148498255759478, 0.9845768809318542]","[[0.9998791400374398, 0.005267347117771215, 0.014627383960260663], [8.906415713377802e-05, 0.9389007606740519, -0.3441879547696412], [-0.015546619399596097, 0.3441476590001355, 0.9387868160317471]]","[1.0801639556884766, -0.07280268520116806, -0.004151517059653997]",[0.6011834212459106],"[0.2588189840441151, 0.0006634884470169298, -0.0001777811935655661, 0.9659255984159961]",[0.68],"[-0.38418576556138795, 8.234878728521274, -17.217319360295697]","[523.5053100585938, 513.845703125, 508.58367919921875, 527.992431640625]"
1.941413640976,"[-0.00444646505638957, 0.03330694139003754, -4.6069488525390625]","[-0.4859991294861973, 4.544839774383124, -5.3358009055257005]","[-0.02739371359348297, 0.4366459846496582, 0.05643787235021591]","[0.9815270712043255, 1.1635101886010841, 0.027743923815250194]","[0.19017229974269867, 0.006371290422976017, -0.0017200525617226958, 0.9817285537719727]","[[0.999912896155062, 0.005800535331795559, 0.01185554276253668], [-0.0009539635235316368, 0.9276630756595161, -0.37341707149660636], [-0.01316396816790118, 0.37337323567895225, 0.9275878061378385]]","[0.977046549320221, -0.10482053458690643, -0.0034317588433623314]",[0.6035273901592574],"[0.25881688651914614, 0.00394497421588043, -0.0010570526553067628, 0.965917770346242]",[0.68],"[-0.30538428004571005, 8.54528453365289, -17.070251653317094]","[528.0720825195312, 511.9912109375, 508.48736572265625, 528.601318359375]"
1.9724597930908,"[-0.005317858420312405, 0.048102207481861115, -4.60498046875]","[-0.45555607874195664, 4.5808963606194215, -5.334940036645671]","[-0.030527260154485703, 0.5510028004646301, 0.07503067702054977]","[0.9796212573451907, 1.1592638503336778, 0.027713440461689]","[0.20264531672000885, 0.004702814854681492, -0.002164228353649378, 0.9792385697364807]","[[0.9999463992961517, 0.006144598566626497, 0.008333213903708156], [-0.0023325849438165236, 0.9178603834541611, -0.39689657614789614], [-0.010087496864426962, 0.3968558642868943, 0.9178255182877798]]","[0.7477624416351318, -0.1282813996076584, -0.0020168174523860216]",[0.6064185591984711],"[0.25881180523805364, 0.00722475029803977, -0.0019358660078762691, 0.9658988067470372]",[0.68],"[-0.2295802791261477, 9.190082354147178, -16.909937505544303]","[525.34716796875, 518.608642578125, 515.788330078125, 521.758056640625]"
