idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[1.2900721230835188e-05, 1.1012412659234843e-17, -0.8506004810333252]","[8.447981861144275, 1.7015775002268958, -7.47714953569829]","[0.0008207799983210862, 6.424355269768131e-16, -0.011241746135056019]","[4.073131904765326, 0.6025197848703145, -5.134404289906236]","[1.0, 1.911850969265237e-18, 9.774299769560457e-07, -4.696314517826927e-12]","[[0.9999999999980893, 9.392629035648618e-12, 1.9548599539102237e-06], [-9.392629035641145e-12, 1.0, -1.3004339120393883e-17], [-1.9548599539102237e-06, -5.35693524334024e-18, 0.9999999999980893]]","[1.6339369314071492e-15, 0.00027620981563813984, -7.827024584017295e-10]",[1.0],"[0.936449365034108, 0.24395071584268027, -0.24395071584746755, 0.06355063496589206]",[0.594],"[0.04692336071653613, 6.40287840667536e-14, 6.715842725747516]","[515.9495239257812, 515.8994140625, 515.9495239257812, 515.8994140625]"
1,0.03,"[2.4623976059956476e-05, 5.711789663158288e-19, -0.8507349491119385]","[8.488470482568944, 1.7076236341135527, -7.52823000025546]","[0.0011329478584229946, -2.656101987319275e-15, -0.010127630084753036]","[4.04886214246698, 0.6046133886656868, -5.10804645571703]","[1.0, 3.303036741553666e-17, 3.560547611414222e-06, -4.696314517826927e-12]","[[0.999999999974645, 9.392629035769991e-12, 7.121095222738167e-06], [-9.392629035299567e-12, 1.0, -9.950363770760909e-17], [-7.121095222738167e-06, 3.261783195286262e-17, 0.999999999974645]]","[0.06690284609794617, -0.055361855775117874, 9.783779342242838e-10]",[1.0],"[0.936449365034108, 0.24395071584268027, -0.24395071584746755, 0.06355063496589206]",[0.594],"[0.031334391976748185, -3.314970690826587e-13, 6.816563119763069]","[382.2282409667969, 590.3515625, 497.3117980957031, 497.2869567871094]"
2,0.04,"[5.035651338403113e-05, 1.3557307738665259e-06, -0.8507251143455505]","[8.528716834263141, 1.7136905858085445, -7.579047383093509]","[0.0019225610885769129, 0.00038578425301238894, 0.013230579905211926]","[4.02463516941971, 0.6066951694991829, -5.081738283804871]","[0.9999615550041199, 0.006725162733346224, -0.005630197934806347, 1.4233825140763656e-06]","[[0.9999366017408142, -7.857464722963684e-05, -0.011259943386052509], [-7.288133627986976e-05, 0.9999095443718443, -0.013449823879947599], [0.011259981675967192, 0.013449791824247668, 0.9998461461207626]]","[1.5639145374298096, -1.319814682006836, 0.0008190512889996171]",[1.0],"[0.9364493650193632, 0.24393214085060624, -0.2439692896577997, 0.06355063429061988]",[0.594],"[-0.10699834805729355, -0.18354745392793315, 9.038431594021214]","[85.28392028808594, 666.1238403320312, 472.29986572265625, 477.4184875488281]"
3,0.05,"[9.733017213875428e-05, 2.523745206417516e-05, -0.8504581451416016]","[8.568721344119382, 1.7197782370822527, -7.629602180835204]","[0.0051901196129620075, 0.0037944302894175053, 0.013405396603047848]","[4.000450985624049, 0.608765127370825, -5.055479774169491]","[0.9995364546775818, 0.023119913414120674, -0.019808165729045868, 1.813962808228098e-05]","[[0.9992152724972357, -0.0009521885746759304, -0.03959712799172619], [-0.0008796636978391176, 0.9989309385690088, -0.046219110348618274], [0.03959880553821785, 0.04621767309760743, 0.9981462123824291]]","[2.683699131011963, -2.391035318374634, 0.006079051643610001]",[1.0],"[0.9364493628829883, 0.24372627842397818, -0.2441749808611671, 0.06355053645006806]",[0.594],"[-0.3271967159096958, -0.4224510066624265, 6.692017601554012]","[436.0751037597656, 669.7557373046875, 545.9140014648438, 583.8511962890625]"
4,0.06,"[0.00024562361068092287, 0.0001603994460310787, -0.850651204586029]","[8.608484440030164, 1.725886469705058, -7.679894890103313]","[0.016435079276561737, 0.016271298751235008, -0.04743347316980362]","[3.97630959107822, 0.6108232622805243, -5.0292709268108915]","[0.9982098937034607, 0.04454590007662773, -0.03990810364484787, 5.2547940867953e-05]","[[0.9968146809680559, -0.0036603925850908717, -0.0796686471121225], [-0.0034505770848262092, 0.9960313200049068, -0.08893651155214387], [0.0796780102935218, 0.0889281231973663, 0.9928460120181072]]","[2.8442256450653076, -2.821737289428711, 0.016407834365963936]",[1.0],"[0.9364493317762551, 0.24306722690028185, -0.24483153924536644, 0.06354911182350817]",[0.594],"[-0.1912438117038684, -0.22111311733092887, 0.5031153424078365]","[650.3915405273438, 613.8841552734375, 612.2662963867188, 651.9025268554688]"
5,0.07,"[0.0007497922633774579, 0.0006786711164750159, -0.8522316217422485]","[8.648006549888004, 1.7320151654473424, -7.729926007520607]","[0.041873447597026825, 0.043537039309740067, -0.12785658240318298]","[3.9522109857839993, 0.6128695742284362, -5.003111741729427]","[0.9956176280975342, 0.06789302825927734, -0.0643128827214241, 9.455293911742046e-05]","[[0.9917276890174339, -0.008921069155982255, -0.1280492302251523], [-0.008544514894395772, 0.9907810562890766, -0.13520314258152794], [0.12807490816455552, 0.13517881869514803, 0.9825087810675409]]","[2.380242109298706, -2.554736614227295, 0.028705798089504242]",[1.0],"[0.9364491590301578, 0.24174688368278605, -0.24613803588128977, 0.06354119981455107]",[0.594],"[0.4290843934795996, 0.49367367079193825, -1.6260295390406707]","[669.3331298828125, 597.015625, 637.0344848632812, 628.04150390625]"
6,0.08,"[0.001606257283128798, 0.0015689433785155416, -0.8547157645225525]","[8.687288101585409, 1.7381642060794862, -7.7796960297098545]","[0.07408589124679565, 0.07684503495693207, -0.20486117899417877]","[3.9281551697404993, 0.6149040632143832, -4.977002218924742]","[0.9929668307304382, 0.08493345230817795, -0.08248133212327957, 0.00020721551845781505]","[[0.9863935742522072, -0.014422364397715963, -0.16376724971475465], [-0.013599331876944043, 0.9855725319336283, -0.16870637945981184], [0.16383764782996624, 0.1686380138139583, 0.9719662779389145]]","[2.2211971282958984, -2.332432985305786, 0.037582822144031525]",[1.0],"[0.9364488376590039, 0.24041645265157402, -0.24744270112589992, 0.06352647795252513]",[0.594],"[0.516603422718056, 0.544588146367762, -1.4582893113205362]","[669.8313598632812, 632.140625, 651.9937133789062, 641.1047973632812]"
7,0.09,"[0.003011510241776705, 0.00302114081569016, -0.8583706021308899]","[8.72632952301489, 1.744333473371871, -7.829205453293824]","[0.11447564512491226, 0.117912158370018, -0.2809737026691437]","[3.904142142948075, 0.6169267292384761, -4.950942358396926]","[0.9899346232414246, 0.10091769695281982, -0.09922166913747787, 0.0004201351257506758]","[[0.9803097688225609, -0.02085825612131774, -0.19636112217706084], [-0.01919463098478276, 0.9796308849969038, -0.19988720644788918], [0.19653071844476402, 0.19972046042346428, 0.9599413598735208]]","[2.0643157958984375, -2.164475440979004, 0.04655870795249939]",[1.0],"[0.9364483017483739, 0.2389192742489859, -0.24889689558433203, 0.0635019205489605]",[0.594],"[0.7960417033723228, 0.8055448408813328, -1.5676753635247067]","[669.8567504882812, 617.3861083984375, 632.5677490234375, 637.1770629882812]"
8,0.1,"[0.005566845647990704, 0.005642295349389315, -0.8641659021377563]","[8.76513124206895, 1.7505228490948777, -7.878454774895285]","[0.17094731330871582, 0.17471741139888763, -0.36128467321395874]","[3.8801719054060158, 0.6189375723006707, -4.924932160146156]","[0.9860404133796692, 0.11790913343429565, -0.1175641342997551, 0.0007219631806947291]","[[0.9723563091618878, -0.029147537010272912, -0.23167569816298395], [-0.026299997823748453, 0.9721938330321976, -0.23269607029048459], [0.2320162023384188, 0.2323565624216327, 0.9445522271171986]]","[1.758000135421753, -1.9466325044631958, 0.0575980618596077]",[1.0],"[0.9364473374660721, 0.2369792344111423, -0.25075953759897657, 0.06345770964792828]",[0.594],"[1.8210075608401661, 1.8375144450592629, -2.241673909667167]","[669.857421875, 612.6155395507812, 625.6160888671875, 630.7263793945312]"
9,0.11,"[0.008526871912181377, 0.008657418191432953, -0.870060384273529]","[8.803693686640102, 1.7567322150188873, -7.927444491137007]","[0.22488602995872498, 0.22834272682666779, -0.42448437213897705]","[3.85624445711521, 0.6209365924009669, -4.898971624172166]","[0.9827866554260254, 0.12995858490467072, -0.1313023418188095, 0.0009864791063591838]","[[0.9655174479899901, -0.03606672567856413, -0.2578279444236485], [-0.03218873214526406, 0.9662195902576993, -0.25570214884729464], [0.25834075007589724, 0.2551840408432134, 0.9317409308113237]]","[1.5309380292892456, -1.7658017873764038, 0.06718470901250839]",[1.0],"[0.9367967055644891, 0.23542437073450828, -0.2510139207281411, 0.06308177001691673]",[0.594],"[1.1358040980042965, 1.1395718118151184, -0.7421272472845164]","[669.857421875, 626.576904296875, 629.2808837890625, 628.8558959960938]"
