idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[0.0, 0.0, -0.8505074381828308]","[-12.313581716379094, 9.639835349867512, -5.71575045738265]","[0.0, 0.0, -0.011295357719063759]","[6.754768803999767, -2.3211189244698005, -2.144221912901223]","[0.9999998807907104, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[1.0],"[0.936449365034108, 0.24395071584507388, 0.24395071584507388, -0.06355063496589204]",[0.594],"[0.0, 0.0, 6.714018264855399]","[515.9713134765625, 515.9713134765625, 515.9713134765625, 515.9713134765625]"
1,0.03,"[0.0, 0.0, -0.8506761193275452]","[-12.246237467352689, 9.616713930226085, -5.737075592208525]","[0.0, 0.0, -0.010163642466068268]","[6.734424902640512, -2.312141964142711, -2.1325134825874947]","[0.9999998807907104, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.06690755486488342, 0.05592784285545349, 0.0]",[1.0],"[0.936449365034108, 0.24395071584507388, 0.24395071584507388, -0.06355063496589204]",[0.594],"[0.0, 0.0, 6.818323040451064]","[515.9713134765625, 515.9713134765625, 515.9713134765625, 515.9713134765625]"
2,0.04,"[-1.1334586815792136e-06, 1.3558435512095457e-06, -0.8506669998168945]","[-12.179096397512188, 9.593682042210432, -5.758283888975771]","[-0.0003226677072234452, 0.00038582360139116645, 0.01319303922355175]","[6.714106984050083, -2.303188801565348, -2.1208296767246004]","[0.9999614953994751, 0.006725783459842205, 0.005638863891363144, -1.4617053238907829e-06]","[[0.9999364064253609, 7.877485108097375e-05, 0.011277273591538734], [7.292825506245509e-05, 0.9999095276717124, -0.013451065117780105], [-0.011277312915991706, 0.013451032148351453, 0.9998459341056195]]","[1.5640708208084106, 1.3203160762786865, -0.0008197089191526175]",[1.0],"[0.9364493650193443, 0.24393212888882515, 0.24396930161805827, -0.06355063428974989]",[0.594],"[0.15397911131973457, -0.18356401832119115, 9.038275262524506]","[515.9713134765625, 515.9713134765625, 515.9713134765625, 515.9713134765625]"
3,0.05,"[-2.1204261429375038e-05, 2.524166484363377e-05, -0.8504006862640381]","[-12.112158247029903, 9.570739447843058, -5.779375593928899]","[-0.003203821834176779, 0.0037951930426061153, 0.013348076492547989]","[6.69381504822848, -2.294259436737356, -2.1091704953128065]","[0.9995361566543579, 0.023121928796172142, 0.01981966756284237, -1.831833833421115e-05]","[[0.9992143608619684, 0.0009531575943550208, 0.03962010269810656], [0.0008799182262961575, 0.9989307521160089, -0.04622313512582034], [-0.03962179691941317, 0.04622168287227475, 0.9981451143202233]]","[2.6838743686676025, 2.3912720680236816, -0.006081277504563332]",[1.0],"[0.9364493628817395, 0.24372621326429525, 0.2441750459207671, -0.0635505363928786]",[0.594],"[0.36621658640975985, -0.42244513598675015, 6.690021524006342]","[515.9713134765625, 515.9713134765625, 515.9713134765625, 515.9713134765625]"
4,0.06,"[-0.00013683918223250657, 0.00016043049981817603, -0.8505947589874268]","[-12.045422756078151, 9.547885909146462, -5.800350953312415]","[-0.014067787677049637, 0.01627393253147602, -0.047518327832221985]","[6.673549095175169, -2.285353869659623, -2.09753593835158]","[0.9982092976570129, 0.04454858973622322, 0.039920222014188766, -5.2954805141780525e-05]","[[0.9968127461584403, 0.0036624991221751693, 0.07969275497966505], [0.0034510592079891387, 0.9960308407192536, -0.08894186037204159], [-0.07970219122716649, 0.08893340450177793, 0.9928435980945395]]","[2.844217300415039, 2.821688413619995, -0.016410857439041138]",[1.0],"[0.9364493317668307, 0.24306710153954464, 0.24483166385074276, -0.06354911139188239]",[0.594],"[0.22974133886172798, -0.22101435119672663, 0.5003220209025177]","[515.9713134765625, 515.9713134765625, 515.9713134765625, 515.9713134765625]"
5,0.07,"[-0.0004851570993196219, 0.0005566455656662583, -0.8518141508102417]","[-11.978889664829248, 9.52512118814315, -5.82121021337083]","[-0.03393450751900673, 0.038071487098932266, -0.11409246176481247]","[6.6533091248903276, -2.2764721003312616, -2.085926005841543]","[0.9960970878601074, 0.06430242955684662, 0.06046287342905998, -8.458681986667216e-05]","[[0.992688467396171, 0.007944332870691875, 0.12044290877374543], [0.007607306123214678, 0.9917303806070096, -0.12811315730487466], [-0.12046466532634713, 0.1280926998556729, 0.9844188766229016]]","[2.439650058746338, 2.6135976314544678, -0.026847483590245247]",[1.0],"[0.9364492020539206, 0.24199130646411618, 0.24589706191208685, -0.06354317045418048]",[0.594],"[0.002460903128268299, 0.0639472527711793, -0.20958649145658192]","[515.9713134765625, 515.9713134765625, 515.9713134765625, 515.9713134765625]"
6,0.08,"[-0.0012039467692375183, 0.0013498030602931976, -0.8540711402893066]","[-11.912558713455503, 9.502445046855623, -5.841953620348651]","[-0.0637652650475502, 0.06945886462926865, -0.1890423595905304]","[6.6330951373744895, -2.2676141287526264, -2.0743406977820733]","[0.9935293793678284, 0.08161009848117828, 0.07898898422718048, -0.00017616998229641467]","[[0.9875214202484093, 0.013242655994486728, 0.1569269786008012], [0.012542535870359497, 0.9866795232651828, -0.16219187144592778], [-0.15698448759194453, 0.1621362095011577, 0.974201067657027]]","[2.242156505584717, 2.3704333305358887, -0.03582112491130829]",[1.0],"[0.9364489174365942, 0.2406963035420612, 0.24716924710356394, -0.06353013284478524]",[0.594],"[-0.3914029244471755, 0.46011442157816385, -1.2159115439936183]","[635.3923950195312, 648.6342163085938, 618.8585815429688, 669.69970703125]"
7,0.09,"[-0.0024404709693044424, 0.00268055428750813, -0.8574960231781006]","[-11.846429642129237, 9.479857247306386, -5.86258142049039]","[-0.10239406675100327, 0.10919182002544403, -0.26647791266441345]","[6.612907132626589, -2.2587799549237175, -2.0627800141738817]","[0.9905639886856079, 0.09781394153833389, 0.09599616378545761, -0.0003714864724315703]","[[0.9815691967832579, 0.019515488854899673, 0.19010801566747304], [0.018043564344297696, 0.9808645893767178, -0.1938532617538223], [-0.19025336189414127, 0.19371061664657682, 0.9624343381687812]]","[2.1067605018615723, 2.1967613697052, -0.044743724167346954]",[1.0],"[0.9364484277756768, 0.23922940101638623, 0.24859687910113162, -0.06350769643894683]",[0.594],"[-0.723217487352191, 0.7717795500468365, -1.6588063891463136]","[635.3923950195312, 648.6342163085938, 618.8585815429688, 669.69970703125]"
8,0.1,"[-0.004761618096381426, 0.005132532212883234, -0.8630471229553223]","[-11.78050219102276, 9.457357551517937, -5.883093860040551]","[-0.156978577375412, 0.16462278366088867, -0.3482919931411743]","[6.592745110647691, -2.2499695788448903, -2.0512439550161687]","[0.9866928458213806, 0.115302674472332, 0.11463908106088638, -0.0006776839727535844]","[[0.9737148451714599, 0.0277737155657706, 0.22607083185672486], [0.025099052007377498, 0.9734096695208475, -0.22769201319248206], [-0.22638338693696333, 0.22738125693861871, 0.9471263517144706]]","[1.8144429922103882, 1.981001615524292, -0.05574207752943039]",[1.0],"[0.9364475233116876, 0.2373102581680246, 0.2504434362237034, -0.06346623278638608]",[0.594],"[-1.724857021170719, 1.7827282668807451, -2.349472845118921]","[635.3923950195312, 648.6342163085938, 618.8585815429688, 669.69970703125]"
9,0.11,"[-0.007499226834625006, 0.007986950688064098, -0.868746817111969]","[-11.714776100308388, 9.434945721512783, -5.903491185243649]","[-0.2091875672340393, 0.21700645983219147, -0.41139572858810425]","[6.572609071437263, -2.2411830005154343, -2.039732520309734]","[0.9834320545196533, 0.12771658599376678, 0.12864278256893158, -0.0009392668143846095]","[[0.9669003038770344, 0.034707044887692516, 0.2527829570949401], [0.031012224441465293, 0.9673751822249165, -0.25144283396132394], [-0.25326279690805514, 0.2509595143653124, 0.934279014990616]]","[1.5688557624816895, 1.8004908561706543, -0.06521924585103989]",[1.0],"[0.9367184351865397, 0.23573560417107048, 0.25099294824357826, -0.06316516476490112]",[0.594],"[-1.0461501489917513, 1.0857511168599299, -0.6906140546964554]","[635.3923950195312, 648.6342163085938, 618.8585815429688, 669.69970703125]"
