filename,method,condition,n_samples_after_t0,t0_seconds,mae_x,mae_y,mae_z,mae_3d,rmse_3d
simpleflight_fig8_pid_nowind,PID,nowind,1000,20.000000,2.554937,5.005226,1.096853,6.051291,6.443253
simpleflight_fig8_pid_5wind,PID,5wind,1000,20.000000,2.550758,4.963644,1.301914,6.046608,6.435651
simpleflight_fig8_pid_10wind,PID,10wind,1000,20.000000,2.541512,4.840352,1.824194,6.100981,6.508420
simpleflight_fig8_pid_12wind,PID,12wind,1000,20.000000,2.540088,4.776325,2.207206,6.211411,6.652183
simpleflight_fig8_pid_13p5wind,PID,13p5wind,1000,20.000000,2.533613,4.728881,2.586029,6.353548,6.842643
simpleflight_fig8_pid_18sint,PID,18sint,1000,20.000000,2.575285,5.190124,1.907527,6.432625,6.906981
simpleflight_fig8_pid_15wind,PID,15wind,1000,20.000000,2.537153,4.758122,3.305356,6.790371,7.389318
simpleflight_fig8_adaptive_nowind,Adaptive,nowind,4001,20.000000,0.814636,0.854777,1.222350,1.779894,1.796288
simpleflight_fig8_adaptive_5wind,Adaptive,5wind,4001,20.000000,0.815758,0.840646,1.221319,1.771719,1.788685
simpleflight_fig8_adaptive_10wind,Adaptive,10wind,4001,20.000000,0.816600,0.825211,1.221583,1.763861,1.782381
simpleflight_fig8_adaptive_12wind,Adaptive,12wind,4001,20.000000,0.817140,0.821240,1.220265,1.762819,1.782266
simpleflight_fig8_adaptive_13p5wind,Adaptive,13p5wind,4001,20.000000,0.815735,0.815771,1.216016,1.757106,1.779216
simpleflight_fig8_adaptive_18sint,Adaptive,18sint,4001,20.000000,0.816115,0.834998,1.571503,2.074135,2.198402
simpleflight_fig8_adaptive_15wind,Adaptive,15wind,4001,20.000000,1.231119,3.722857,15.366973,16.731864,18.969198
simpleflight_fig8_nnadaptive_nowind,NNAdaptive,nowind,4001,20.000000,0.863488,0.890053,158.033640,158.049815,187.128962
simpleflight_fig8_nnadaptive_5wind,NNAdaptive,5wind,4001,20.000000,0.863068,0.878956,15.306202,15.419046,22.644647
simpleflight_fig8_nnadaptive_10wind,NNAdaptive,10wind,4001,20.000000,0.866421,0.861549,5.951730,6.123559,6.641786
simpleflight_fig8_nnadaptive_12wind,NNAdaptive,12wind,4001,20.000000,0.866817,0.856777,4.989457,5.184249,5.476006
simpleflight_fig8_nnadaptive_13p5wind,NNAdaptive,13p5wind,4001,20.000000,0.866188,0.849563,3.534155,3.787693,3.926040
simpleflight_fig8_nnadaptive_18sint,NNAdaptive,18sint,4001,20.000000,0.863606,0.857336,3.210427,3.503541,3.645895
simpleflight_fig8_nnadaptive_15wind,NNAdaptive,15wind,4001,20.000000,0.867784,0.851355,2.010358,2.417819,2.528709
simpleflight_fig8_metapinn_nowind,MetaPINN,nowind,4001,20.000000,0.836198,0.867942,0.802554,1.547146,1.646115
simpleflight_fig8_metapinn_5wind,MetaPINN,5wind,4001,20.000000,0.837546,0.853100,0.590282,1.435636,1.522346
simpleflight_fig8_metapinn_10wind,MetaPINN,10wind,4001,20.000000,0.832016,0.830961,0.502730,1.368139,1.435046
simpleflight_fig8_metapinn_12wind,MetaPINN,12wind,4001,20.000000,0.836320,0.828015,0.491923,1.376229,1.430215
simpleflight_fig8_metapinn_13p5wind,MetaPINN,13p5wind,4001,20.000000,0.838531,0.824622,0.530823,1.418420,1.458520
simpleflight_fig8_metapinn_18sint,MetaPINN,18sint,4001,20.000000,0.835550,0.842474,0.929791,1.740736,1.948027
simpleflight_fig8_metapinn_15wind,MetaPINN,15wind,4001,20.000000,0.838438,0.821455,0.796989,1.610271,1.640329
