idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[-3.215816964881503e-16, 0.0005030302563682199, -0.8442808389663696]","[4.999750002083326, 0.049999166670833324, -10.04]","[-4.284731749092108e-14, 0.03197962045669556, -0.01315695233643055]","[-0.01874980468823395, 2.4999270837369783, -1.9999999999999574]","[1.0, -4.5357021008385345e-05, -8.232693055701829e-17, 2.3481572589134636e-12]","[[1.0, -4.696314500697183e-12, -3.776646965841434e-16], [4.6963145156336e-12, 0.9999999958854813, 9.071404183014838e-05], [-4.8356975033541615e-17, -9.071404183014838e-05, 0.9999999958854813]]","[-0.012705590575933456, -1.8045193296437403e-14, -3.913512014452891e-10]",[1.0],"[0.9674021080661505, -0.024135582512530195, -0.2520140923628995, 0.024135582512530195]",[0.594],"[-9.932402375723864e-13, 0.38366198063120754, 6.7049946708986035]","[516.1565551757812, 516.1565551757812, 516.1565551757812, 516.1565551757812]"
1,0.03,"[-1.2847375403853153e-15, 0.0010964282555505633, -0.8444781303405762]","[4.999437510546796, 0.07499718753164045, -10.06]","[-6.06315196075187e-14, 0.047124456614255905, -0.013160227797925472]","[-0.03124915365297909, 2.499802086080712, -2.000000000000135]","[1.0, -0.00020253619004506618, 2.457703418847591e-16, 1.0842021724855044e-19]","[[1.0, -3.1639519886110735e-19, 4.9154061968804e-16], [1.1728565234311197e-19, 0.9999999179581868, 0.00040507236347369605], [-4.915407075241074e-16, -0.00040507236347369605, 0.9999999179581868]]","[-0.02853836864233017, 6.935500351107349e-14, 1.174053632091443e-09]",[1.0],"[0.967507738962331, -0.019445824284561698, -0.2520416098492553, 0.019445824284561698]",[0.594],"[-1.1777900078872033e-12, 0.6734366589647035, 6.704950359312232]","[516.1565551757812, 516.1565551757812, 516.1565551757812, 516.1565551757812]"
2,0.04,"[2.426643561648234e-07, 0.0021073382813483477, -0.8447123765945435]","[4.999000033332889, 0.0999933334666654, -10.08]","[0.00012588774552568793, 0.06515508145093918, -0.013375641778111458]","[-0.04374772139073002, 2.499614593502496, -1.9999999999999574]","[0.9999932646751404, -0.0009697018540464342, -0.0035508687142282724, 1.2073544439772377e-06]","[[0.99997478266181, 4.471874976680876e-06, -0.007101691380812357], [9.301259846329229e-06, 0.9999981193538605, 0.0019393819192414818], [0.007101686697717353, -0.001939399067868626, 0.9999729020215012]]","[-0.18907709419727325, -1.224616527557373, -6.473355460911989e-05]",[1.0],"[0.9675771958390054, -0.015609673717571113, -0.2520598588297186, 0.015609673717571113]",[0.594],"[-0.11412160503516182, 0.9843632871537086, 6.699140353187062]","[516.1565551757812, 516.1565551757812, 516.1565551757812, 516.1565551757812]"
3,0.05,"[1.4981106687628198e-05, 0.0031949335243552923, -0.8450297117233276]","[4.998437581378513, 0.12498697957356167, -10.1]","[0.0027669761329889297, 0.07971234619617462, -0.03733023628592491]","[-0.05624519543756534, 2.4993646106896263, -1.9999999999999574]","[0.9998244643211365, -0.0028952849097549915, -0.018511228263378143, 7.938308044685982e-06]","[[0.9993146687356501, 9.131672981815188e-05, -0.03701600344462949], [0.0001230643879252216, 0.9999832345246794, 0.005789259427289993], [0.03701591150997624, -0.0057898472186143895, 0.9992979035123964]]","[-0.2879452407360077, -2.630483627319336, -0.0007146616699174047]",[1.0],"[0.9676411919906167, -0.010918320469983233, -0.2520778129311131, 0.010918320469983233]",[0.594],"[-0.5425783860747613, 1.1744609001388742, 6.087346213994831]","[516.1565551757812, 516.1565551757812, 516.1565551757812, 516.1565551757812]"
4,0.06,"[0.00012483022874221206, 0.004493418615311384, -0.8460878133773804]","[4.997750168744938, 0.1499775010124783, -10.12]","[0.013739315792918205, 0.09322328865528107, -0.10835205763578415]","[-0.06874126335754127, 2.499052143891664, -1.9999999999999574]","[0.999179482460022, -0.004721938632428646, -0.0402255579829216, 3.151873534079641e-05]","[[0.9967638070846221, 0.000316899475224952, -0.08038539955049642], [0.00044287096593416094, 0.9999554046056413, 0.009433592384439141], [0.0803848042323789, -0.009438663819143989, 0.9967192156639859]]","[-0.17361891269683838, -2.944694757461548, -0.0017144607845693827]",[1.0],"[0.9676838911245776, -0.005991446891618095, -0.2520903672192941, 0.005991446891618095]",[0.594],"[-1.000343445336254, 1.303069951512826, 4.412142838947247]","[516.1565551757812, 516.1565551757812, 516.1565551757812, 516.1565551757812]"
5,0.07,"[0.0004712486988864839, 0.0059886048547923565, -0.8482462167739868]","[4.996937812617443, 0.174964273021681, -10.14]","[0.03415834158658981, 0.10605057328939438, -0.17952324450016022]","[-0.08123561274953062, 2.4986772009202682, -2.000000000000135]","[0.99812912940979, -0.005392082966864109, -0.06090395897626877, 9.076438436750323e-05]","[[0.9925814000797217, 0.0004756091839928233, -0.12158099362845963], [0.0008379874392375614, 0.9999418344140037, 0.010752932893349424], [0.12157903599235816, -0.010775044531754733, 0.9925232674464148]]","[-0.02067631483078003, -2.547739267349243, -0.002167251892387867]",[1.0],"[0.9677024460292366, -0.0009456037574724429, -0.25209327857151786, 0.0009456037574724429]",[0.594],"[-1.2497516077490025, 1.3589027953688608, 3.1167973421471693]","[516.1565551757812, 516.1565551757812, 516.1565551757812, 516.1565551757812]"
6,0.08,"[0.001200094004161656, 0.007673363666981459, -0.8515390753746033]","[4.99600053330489, 0.1999466709331708, -10.16]","[0.06495048105716705, 0.11854630708694458, -0.2624308466911316]","[-0.09372793125530521, 2.4982397911489818, -1.9999999999999574]","[0.9968732595443726, -0.005227735266089439, -0.07884395122528076, 0.00018230103887617588]","[[0.9875671965748541, 0.00046088853469012584, -0.15719675515430356], [0.0011878126386604382, 0.9999452751020984, 0.010394032043640807], [0.1571929430681254, -0.010451525378976246, 0.987512604611624]]","[0.04444558173418045, -2.295975685119629, -0.002253607613965869]",[1.0],"[0.9676956724492555, 0.004104857946901938, -0.25208548594012037, -0.004104857946901938]",[0.594],"[-1.2546110766940801, 1.3701303235932392, 1.8211680869155629]","[516.1565551757812, 516.1565551757812, 516.1565551757812, 516.1565551757812]"
7,0.09,"[0.002792974701151252, 0.009942172095179558, -0.8572317361831665]","[4.9949383542392125, 0.22492407018830118, -10.18]","[0.11402720212936401, 0.13358497619628906, -0.3696237802505493]","[-0.10621790656770713, 2.497739925513037, -1.9999999999999574]","[0.9950991272926331, -0.0046768635511398315, -0.0987713634967804, 0.0003101484617218375]","[[0.9804882436024179, 0.000306623444935612, -0.19657749143660533], [0.001541137268891357, 0.9999560615115937, 0.009246617875763419], [0.19657168934860395, -0.00936915301854812, 0.9804446898822753]]","[0.07194817811250687, -2.1443428993225098, -0.002354895696043968]",[1.0],"[0.967670639043007, 0.008327362034245228, -0.2520703947330955, -0.008327362034245228]",[0.594],"[-1.00871740655688, 1.4279348909826757, 0.18603539419729742]","[516.1565551757812, 516.1565551757812, 516.1565551757812, 516.1565551757812]"
8,0.1,"[0.004857109393924475, 0.012041766196489334, -0.8634043335914612]","[4.993751301974831, 0.24989584635339163, -10.2]","[0.16230665147304535, 0.1464136391878128, -0.4522666037082672]","[-0.11870522643810943, 2.497177616509044, -1.9999999999999574]","[0.9934650659561157, -0.0039456505328416824, -0.11406786739826202, 0.0004370996030047536]","[[0.9739766630904625, 3.165750933316509e-05, -0.22664831513375464], [0.001768630123013669, 0.999968481573979, 0.007740013315153761], [0.22664141656514505, -0.007939449378445061, 0.9739459088886361]]","[0.12586696445941925, -1.945066213607788, -0.002466935897246003]",[1.0],"[0.9676202913284369, 0.013120361004229527, -0.252045924359669, -0.013120361004229527]",[0.594],"[-0.8543645908039119, 1.4049734066020123, -0.4410696023367642]","[516.1565551757812, 516.1565551757812, 516.1565551757812, 516.1565551757812]"
9,0.11,"[0.0076924036256968975, 0.014336601831018925, -0.8707816004753113]","[4.992439406187993, 0.2748613751353386, -10.22]","[0.21695931255817413, 0.15964488685131073, -0.5314412713050842]","[-0.13118957868387682, 2.4965528781946964, -2.000000000000135]","[0.9918091893196106, -0.0027386522851884365, -0.1276973932981491, 0.000611590628977865]","[[0.9673860023120412, -0.000513724913099474, -0.25330625459597533], [0.001912599991789394, 0.9999842514805997, 0.005276244124007927], [0.25329955485945654, -0.005588638250806891, 0.9673717499650808]]","[0.18992948532104492, -1.7199598550796509, -0.0025288406759500504]",[1.0],"[0.9675498207719241, 0.017723809044722535, -0.2520156721288103, -0.017723809044722535]",[0.594],"[-0.6470795645400509, 1.3758396310996808, -0.851621094167804]","[516.1565551757812, 516.1565551757812, 516.1565551757812, 516.1565551757812]"
