idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[9.490472660810033e-16, 0.0005208983202464879, -0.844201922416687]","[4.999750002083326, 0.049999166670833324, -10.04]","[2.484059507569525e-13, 0.03662026301026344, -0.013155212625861168]","[-0.01874980468823395, 2.4999270837369783, -1.9999999999999574]","[1.0, -3.6409579479368404e-05, 5.395024950396944e-16, -2.3481574323858112e-11]","[[1.0, 4.696314854617307e-11, 2.788913479672662e-15], [-4.69631486247453e-11, 0.999999997348685, 7.281915886220357e-05], [6.309035023746662e-16, -7.281915886220357e-05, 0.999999997348685]]","[-0.012080863118171692, 1.8607438181418579e-13, -3.913512180986345e-09]",[1.0],"[0.9672936842966531, -0.028147706026979212, -0.25198584731452206, 0.028147706026979212]",[0.594],"[6.2891818087276815e-12, 0.4849672046471459, 6.704937418894996]","[516.1643676757812, 516.1643676757812, 516.1643676757812, 516.1643676757812]"
1,0.03,"[8.55440426882157e-15, 0.0010524933459237218, -0.8443597555160522]","[4.999437510546796, 0.07499718753164045, -10.06]","[1.1671535049204151e-12, 0.05196614935994148, -0.013159779831767082]","[-0.03124915365297909, 2.499802086080712, -2.000000000000135]","[1.0, -0.000158438240760006, 5.929012943312658e-15, -5.165946490026663e-11]","[[1.0, 1.0331892532818696e-10, 2.8227694652837684e-14], [-1.0331892908571639e-10, 0.999999949794649, 0.00031687647356556454], [4.511643474923406e-15, -0.00031687647356556454, 0.999999949794649]]","[-0.028747258707880974, 1.1410978498910263e-12, -5.478917763923619e-09]",[1.0],"[0.9674180801354602, -0.023486661370912872, -0.2520182531807158, 0.023486661370912872]",[0.594],"[2.823088384996902e-11, 0.7530987373737938, 6.704875538920827]","[516.1643676757812, 516.1643676757812, 516.1643676757812, 516.1643676757812]"
2,0.04,"[4.319709390188109e-08, 0.002424390520900488, -0.8446334600448608]","[4.999000033332889, 0.0999933334666654, -10.08]","[4.0197566704591736e-05, 0.07863638550043106, -0.012778452597558498]","[-0.04374772139073002, 2.499614593502496, -1.9999999999999574]","[0.9999977350234985, -0.0008470455650240183, -0.0019612987525761127, 8.221434200095246e-07]","[[0.9999923066133178, 1.6783356469130441e-06, -0.003922589879069656], [4.966901765835531e-06, 0.9999985650263188, 0.0016940840100421808], [0.003922587093498001, -0.0016940904599174163, 0.9999908716423404]]","[-0.16488312184810638, -0.8896591663360596, -2.9598764740512706e-05]",[1.0],"[0.9674551199877266, -0.021906642315730182, -0.2520280184650735, 0.021906642315730182]",[0.594],"[-0.06377189115117168, 1.2581805775140518, 6.714378457103663]","[516.1643676757812, 516.1643676757812, 516.1643676757812, 516.1643676757812]"
3,0.05,"[8.355416866834275e-06, 0.0037446185015141964, -0.8448858261108398]","[4.998437581378513, 0.12498697957356167, -10.1]","[0.0017574387602508068, 0.09726200997829437, -0.027649978175759315]","[-0.05624519543756534, 2.4993646106896263, -1.9999999999999574]","[0.99988853931427, -0.0027880158741027117, -0.014668066054582596, 7.121956514311023e-06]","[[0.9995696955820049, 6.754727551199761e-05, -0.02933290151797973], [9.603192583239885e-05, 0.9999844538337803, 0.005575201218366646], [0.02933282209346976, -0.005575619079674195, 0.9995541496186744]]","[-0.33042284846305847, -2.410418748855591, -0.0005790920695289969]",[1.0],"[0.9675295397328423, -0.0183048486832386, -0.25204916802532484, 0.0183048486832386]",[0.594],"[-0.44052196918015585, 1.4812071996855136, 6.331046744606191]","[516.1643676757812, 516.1643676757812, 516.1643676757812, 516.1643676757812]"
4,0.06,"[8.821322990115732e-05, 0.0053366804495453835, -0.845731258392334]","[4.997750168744938, 0.1499775010124783, -10.12]","[0.010746465995907784, 0.11474952846765518, -0.09321513772010803]","[-0.06874126335754127, 2.499052143891664, -1.9999999999999574]","[0.9993485808372498, -0.005287699401378632, -0.03569934889674187, 2.2770418581785634e-05]","[[0.9974511119137569, 0.0003320236839734166, -0.07135242884641856], [0.00042304602687945054, 0.9999440794325279, 0.010566884114696043], [0.07135194723389883, -0.01057013567119906, 0.9973951934202527]]","[-0.29611894488334656, -2.972673177719116, -0.001848940853960812]",[1.0],"[0.9675935145397385, -0.014458647938608283, -0.2520705265751262, 0.014458647938608283]",[0.594],"[-0.919599063901693, 1.6540279484886804, 4.739731150103921]","[516.1643676757812, 516.1643676757812, 516.1643676757812, 516.1643676757812]"
5,0.07,"[0.00037615682231262326, 0.007182071916759014, -0.8476793766021729]","[4.996937812617443, 0.174964273021681, -10.14]","[0.029273703694343567, 0.13115575909614563, -0.1651856154203415]","[-0.08123561274953062, 2.4986772009202682, -2.000000000000135]","[0.9983525276184082, -0.006882292218506336, -0.056963544338941574, 6.402915460057557e-05]","[[0.9935103009347874, 0.0006562321891653385, -0.11374028000573046], [0.0009119268663908272, 0.9999052599067358, 0.013734613217466114], [0.11373851733629385, -0.013749202528035711, 0.9934155772404542]]","[-0.13467326760292053, -2.6349689960479736, -0.0027933770325034857]",[1.0],"[0.9676448099142541, -0.010393477939747526, -0.2520876156452583, 0.010393477939747526]",[0.594],"[-1.2190433852724216, 1.7468345340286855, 3.348343905233948]","[516.1643676757812, 516.1643676757812, 516.1643676757812, 516.1643676757812]"
6,0.08,"[0.00119875802192837, 0.009713075123727322, -0.8514899611473083]","[4.99600053330489, 0.1999466709331708, -10.16]","[0.06482426822185516, 0.14991062879562378, -0.26219257712364197]","[-0.09372793125530521, 2.4982397911489818, -1.9999999999999574]","[0.9968619346618652, -0.007549327798187733, -0.07879968732595444, 0.00015148821694310755]","[[0.9875811741823276, 0.0008877435569815624, -0.15710708549276867], [0.0014917948308859892, 0.9998859694162342, 0.01502739873498389], [0.15710251095650132, -0.01507514762563509, 0.98746723539327]]","[-0.034802790731191635, -2.2972240447998047, -0.0033006398007273674]",[1.0],"[0.967674061276442, -0.007121143055005324, -0.2520967249561402, 0.007121143055005324]",[0.594],"[-1.207493541371156, 1.857527366994645, 1.6283829058488717]","[516.1643676757812, 516.1643676757812, 516.1643676757812, 516.1643676757812]"
7,0.09,"[0.0024609777610749006, 0.012076208367943764, -0.8560958504676819]","[4.9949383542392125, 0.22492407018830118, -10.18]","[0.10494394600391388, 0.16514183580875397, -0.35188472270965576]","[-0.10621790656770713, 2.497739925513037, -1.9999999999999574]","[0.9953991174697876, -0.007697307970374823, -0.09550537168979645, 0.00024025070888455957]","[[0.981757332248756, 0.0009919778447834537, -0.1901356267398642], [0.0019485592331765355, 0.9998813874574747, 0.01527789687850326], [0.1901282296049703, -0.015369677812850728, 0.9816389505878467]]","[-0.014825752004981041, -2.1741271018981934, -0.0036651964765042067]",[1.0],"[0.9676969807423526, -0.0029527541493455465, -0.2520976854094146, 0.0029527541493455465]",[0.594],"[-1.0932771943980875, 1.8399931984706255, 0.5018295507843398]","[516.1643676757812, 516.1643676757812, 516.1643676757812, 516.1643676757812]"
8,0.1,"[0.004851462319493294, 0.015212936326861382, -0.8633520007133484]","[4.993751301974831, 0.24989584635339163, -10.2]","[0.16221588850021362, 0.18338485062122345, -0.45254045724868774]","[-0.11870522643810943, 2.497177616509044, -1.9999999999999574]","[0.99344801902771, -0.007687321864068508, -0.11402569711208344, 0.0003493919793982059]","[[0.9739960377675756, 0.0010588988837131458, -0.22656256783991807], [0.0024473099030561064, 0.9998815660207109, 0.015194229372007304], [0.22655182428597176, -0.015353588021203284, 0.9738780920872865]]","[0.02496984414756298, -1.9451173543930054, -0.004209882579743862]",[1.0],"[0.9677030538770865, 0.00021715659851703894, -0.2520927392047073, -0.00021715659851703894]",[0.594],"[-0.7699001104264682, 1.8980817820815155, -0.6732433779692641]","[516.1643676757812, 516.1643676757812, 516.1643676757812, 516.1643676757812]"
9,0.11,"[0.007684777025133371, 0.01807822287082672, -0.8707320094108582]","[4.992439406187993, 0.2748613751353386, -10.22]","[0.2167275846004486, 0.19866694509983063, -0.5312994718551636]","[-0.13118957868387682, 2.4965528781946964, -2.000000000000135]","[0.9917915463447571, -0.0072323973290622234, -0.1276601105928421, 0.00047428900143131614]","[[0.9674053459390899, 0.0009057855438649098, -0.2532312701879813], [0.0027873686296834973, 0.9998949349689571, 0.014224963955925865], [0.2532175492034312, -0.01446715507533043, 0.9673011807081775]]","[0.0941624864935875, -1.7212586402893066, -0.004657678306102753]",[1.0],"[0.9676970190943255, 0.004169550563217478, -0.2520791827550222, -0.004169550563217478]",[0.594],"[-0.5872079984489318, 1.852182004501463, -1.0153236816384208]","[516.1643676757812, 516.1643676757812, 516.1643676757812, 516.1643676757812]"
