idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[-6.222804309364562e-17, 0.0002846909628715366, -0.8442507386207581]","[4.999750002083326, 0.049999166670833324, -10.04]","[-6.223206120618916e-15, 0.018243592232465744, -0.013156097382307053]","[-0.01874980468823395, 2.4999270837369783, -1.9999999999999574]","[1.0, -2.5523902877466753e-05, -1.0036711767697919e-17, -2.3481572589134636e-12]","[[1.0, 4.696314515279774e-12, 9.979485203464245e-17], [-4.69631451425507e-12, 0.9999999986970608, 5.104780572167742e-05], [1.399416990792797e-16, -5.104780572167742e-05, 0.9999999986970608]]","[-0.00715614203363657, 2.1451963198425988e-14, -7.827024028905782e-10]",[1.0],"[0.967699249777979, -0.0027435402768997623, -0.25209149957346355, 0.0027435402768997623]",[0.594],"[-1.5475810194070716e-13, 0.22215192828287864, 6.704970233935288]","[516.169677734375, 516.169677734375, 516.169677734375, 516.169677734375]"
1,0.03,"[9.283498307263873e-17, 0.0005469121388159692, -0.8444085717201233]","[4.999437510546796, 0.07499718753164045, -10.06]","[4.2767523599157933e-14, 0.025482026860117912, -0.013158302754163742]","[-0.03124915365297909, 2.499802086080712, -2.000000000000135]","[1.0, -9.127084194915369e-05, 4.1213793593954833e-16, -5.870393147283659e-12]","[[1.0, 1.1740786121529911e-11, 1.8958673063360703e-15], [-1.1740786271994617e-11, 0.999999983339267, 0.00018254168237766825], [2.4731557631091747e-16, -0.00018254168237766825, 0.999999983339267]]","[-0.014630328863859177, 5.559862792381409e-09, -7.827024028905782e-10]",[1.0],"[0.9676948240689647, 0.004011546362663351, -0.2520903466495977, -0.004011546362663351]",[0.594],"[1.1454848122383496e-12, 0.3506242893596859, 6.70496000332848]","[516.169677734375, 516.169677734375, 516.169677734375, 516.169677734375]"
2,0.04,"[4.6555825861105404e-08, 0.0012184834340587258, -0.8446952700614929]","[4.999000033332889, 0.0999933334666654, -10.08]","[4.322647146182135e-05, 0.03851130232214928, -0.015485872514545918]","[-0.04374772139073002, 2.499614593502496, -1.9999999999999574]","[0.9999979138374329, -0.00029406085377559066, -0.0020439736545085907, 4.570482303734025e-07]","[[0.9999916443437501, 2.8801069559515137e-07, -0.004087938673687906], [2.116199635025195e-06, 0.9999998270560266, 0.0005881185581497482], [0.004087938136087985, -0.0005881222949275714, 0.9999914714006124]]","[-0.01507016271352768, -0.9235044717788696, -5.95724668528419e-06]",[1.0],"[0.9676594392889538, 0.009196977863379526, -0.25208110791822447, -0.009196977863379526]",[0.594],"[-0.06642652685936348, 0.5974200438093238, 6.646369176448289]","[516.169677734375, 516.169677734375, 516.169677734375, 516.169677734375]"
3,0.05,"[8.873579645296559e-06, 0.0018675965256989002, -0.8450155854225159]","[4.998437581378513, 0.12498697957356167, -10.1]","[0.0018507097847759724, 0.04802922159433365, -0.033494263887405396]","[-0.05624519543756534, 2.4993646106896263, -1.9999999999999574]","[0.9998856782913208, -0.00018494762480258942, -0.015120207332074642, 5.323910045262892e-06]","[[0.9995427586150101, -5.053709824261494e-06, -0.030236958755069192], [1.6239495279944883e-05, 0.9999999315320658, 0.00036969195622271625], [0.030236954816491222, -0.00037001395070961616, 0.999542690260452]]","[0.051345549523830414, -2.461210250854492, 2.4907909391913563e-05]",[1.0],"[0.9675829103488012, 0.015257837581399399, -0.2520609277903915, -0.015257837581399399]",[0.594],"[-0.45312758711801276, 0.685317173581414, 6.201095355469853]","[516.169677734375, 516.169677734375, 516.169677734375, 516.169677734375]"
4,0.06,"[9.182342910207808e-05, 0.0026614454109221697, -0.8459524512290955]","[4.997750168744938, 0.1499775010124783, -10.12]","[0.011113100685179234, 0.05788841098546982, -0.0998181402683258]","[-0.06874126335754127, 2.499052143891664, -1.9999999999999574]","[0.9993384480476379, 0.0006057949503883719, -0.03636441379785538, 2.472849519108422e-05]","[[0.9973552577855322, -9.348302179396314e-05, -0.07268067850865904], [5.365515122500652e-06, 0.9999992648020121, -0.0012125867583470615], [0.07268073843024479, 0.0012089898096789046, 0.9973545250335382]]","[0.15763556957244873, -2.9755334854125977, 0.00039371749153360724]",[1.0],"[0.9674714298043205, 0.021176755861154826, -0.2520320294606317, -0.021176755861154826]",[0.594],"[-0.9329242481086959, 0.7362695489395032, 4.622841517395628]","[516.169677734375, 516.169677734375, 516.169677734375, 516.169677734375]"
5,0.07,"[0.0003888645442202687, 0.003608112223446369, -0.8480160236358643]","[4.996937812617443, 0.174964273021681, -10.14]","[0.03017265349626541, 0.06846842169761658, -0.1744338423013687]","[-0.08123561274953062, 2.4986772009202682, -2.000000000000135]","[0.9983421564102173, 0.002133204834535718, -0.05751873925328255, 7.578793884022161e-05]","[[0.9933831779335776, -0.0003967230847863264, -0.11484643838352221], [-9.407391456189274e-05, 0.9999908873868535, -0.004268054984635914], [0.11484708506829752, 0.0042506180782650995, 0.9933740882956772]]","[0.23620998859405518, -2.6106960773468018, 0.0011473577469587326]",[1.0],"[0.9673301586505099, 0.026841141880246968, -0.2519980639618087, -0.026841141880246968]",[0.594],"[-1.2174863557690272, 0.7616348828372094, 3.1941677484569233]","[516.169677734375, 516.169677734375, 516.169677734375, 516.169677734375]"
6,0.08,"[0.0012340028770267963, 0.004965038504451513, -0.8520225882530212]","[4.99600053330489, 0.1999466709331708, -10.16]","[0.06638196110725403, 0.08256951719522476, -0.27428627014160156]","[-0.09372793125530521, 2.4982397911489818, -1.9999999999999574]","[0.9968494772911072, 0.004502593539655209, -0.07918854057788849, 0.00018327684665564448]","[[0.9874582830554126, -0.0010785064667809972, -0.15787645818505594], [-0.0003477087605973999, 0.9999593861225268, -0.00900584277440371], [0.1578797590695983, 0.008947789071082715, 0.9874178035395478]]","[0.2858142554759979, -2.2885217666625977, 0.0021659713238477707]",[1.0],"[0.9671888986994666, 0.03145482592414291, -0.25197038990902715, -0.03145482592414291]",[0.594],"[-1.1888010929515387, 0.8286535998548864, 1.4411376925615293]","[516.169677734375, 516.169677734375, 516.169677734375, 516.169677734375]"
7,0.09,"[0.002521785441786051, 0.006300616543740034, -0.856813371181488]","[4.9949383542392125, 0.22492407018830118, -10.18]","[0.10676796734333038, 0.09572264552116394, -0.36427727341651917]","[-0.10621790656770713, 2.497739925513037, -1.9999999999999574]","[0.995370090007782, 0.006780626717954874, -0.09587648510932922, 0.00030918748234398663]","[[0.9816152078096632, -0.0019157172784934036, -0.19086098036031562], [-0.0006846933764008273, 0.9999078550078091, -0.013557753820693283], [0.19086936630002266, 0.013439178583198166, 0.9815234452050734]]","[0.3157639801502228, -2.1754956245422363, 0.0030940468423068523]",[1.0],"[0.9670160020246426, 0.03628528916868127, -0.25194058814051296, -0.03628528916868127]",[0.594],"[-1.0750555680651606, 0.838408260563523, 0.352836687808729]","[516.169677734375, 516.169677734375, 516.169677734375, 516.169677734375]"
8,0.1,"[0.0044704885222017765, 0.007843557745218277, -0.8629237413406372]","[4.993751301974831, 0.24989584635339163, -10.2]","[0.15423785150051117, 0.11021889746189117, -0.44941291213035583]","[-0.11870522643810943, 2.497177616509044, -1.9999999999999574]","[0.993725597858429, 0.009227062575519085, -0.11146346479654312, 0.0004661006387323141]","[[0.975151358121821, -0.0029833129300217485, -0.2215195896464458], [-0.0011306084304908144, 0.9998292881368996, -0.018442242494809073], [0.22153679260507741, 0.01823442973119816, 0.9749815152579216]]","[0.3366636633872986, -1.9872171878814697, 0.004090304486453533]",[1.0],"[0.9668353002632399, 0.04068160918989257, -0.25191695122135216, -0.04068160918989257]",[0.594],"[-0.9103565328757957, 0.855081451936618, -0.3750763376599977]","[516.169677734375, 516.169677734375, 516.169677734375, 516.169677734375]"
9,0.11,"[0.00717949727550149, 0.009614331647753716, -0.8702741861343384]","[4.992439406187993, 0.2748613751353386, -10.22]","[0.20818094909191132, 0.12612706422805786, -0.5305182933807373]","[-0.13118957868387682, 2.4965528781946964, -2.000000000000135]","[0.9920361638069153, 0.011862975545227528, -0.12539170682430267, 0.0006677251658402383]","[[0.9685529482095708, -0.004299852499365047, -0.24877037159403081], [-0.0016502224685625534, 0.999717647910464, -0.02370445574514947], [0.24880205642307845, 0.023369546954384944, 0.9682723795476116]]","[0.36823490262031555, -1.7552759647369385, 0.005145775619894266]",[1.0],"[0.9666535900494267, 0.0446280702389306, -0.25190062233865407, -0.0446280702389306]",[0.594],"[-0.6953355021712913, 0.8765372271849923, -0.848668532639353]","[516.169677734375, 516.169677734375, 516.169677734375, 516.169677734375]"
10,0.12,"[0.011573856696486473, 0.012071903795003891, -0.8807030916213989]","[4.991002699676021, 0.29982003239722294, -10.24]","[0.2817577123641968, 0.14734973013401031, -0.6286801695823669]","[-0.1436706511971586, 2.495865726188434, -1.9999999999999574]","[0.9900333285331726, 0.015319935977458954, -0.13999421894550323, 0.0009833357762545347]","[[0.9608013050061504, -0.006236475074650029, -0.2771677446549684], [-0.0023423344651853184, 0.9995286652438053, -0.030609815830711092], [0.2772280032170843, 0.030059170557088153, 0.9603338380467952]]","[0.39985111355781555, -1.5346256494522095, 0.0065316553227603436]",[1.0],"[0.9665320584693806, 0.04697866243628375, -0.2519104299376429, -0.04697866243628375]",[0.594],"[-0.1729535388800194, 0.9771897679502023, -1.6800620022131305]","[516.169677734375, 516.169677734375, 516.169677734375, 516.169677734375]"
11,0.13,"[0.01630292274057865, 0.01442703977227211, -0.8907535672187805]","[4.989441218356506, 0.3247711941739129, -10.26]","[0.34968429803848267, 0.16691343486309052, -0.7110303044319153]","[-0.15614813195155008, 2.495116177668999, -1.9999999999999574]","[0.9883841276168823, 0.018314167857170105, -0.15086357295513153, 0.001291534281335771]","[[0.954477032147576, -0.008078944933585616, -0.29817499182781126], [-0.0029728173969750813, 0.9993258464425009, -0.03659255373301085], [0.2982696053229016, 0.03581317188883352, 0.9538095508327548]]","[0.3966596722602844, -1.4003241062164307, 0.007792206015437841]",[1.0],"[0.9663809012273473, 0.049784304563746384, -0.2519147793335319, -0.049784304563746384]",[0.594],"[0.08031484596099059, 0.9974264200959815, -1.9147050608075888]","[516.169677734375, 516.169677734375, 516.169677734375, 516.169677734375]"
12,0.14,"[0.02208743803203106, 0.01708788052201271, -0.9020249843597412]","[4.987755001266398, 0.34971423668766377, -10.28]","[0.4223680794239044, 0.18812726438045502, -0.7913998961448669]","[-0.16862170901079665, 2.4943042513750844, -1.9999999999999574]","[0.986764132976532, 0.021167095750570297, -0.16076701879501343, 0.0016055813757702708]","[[0.9483027813577702, -0.009974600869005899, -0.31721024921433577], [-0.003637281123915808, 0.9990987524330698, -0.04229010608533901], [0.3173461911779352, 0.04125760807642208, 0.947411845355899]]","[0.371241956949234, -1.2740321159362793, 0.009111498482525349]",[1.0],"[0.9662489427609215, 0.05206395916373648, -0.2519286726315593, -0.05206395916373648]",[0.594],"[0.3348640248300496, 1.0339264768949765, -2.0655893180605442]","[516.169677734375, 516.169677734375, 516.169677734375, 516.169677734375]"
13,0.15,"[0.03051978163421154, 0.020719356834888458, -0.917129397392273]","[4.985944090561038, 0.3746485363637117, -10.3]","[0.5156458616256714, 0.21575528383255005, -0.8866149187088013]","[-0.18109107053598805, 2.493429967604793, -2.000000000000135]","[0.9848983287811279, 0.024442456662654877, -0.17138828337192535, 0.0019997525960206985]","[[0.9412441201719709, -0.012317406194302298, -0.33750227813503275], [-0.004439194978907523, 0.9987971347172618, -0.048832133155609386], [0.337697793581231, 0.047461196626638974, 0.9400572509295037]]","[0.3707461655139923, -1.12257981300354, 0.010801136493682861]",[1.0],"[0.9662188643535772, 0.05238692959470492, -0.25197237446840415, -0.05238692959470492]",[0.594],"[0.9432560995685302, 1.1848637275757814, -2.5940167853543414]","[516.169677734375, 516.169677734375, 516.169677734375, 516.169677734375]"
14,0.16,"[0.03886599466204643, 0.024139748886227608, -0.9310168623924255]","[4.984008531513097, 0.3995734698458635, -10.32]","[0.5977453589439392, 0.24050818383693695, -0.9645581245422363]","[-0.1935559047940849, 2.49249334821518, -1.9999999999999574]","[0.9834253787994385, 0.02719535119831562, -0.17924654483795166, 0.002369190100580454]","[[0.9357301261840323, -0.014409188824570292, -0.35242234070647804], [-0.0050895021332521394, 0.9985095996224757, -0.05433853540351408], [0.352680064533921, 0.05263985884461707, 0.9342621780534457]]","[0.36678263545036316, -1.01097571849823, 0.01234385184943676]",[1.0],"[0.9661446641922325, 0.05352626502975202, -0.25200100760005556, -0.05352626502975202]",[0.594],"[1.1222941320173554, 1.215556118295444, -2.560318900371879]","[516.169677734375, 516.169677734375, 516.169677734375, 516.169677734375]"
15,0.17,"[0.048466842621564865, 0.027942411601543427, -0.9460539817810059]","[4.981948372511452, 0.42448841401208015, -10.34]","[0.6828831434249878, 0.2667458951473236, -1.0399956703186035]","[-0.20601590016449123, 2.4914944166216646, -1.9999999999999574]","[0.9820317625999451, 0.029748138040304184, -0.18633635342121124, 0.0027352424804121256]","[[0.9305425673400457, -0.016458508249149573, -0.3658136791789083], [-0.005714128837914232, 0.9982151335573538, -0.05944657995795907], [0.3661391526453027, 0.057407879627164246, 0.9287876271015311]]","[0.3213474154472351, -0.9162161350250244, 0.01396901160478592]",[1.0],"[0.9660976735209562, 0.05416996947438399, -0.2520341096189913, -0.05416996947438399]",[0.594],"[1.29601373693069, 1.2595755053781397, -2.4908763122992017]","[669.8563842773438, 651.54736328125, 661.3572998046875, 653.4448852539062]"
16,0.18,"[0.059369370341300964, 0.032149892300367355, -0.962215006351471]","[4.979763665059972, 0.4493927459900553, -10.36]","[0.7713656425476074, 0.2944732904434204, -1.114741325378418]","[-0.218470745148025, 2.4904331977975147, -1.9999999999999574]","[0.9807206392288208, 0.03197295218706131, -0.19275714457035065, 0.00307229976169765]","[[0.9256704882107938, -0.018352165548913228, -0.3778853599641776], [-0.006299894376289975, 0.9979365826004691, -0.063897483820136], [0.37827828193862567, 0.06152865289734723, 0.9236448269146531]]","[0.2892286479473114, -0.8302412629127502, 0.01565849781036377]",[1.0],"[0.9660797057438297, 0.05431272931709538, -0.252070037199205, -0.05431272931709538]",[0.594],"[1.4763454708539827, 1.3196222209263748, -2.4387418006920667]","[669.8563842773438, 651.54736328125, 661.3572998046875, 653.4448852539062]"
17,0.19,"[0.07424045354127884, 0.037763457745313644, -0.9830847978591919]","[4.977454463776226, 0.47428584317278655, -10.38]","[0.8815963864326477, 0.32951655983924866, -1.2037537097930908]","[-0.23092012837455655, 2.489309718273125, -2.000000000000135]","[0.9792554378509521, 0.034465957432985306, -0.199646458029747, 0.003486800706014037]","[[0.9202582665002272, -0.020590950148390956, -0.39076941501348755], [-0.006933075677420328, 0.9975998799519631, -0.06889420862075446], [0.39125011872157683, 0.0661096989239503, 0.9179067775697796]]","[0.27694544196128845, -0.7343290448188782, 0.017806245014071465]",[1.0],"[0.966192430971523, 0.052150412945861875, -0.2521256210123217, -0.052150412945861875]",[0.594],"[2.094425370772888, 1.520956793473854, -2.7894490417421896]","[669.8563842773438, 651.54736328125, 661.3572998046875, 653.4448852539062]"
