idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[0.0, 0.0, -0.8443597555160522]","[4.999750002083326, 0.049999166670833324, -10.04]","[0.0, 0.0, -0.013157463632524014]","[-0.01874980468823395, 2.4999270837369783, -1.9999999999999574]","[0.9999998807907104, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[1.0],"[0.9649523520665683, 0.0729131214206725, -0.2513759161281007, -0.0729131214206725]",[0.594],"[0.0, 0.0, 6.705059341312886]","[515.9185180664062, 515.9185180664062, 515.9185180664062, 515.9185180664062]"
1,0.03,"[0.0, 0.0, -0.8553730845451355]","[4.999437510546796, 0.07499718753164045, -10.06]","[0.0, 0.0, -0.008190657943487167]","[-0.03124915365297909, 2.499802086080712, -2.000000000000135]","[0.9999998807907104, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[1.0],"[0.9642636877804399, 0.081516289551072, -0.25119651492195877, -0.081516289551072]",[0.594],"[0.0, 0.0, 6.829911843779939]","[515.9185180664062, 515.9185180664062, 515.9185180664062, 515.9185180664062]"
2,0.04,"[0.0, 0.0, -0.8555057048797607]","[4.999000033332889, 0.0999933334666654, -10.08]","[6.0463703448476736e-06, 2.7276405489828903e-06, -0.00343592488206923]","[-0.04374772139073002, 2.499614593502496, -1.9999999999999574]","[0.9999996423721313, 0.00037126007373444736, -0.0007967071142047644, 6.909768757168422e-09]","[[0.999998730515621, -6.053905817995374e-07, -0.0015934135620940368], [-5.777515182396565e-07, 0.999999724331931, -0.0007425198503713939], [0.0015934135723553212, 0.0007425198283511474, 0.9999984548475522]]","[0.24775870144367218, -0.5181368589401245, 1.231223541253712e-05]",[1.0],"[0.963498444938694, 0.0901115161772948, -0.2509972199735765, -0.0901115161772948]",[0.594],"[-0.026163504543030253, -0.012194274747808658, 6.9180300049859405]","[515.9185180664062, 515.9185180664062, 515.9185180664062, 515.9185180664062]"
3,0.05,"[3.5449415918265004e-06, 1.6885132936295122e-06, -0.8554774522781372]","[4.998437581378513, 0.12498697957356167, -10.1]","[0.0008623992325738072, 0.00041511538438498974, 0.003226223634555936]","[-0.05624519543756534, 2.4993646106896263, -1.9999999999999574]","[0.9999361038208008, 0.004946931265294552, -0.010164249688386917, 2.4316868802998215e-06]","[[0.9997933760438567, -0.0001054267525926155, -0.02032717648930497], [-9.570062653286974e-05, 0.9999510557300827, -0.009893279824367105], [0.020327224606856594, 0.009893180959276231, 0.9997444317975916]]","[0.9598937034606934, -1.9624803066253662, 0.0009694499894976616]",[1.0],"[0.9626669870075724, 0.09857419013246375, -0.25079060684686816, -0.09857419013246375]",[0.594],"[-0.3140701350293288, -0.1529732570146332, 7.027764111600089]","[515.9185180664062, 515.9185180664062, 515.9185180664062, 515.9185180664062]"
4,0.06,"[7.34676796128042e-05, 3.567304520402104e-05, -0.8557724952697754]","[4.997750168744938, 0.1499775010124783, -10.12]","[0.009279711171984673, 0.0045165615156292915, -0.05326712876558304]","[-0.06874126335754127, 2.499052143891664, -1.9999999999999574]","[0.9993242621421814, 0.016015827655792236, -0.033084623515605927, 2.7491410946822725e-05]","[[0.9978108140387961, -0.0011147008345167738, -0.06612364803369983], [-0.001004809507547429, 0.9994869850588503, -0.032011826811714675], [0.06612540922435664, 0.032008188640083965, 0.9972978021207568]]","[1.353019118309021, -2.8863940238952637, 0.005907978862524033]",[1.0],"[0.9618619639656903, 0.10591020357929169, -0.2506844213096587, -0.10591020357929169]",[0.594],"[-0.8642934650148469, -0.41780159309773407, 5.485382560703849]","[515.9185180664062, 515.9185180664062, 515.9185180664062, 515.9185180664062]"
5,0.07,"[0.0003320791875012219, 0.00016101710207294673, -0.8571421504020691]","[4.996937812617443, 0.174964273021681, -10.14]","[0.026681790128350258, 0.0128676388412714, -0.12622946500778198]","[-0.08123561274953062, 2.4986772009202682, -2.000000000000135]","[0.9981966614723206, 0.02553212270140648, -0.05432929843664169, 6.265861156862229e-05]","[[0.9940966476421008, -0.002899375453289234, -0.10845943374698984], [-0.002649193021008484, 0.9986962137521672, -0.05097896049766874], [0.10846583297552394, 0.05096534370595664, 0.9927928770986723]]","[1.1366676092147827, -2.6919758319854736, 0.011007814668118954]",[1.0],"[0.9611235440308428, 0.11198019630098491, -0.25069668326478856, -0.11198019630098491]",[0.594],"[-1.1833528998711724, -0.5490280401521115, 3.8725847540768434]","[515.9185180664062, 515.9185180664062, 515.9185180664062, 515.9185180664062]"
6,0.08,"[0.0009197714971378446, 0.00044166698353365064, -0.8595746755599976]","[4.99600053330489, 0.1999466709331708, -10.16]","[0.0536247119307518, 0.02537398226559162, -0.20115400850772858]","[-0.09372793125530521, 2.4982397911489818, -1.9999999999999574]","[0.9967645406723022, 0.033190783113241196, -0.07320453226566315, 9.312560723628849e-05]","[[0.9892821765296836, -0.00504507965965541, -0.14592916902360378], [-0.00467378248052664, 0.9977967266858485, -0.06618041985610917], [0.14594153266982127, 0.06615315099248031, 0.987078937905044]]","[0.9527266025543213, -2.3875720500946045, 0.014917487278580666]",[1.0],"[0.9604735275265086, 0.116872496875561, -0.25079890180624514, -0.116872496875561]",[0.594],"[-1.277796439561576, -0.5593768512093356, 2.577145908596643]","[515.9185180664062, 515.9185180664062, 515.9185180664062, 515.9185180664062]"
7,0.09,"[0.002272758400067687, 0.0010735088726505637, -0.8641135096549988]","[4.9949383542392125, 0.22492407018830118, -10.18]","[0.09884069859981537, 0.04572188854217529, -0.30334940552711487]","[-0.10621790656770713, 2.497739925513037, -1.9999999999999574]","[0.9947149753570557, 0.041962988674640656, -0.09370861202478409, 0.000214239553315565]","[[0.9824373024538846, -0.008290800402143788, -0.18640871593309782], [-0.0074383713402706225, 0.9964781238042298, -0.0835225682759233], [0.18644467645641905, 0.08344226392119189, 0.9789156098524363]]","[1.0341875553131104, -2.1967315673828125, 0.01947464793920517]",[1.0],"[0.9600529014583061, 0.11952364628798584, -0.25106872831311927, -0.11952364628798584]",[0.594],"[-1.094485029133896, -0.4684954104044192, 0.8577261169820147]","[515.9185180664062, 515.9185180664062, 515.9185180664062, 515.9185180664062]"
8,0.1,"[0.004092357587069273, 0.001910642720758915, -0.8692935705184937]","[4.993751301974831, 0.24989584635339163, -10.2]","[0.144902765750885, 0.06646127253770828, -0.38602909445762634]","[-0.11870522643810943, 2.497177616509044, -1.9999999999999574]","[0.9927436709403992, 0.04983522370457649, -0.10943642258644104, 0.00045717539614997804]","[[0.9760469228477574, -0.011815292156139398, -0.21723904637677124], [-0.009999860386866847, 0.9950324833617316, -0.09904726067503623], [0.2173301801215539, 0.09884713413271261, 0.971080242246789]]","[1.0474917888641357, -2.012892007827759, 0.023897619917988777]",[1.0],"[0.959642396085086, 0.12204703745835235, -0.2513349359614061, -0.12204703745835235]",[0.594],"[-0.9446410794302325, -0.4325827311440824, 0.03245960021477856]","[515.9185180664062, 515.9185180664062, 515.9185180664062, 515.9185180664062]"
9,0.11,"[0.0072523243725299835, 0.0033594018314033747, -0.8770570755004883]","[4.992439406187993, 0.2748613751353386, -10.22]","[0.20768079161643982, 0.09529232978820801, -0.4754713475704193]","[-0.13118957868387682, 2.4965528781946964, -2.000000000000135]","[0.9902679920196533, 0.058487165719270706, -0.1262851357460022, 0.0008044420392252505]","[[0.968102835593157, -0.01636534528497437, -0.25001814972155995], [-0.013178892560158263, 0.9931572088244558, -0.116039111298321], [0.250206347855878, 0.1156327550208845, 0.9612626329255203]]","[0.881507158279419, -1.7636052370071411, 0.02940811961889267]",[1.0],"[0.9595101120436759, 0.12220528766401009, -0.25175016961478097, -0.12220528766401009]",[0.594],"[-0.5724912067567791, -0.29099880352462537, -0.8206159573318423]","[515.9185180664062, 515.9185180664062, 515.9185180664062, 515.9185180664062]"
10,0.12,"[0.010804994963109493, 0.004991993308067322, -0.884746253490448]","[4.991002699676021, 0.29982003239722294, -10.24]","[0.26721981167793274, 0.12298473715782166, -0.550141453742981]","[-0.1436706511971586, 2.495865726188434, -1.9999999999999574]","[0.9882259368896484, 0.06459634751081467, -0.13869284093379974, 0.0010893488069996238]","[[0.9615262215121666, -0.020071145760250604, -0.27397896717158193], [-0.015765055128577406, 0.9916522510932179, -0.12797373143948915], [0.27426043896509916, 0.12736939196535546, 0.953183219328292]]","[0.7851365208625793, -1.5856471061706543, 0.03413610905408859]",[1.0],"[0.9593489310928772, 0.12272151621700822, -0.2520895528629588, -0.12272151621700822]",[0.594],"[-0.3656991272970149, -0.20062351249579846, -1.1000691823984994]","[515.9185180664062, 515.9185180664062, 515.9185180664062, 515.9185180664062]"
