idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[1.6391384548571195e-16, 0.00034941534977406263, -0.8443597555160522]","[7.999600003333322, 0.14999750001249998, -10.04]","[4.981521888513998e-15, 0.022217024117708206, -0.01315758191049099]","[-0.029999687501103267, 7.499781251210935, -1.9999999999999574]","[1.0, -3.14990829792805e-05, -2.313743287319026e-17, 4.696314517826927e-12]","[[1.0, -9.392629024876946e-12, -3.4213406679457796e-16], [9.39262902779218e-12, 0.9999999980156156, 6.299816589605472e-05], [-2.4958433539364407e-16, -6.299816589605472e-05, 0.9999999980156156]]","[-0.008824639953672886, -4.230316319681418e-14, 1.5654048057811565e-09]",[1.0],"[0.9666010864783635, 0.04617038718891233, -0.2518054214004417, -0.04617038718891233]",[0.594],"[5.711445121963609e-14, 0.26660059602775216, 6.705056055010669]","[516.1539306640625, 516.1539306640625, 516.1539306640625, 516.1539306640625]"
1,0.03,"[-6.669411430529457e-16, 0.000761709176003933, -0.8445570468902588]","[7.999100016874873, 0.22499156259492134, -10.06]","[-1.4827581436976933e-13, 0.03274540975689888, -0.013157127425074577]","[-0.049998645844873124, 7.499406258242136, -2.000000000000135]","[1.0, -0.00014068040763959289, -1.3431009691873335e-15, 1.408894442084252e-11]","[[1.0, -2.8177887906121126e-11, -6.650278695430541e-15], [2.817788866191308e-11, 0.9999999604180466, 0.0002813608097107805], [-1.2778749250063266e-15, -0.0002813608097107805, 0.9999999604180466]]","[-0.019825296476483345, -2.791854204417521e-13, 1.174053632091443e-09]",[1.0],"[0.9652198570706114, 0.06928197854912602, -0.25144560279533146, -0.06928197854912602]",[0.594],"[-3.914617013306034e-12, 0.4680715292233367, 6.705090734597874]","[516.1539306640625, 516.1539306640625, 516.1539306640625, 516.1539306640625]"
2,0.04,"[2.1833946561855555e-07, 0.001464354107156396, -0.8447624444961548]","[7.998400053332622, 0.2999800003999962, -10.08]","[0.00011169069330208004, 0.045333605259656906, -0.0074896616861224174]","[-0.0699963542251325, 7.498843780507489, -1.9999999999999574]","[0.9999940991401672, 0.0006823692237958312, -0.003371897852048278, 9.891439276543679e-07]","[[0.9999772606085588, -6.580034600405538e-06, -0.006743754333127364], [-2.623482370081272e-06, 0.9999990687425594, -0.001364737019137536], [0.00674375703297277, 0.0013647236779688445, 0.9999763293550318]]","[0.3560176491737366, -1.1535953283309937, 8.672437252243981e-05]",[1.0],"[0.963344143761453, 0.09174586734389016, -0.25095722441269463, -0.09174586734389016]",[0.594],"[-0.10856703129926262, 0.6407904752826203, 6.8471544199162935]","[516.1539306640625, 516.1539306640625, 516.1539306640625, 516.1539306640625]"
3,0.05,"[1.2944032278028317e-05, 0.0022258516401052475, -0.844883382320404]","[7.997500130205621, 0.374960938720685, -10.1]","[0.0023694164119660854, 0.05645515397191048, -0.015864385291934013]","[-0.08999231270010455, 7.498093832068875, -1.9999999999999574]","[0.9998331069946289, 0.0056777517311275005, -0.017366165295243263, 1.5088541658769827e-05]","[[0.999396832188326, -0.00022737358286878146, -0.034726360494483], [-0.00016702949270142834, 0.9999355258192694, -0.011354131657239966], [0.03472670317043563, 0.01135308353687157, 0.9993323589182516]]","[0.9523943662643433, -2.46867299079895, 0.001642410410568118]",[1.0],"[0.9609055536489312, 0.11445616033732729, -0.2503420359210336, -0.11445616033732729]",[0.594],"[-0.5146666750837113, 0.5886162751726057, 6.590251811291985]","[516.1539306640625, 516.1539306640625, 516.1539306640625, 516.1539306640625]"
4,0.06,"[0.00010818429291248322, 0.003171469084918499, -0.8454955816268921]","[7.9964002699919, 0.449932503037435, -10.12]","[0.01226975116878748, 0.07039164751768112, -0.07555414736270905]","[-0.10998602137206603, 7.497156431675, -1.9999999999999574]","[0.9991661310195923, 0.01457840297371149, -0.03813809156417847, 8.41526998556219e-05]","[[0.9970909578045334, -0.001280149979350451, -0.07621012452731277], [-0.0009438198720302576, 0.9995749261736548, -0.029138911595691864], [0.07621503177515124, 0.029126073902308803, 0.9966659123048957]]","[1.3485475778579712, -2.885202169418335, 0.005965058691799641]",[1.0],"[0.9580369761264832, 0.13619555130185215, -0.24971129215968096, -0.13619555130185215]",[0.594],"[-0.9657439903164052, 0.4500971093305009, 5.072153852408592]","[516.1539306640625, 516.1539306640625, 516.1539306640625, 516.1539306640625]"
5,0.07,"[0.0004287147894501686, 0.0043588546104729176, -0.8471969962120056]","[7.995100500187909, 0.5248928190650429, -10.14]","[0.032145991921424866, 0.08875353634357452, -0.1509292870759964]","[-0.12997698039916017, 7.4960316027607945, -2.000000000000135]","[0.997950553894043, 0.025216640904545784, -0.05881141126155853, 0.0002597300335764885]","[[0.9930823011443103, -0.0034844478121284408, -0.11736865755969955], [-0.002447656926541057, 0.9987281071700896, -0.05036046985503522], [0.11739485563469731, 0.05029936949798187, 0.9918106781531514]]","[1.4380966424942017, -2.585634231567383, 0.011391928419470787]",[1.0],"[0.9548595288688645, 0.15651438526364117, -0.24915581708545953, -0.15651438526364117]",[0.594],"[-1.2195471944036511, 0.3270355375441768, 3.49416318252886]","[516.1539306640625, 516.1539306640625, 516.1539306640625, 516.1539306640625]"
6,0.08,"[0.0011207067873328924, 0.005859421566128731, -0.8500608205795288]","[7.993600853287823, 0.5998400127995124, -10.16]","[0.06195613369345665, 0.11234114319086075, -0.2329917848110199]","[-0.14996469000854162, 7.494719373446945, -1.9999999999999574]","[0.9963696599006653, 0.03614312782883644, -0.07707695662975311, 0.0005507516325451434]","[[0.9881176786855491, -0.006669109123036867, -0.15355447259063107], [-0.0044741002238216886, 0.9973867419287014, -0.07210873353510827], [0.15363409613841925, 0.07193893249385255, 0.9855056339237112]]","[1.4855382442474365, -2.338911533355713, 0.01651759445667267]",[1.0],"[0.9514912018763284, 0.17524160327422633, -0.24870997554014548, -0.17524160327422633]",[0.594],"[-1.2486084877657833, 0.2694561707673664, 2.1005966821852713]","[516.1539306640625, 516.1539306640625, 516.1539306640625, 516.1539306640625]"
7,0.09,"[0.00264109019190073, 0.008186795748770237, -0.8551550507545471]","[7.99190136678274, 0.6747722105649036, -10.18]","[0.10895420610904694, 0.14759083092212677, -0.33252182602882385]","[-0.16994865050836694, 7.493219776539117, -1.9999999999999574]","[0.9939836263656616, 0.05029335245490074, -0.09729399532079697, 0.0010977010242640972]","[[0.9810653507889522, -0.011968673725448128, -0.19330682432496804], [-0.007604287207301504, 0.9949387485009853, -0.10019511738284502], [0.19352765253942178, 0.09976791859383953, 0.9760089190791413]]","[1.6784229278564453, -2.1716630458831787, 0.02307613380253315]",[1.0],"[0.9483695393109443, 0.19049701000714162, -0.24862042529983483, -0.19049701000714162]",[0.594],"[-1.0474847973285208, 0.3245023814690595, 0.5393830581874965]","[516.1539306640625, 516.1539306640625, 516.1539306640625, 516.1539306640625]"
8,0.1,"[0.004620283842086792, 0.010658394545316696, -0.8607431054115295]","[7.99000208315973, 0.7496875390601748, -10.2]","[0.15621846914291382, 0.18299946188926697, -0.4121192693710327]","[-0.18992836230093957, 7.491532849527127, -1.9999999999999574]","[0.9916060566902161, 0.06324942409992218, -0.11275537312030792, 0.001782554667443037]","[[0.9745660969929069, -0.01779860860623102, -0.22339232780848645], [-0.01072824067954918, 0.9919926658037254, -0.12583900763888767], [0.22384331002720126, 0.12503503718278552, 0.966571472801037]]","[1.7524418830871582, -1.9720617532730103, 0.029260173439979553]",[1.0],"[0.9449974213082325, 0.20558758506340694, -0.2485742630529065, -0.20558758506340694]",[0.594],"[-0.8955699356434139, 0.29346835888440825, -0.16693324394768538]","[516.1539306640625, 516.1539306640625, 516.1539306640625, 516.1539306640625]"
9,0.11,"[0.007360546849668026, 0.013705485500395298, -0.8675087690353394]","[7.987903049900788, 0.8245841254060159, -10.22]","[0.21021968126296997, 0.22429127991199493, -0.4892234206199646]","[-0.2099033258942562, 7.4896586345841065, -2.000000000000135]","[0.9890263676643372, 0.0761442556977272, -0.1265786737203598, 0.002610428025946021]","[[0.9679420525687494, -0.02444004017173194, -0.24998173394350326], [-0.014112912389100982, 0.9883904768918711, -0.15127819040878673], [0.2507768102773737, 0.14995649244318734, 0.9563597867963931]]","[1.705217957496643, -1.7581384181976318, 0.035682570189237595]",[1.0],"[0.9417409129219761, 0.2189190560226745, -0.24870844919860458, -0.2189190560226745]",[0.594],"[-0.6796550765613336, 0.3150350706472995, -0.6850284244299196]","[516.1539306640625, 516.1539306640625, 516.1539306640625, 516.1539306640625]"
