idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[-3.797571104456577e-16, 0.0006365264998748899, -0.8443006277084351]","[7.999600003333322, 0.14999750001249998, -10.04]","[-3.615624848672151e-14, 0.04046197980642319, -0.013157124631106853]","[-0.029999687501103267, 7.499781251210935, -1.9999999999999574]","[1.0, -5.740834603784606e-05, -3.8550117173323414e-17, -1.1740786294567318e-12]","[[1.0, 2.3481572556007963e-12, 5.77035899341626e-17], [-2.3481572467484023e-12, 0.9999999934085636, 0.0001148166916972887], [2.11904058119255e-16, -0.0001148166916972887, 0.9999999934085636]]","[-0.016080312430858612, 3.011126233336964e-14, -7.827024028905782e-10]",[1.0],"[0.9668095743706029, 0.04157657921705967, -0.251859733756226, -0.04157657921705967]",[0.594],"[-7.940502267016667e-13, 0.485342001157346, 6.704990393381173]","[516.14892578125, 516.14892578125, 516.14892578125, 516.14892578125]"
1,0.03,"[-5.164279940675072e-16, 0.0012141384650021791, -0.8444584608078003]","[7.999100016874873, 0.22499156259492134, -10.06]","[5.383435125634606e-14, 0.055792659521102905, -0.013160905800759792]","[-0.049998645844873124, 7.499406258242136, -2.000000000000135]","[1.0, -0.00020459556253626943, 4.1205090330421795e-16, -1.0566708098791455e-11]","[[1.0, 2.1133415144344435e-11, 5.147904766378101e-15], [-2.1133415481559565e-11, 0.9999999162813151, 0.0004091911079440673], [3.499701222153949e-15, -0.0004091911079440673, 0.9999999162813151]]","[-0.032621730118989944, 4.0465103056525065e-13, -2.7394584378725995e-09]",[1.0],"[0.9656203829359149, 0.06345582000201867, -0.25154994220597293, -0.06345582000201867]",[0.594],"[1.751531772917305e-12, 0.7540024669722257, 6.704934449951832]","[516.14892578125, 516.14892578125, 516.14892578125, 516.14892578125]"
2,0.04,"[3.951420879388934e-08, 0.0024244182277470827, -0.8446789979934692]","[7.998400053332622, 0.2999800003999962, -10.08]","[3.635897519416176e-05, 0.07865569740533829, -0.008971929550170898]","[-0.0699963542251325, 7.498843780507489, -1.9999999999999574]","[0.9999982714653015, -1.9626198991318233e-05, -0.0018757806392386556, 8.394210908591049e-07]","[[0.9999929628930131, -1.6052102922833687e-06, -0.0037515545946047364], [1.7524680595312038e-06, 0.9999999992282154, 3.924917856539936e-05], [0.003751554528706159, -3.925547684433128e-05, 0.999992962124047]]","[0.2254055142402649, -0.8424156904220581, 2.358319761697203e-05]",[1.0],"[0.9641170678459832, 0.0832329150962079, -0.2511581641661958, -0.0832329150962079]",[0.594],"[-0.06104369183246911, 1.1347005796652083, 6.810154158591935]","[516.14892578125, 516.14892578125, 516.14892578125, 516.14892578125]"
3,0.05,"[7.33141905584489e-06, 0.0037482217885553837, -0.8447859287261963]","[7.997500130205621, 0.374960938720685, -10.1]","[0.0015237159095704556, 0.09801624715328217, -0.010844039730727673]","[-0.08999231270010455, 7.498093832068875, -1.9999999999999574]","[0.9998970627784729, 0.003939432557672262, -0.013796870596706867, 1.28727178889676e-05]","[[0.9996192923955208, -0.0001344464668380634, -0.027590799097269615], [-8.29608960772358e-05, 0.9999689614111154, -0.007878409221724504], [0.027591001942083603, 0.00787769880883919, 0.9995882544694636]]","[0.819542407989502, -2.2626469135284424, 0.0010711019858717918]",[1.0],"[0.962120898800289, 0.1037708538543751, -0.25064746761336565, -0.1037708538543751]",[0.594],"[-0.4176007330232978, 1.205504489961482, 6.729999729333027]","[516.14892578125, 516.14892578125, 516.14892578125, 516.14892578125]"
4,0.06,"[0.00010875685256905854, 0.005740863736718893, -0.8454497456550598]","[7.9964002699919, 0.449932503037435, -10.12]","[0.012377710081636906, 0.12435998767614365, -0.0777210146188736]","[-0.10998602137206603, 7.497156431675, -1.9999999999999574]","[0.9991767406463623, 0.013805274851620197, -0.03814759850502014, 8.790870197117329e-05]","[[0.9970895059764523, -0.0012289488354490419, -0.07622995970348008], [-0.000877603511279507, 0.9996188133134843, -0.027594526301755504], [0.0762348141186908, 0.02758111227817208, 0.9967083502016965]]","[1.2557828426361084, -2.8877923488616943, 0.005751335062086582]",[1.0],"[0.9599353270931557, 0.12214386582001881, -0.250183244265654, -0.12214386582001881]",[0.594],"[-0.95766011540825, 1.2063029244336354, 4.993681790735039]","[516.14892578125, 516.14892578125, 516.14892578125, 516.14892578125]"
5,0.07,"[0.0004320842563174665, 0.007799000944942236, -0.8471982479095459]","[7.995100500187909, 0.5248928190650429, -10.14]","[0.03235581889748573, 0.15078116953372955, -0.1542634665966034]","[-0.12997698039916017, 7.4960316027607945, -2.000000000000135]","[0.9979943037033081, 0.023388145491480827, -0.05882537364959717, 0.00023346376838162541]","[[0.9930790426128938, -0.0032176234480009586, -0.11740384159986048], [-0.0022856415110019714, 0.9989058804157326, -0.04670993378022774], [0.11742568273568368, 0.04665499941289197, 0.991985141049926]]","[1.263842225074768, -2.58491587638855, 0.010663437657058239]",[1.0],"[0.9573975946489198, 0.14026910801618137, -0.249750889088443, -0.14026910801618137]",[0.594],"[-1.2112706140695897, 1.1369319234298896, 3.408432104270677]","[516.14892578125, 516.14892578125, 516.14892578125, 516.14892578125]"
6,0.08,"[0.001127651077695191, 0.010286727920174599, -0.8501142263412476]","[7.993600853287823, 0.5998400127995124, -10.16]","[0.06227775663137436, 0.181823268532753, -0.23696567118167877]","[-0.14996469000854162, 7.494719373446945, -1.9999999999999574]","[0.9964807629585266, 0.03292468562722206, -0.07708367705345154, 0.0004678822006098926]","[[0.9881157763262327, -0.006008382543629346, -0.15359398397859128], [-0.004143440202938938, 0.9978314924510758, -0.06568976005545459], [0.15365560347247678, 0.06554549574202591, 0.9859481444322724]]","[1.2857117652893066, -2.337275266647339, 0.01514391042292118]",[1.0],"[0.9547157733371352, 0.15694682821896813, -0.24940818802702455, -0.15694682821896813]",[0.594],"[-1.2398198055321437, 1.1240286968737672, 2.025485579117179]","[516.14892578125, 516.14892578125, 516.14892578125, 516.14892578125]"
7,0.09,"[0.0023408723063766956, 0.013275152072310448, -0.8543055057525635]","[7.99190136678274, 0.6747722105649036, -10.18]","[0.1008981391787529, 0.217423215508461, -0.3213841915130615]","[-0.16994865050836694, 7.493219776539117, -1.9999999999999574]","[0.9946441650390625, 0.04290971904993057, -0.0940270945429802, 0.0008151938091032207]","[[0.9823164822215128, -0.009691007775786586, -0.18697703902950727], [-0.006447696772037777, 0.9963161830068387, -0.0855131024172288], [0.18711695797625635, 0.08520650120133587, 0.978635323392089]]","[1.4042288064956665, -2.200678586959839, 0.01980653963983059]",[1.0],"[0.951961310475195, 0.17216892742283607, -0.24919148371047536, -0.17216892742283607]",[0.594],"[-1.1464333639633781, 1.1362090623454426, 0.9008474482937974]","[516.14892578125, 516.14892578125, 516.14892578125, 516.14892578125]"
8,0.1,"[0.004644070751965046, 0.017616113647818565, -0.8609617948532104]","[7.99000208315973, 0.7496875390601748, -10.2]","[0.15675464272499084, 0.26610076427459717, -0.4171907603740692]","[-0.18992836230093957, 7.491532849527127, -1.9999999999999574]","[0.992027997970581, 0.056287530809640884, -0.1127387136220932, 0.001487748813815415]","[[0.9745755397822432, -0.015643343557622653, -0.2235124226088732], [-0.009739790037231313, 0.9936590013750558, -0.11201305940093527], [0.2238473894156016, 0.1113421518952503, 0.9682433947428483]]","[1.5884140729904175, -1.970908522605896, 0.026227328926324844]",[1.0],"[0.9496619362008815, 0.18344404203663434, -0.24934046643143162, -0.18344404203663434]",[0.594],"[-0.8339510997579289, 1.2814578964847698, -0.3085564984088869]","[516.14892578125, 516.14892578125, 516.14892578125, 516.14892578125]"
9,0.11,"[0.00739307003095746, 0.021947676315903664, -0.8678060173988342]","[7.987903049900788, 0.8245841254060159, -10.22]","[0.2108839750289917, 0.31238284707069397, -0.49478378891944885]","[-0.2099033258942562, 7.4896586345841065, -2.000000000000135]","[0.9895964860916138, 0.06838274002075195, -0.12655968964099884, 0.002298675710335374]","[[0.9679547234856983, -0.02185851857088244, -0.25017165796231117], [-0.01275947334305684, 0.9906370343205346, -0.1359244719416772], [0.2508004169090096, 0.13476079325420418, 0.9586128934454015]]","[1.617577075958252, -1.7551560401916504, 0.032184235751628876]",[1.0],"[0.9470877428208976, 0.1953176334510559, -0.2494577704677775, -0.1953176334510559]",[0.594],"[-0.6319544506644501, 1.2627536500957688, -0.786806682299904]","[516.14892578125, 516.14892578125, 516.14892578125, 516.14892578125]"
