idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[-6.222805632853542e-17, 0.0002846909628715366, -0.8442319631576538]","[7.999600003333322, 0.14999750001249998, -10.04]","[-6.223207814684811e-15, 0.018243592232465744, -0.013155078515410423]","[-0.029999687501103267, 7.499781251210935, -1.9999999999999574]","[1.0, -2.552394289523363e-05, 8.965590629419328e-18, -1.1740785210365146e-12]","[[1.0, 2.3481570400855964e-12, 7.786540745902426e-17], [-2.3481570410009453e-12, 0.9999999986970567, 5.1047885757211e-05], [4.200304496471025e-17, -5.1047885757211e-05, 0.9999999986970567]]","[-0.0071561019867658615, 1.4581699292037092e-14, -3.913512014452891e-10]",[1.0],"[0.9665527498829273, 0.04717146094624924, -0.2517928294259533, -0.04717146094624924]",[0.594],"[-1.5512031261703637e-13, 0.22215192960467758, 6.704940671286678]","[516.1565551757812, 516.1565551757812, 516.1565551757812, 516.1565551757812]"
1,0.03,"[8.027594615436041e-17, 0.0006260797963477671, -0.8444292545318604]","[7.999100016874873, 0.22499156259492134, -10.06]","[2.9946212881399453e-14, 0.027294324710965157, -0.013158595189452171]","[-0.049998645844873124, 7.499406258242136, -2.000000000000135]","[1.0, -0.00011449026351328939, 4.972789614102516e-16, -1.1740785210365146e-12]","[[1.0, 2.3481568974261417e-12, 1.2633990247773704e-15], [-2.348157125160536e-12, 0.9999999737839594, 0.0002289805240250974], [-7.257167947902654e-16, -0.0002289805240250974, 0.9999999737839594]]","[-0.016239475458860397, 1.5347588177010325e-14, 1.174053632091443e-09]",[1.0],"[0.9651192630994885, 0.07066946319539072, -0.25141939746051367, -0.07066946319539072]",[0.594],"[8.128048289581098e-13, 0.3969392467803875, 6.704904756158051]","[516.1565551757812, 516.1565551757812, 516.1565551757812, 516.1565551757812]"
2,0.04,"[2.2042743808015075e-07, 0.0012175602605566382, -0.8446354866027832]","[7.998400053332622, 0.2999800003999962, -10.08]","[0.00011281154729658738, 0.03846462070941925, -0.008034233003854752]","[-0.0699963542251325, 7.498843780507489, -1.9999999999999574]","[0.9999940395355225, 0.0007282507140189409, -0.0033770506270229816, 7.807559541106457e-07]","[[0.9999771910572236, -6.480181571449303e-06, -0.006754059765227911], [-3.3571764131740256e-06, 0.9999989393005907, -0.0014564979996326568], [0.006754062039572204, 0.0014564874530232663, 0.9999761303602526]]","[0.3393740653991699, -1.1601570844650269, 8.738072938285768e-05]",[1.0],"[0.9631738341563617, 0.09351669203349375, -0.25091293568951, -0.09351669203349375]",[0.594],"[-0.1087090569394709, 0.5510321904536005, 6.833362050198659]","[516.1565551757812, 516.1565551757812, 516.1565551757812, 516.1565551757812]"
3,0.05,"[1.3000670151086524e-05, 0.0018690136494114995, -0.8447672128677368]","[7.997500130205621, 0.374960938720685, -10.1]","[0.0023741479963064194, 0.04866907745599747, -0.016381967812776566]","[-0.08999231270010455, 7.498093832068875, -1.9999999999999574]","[0.9998326301574707, 0.005546967498958111, -0.01743745431303978, 1.3869223039364442e-05]","[[0.9993918700637527, -0.00022118376115285116, -0.03486891349352603], [-0.00016571616093120212, 0.9999384619259392, -0.011092560540345174], [0.03486922122200617, 0.011091593164690943, 0.9993303327591131]]","[0.9367548227310181, -2.4750194549560547, 0.0015944074839353561]",[1.0],"[0.9606616462613752, 0.1164852016558005, -0.2502786908722091, -0.1164852016558005]",[0.594],"[-0.5169091217045265, 0.5038221326219914, 6.5805731427471805]","[516.1565551757812, 516.1565551757812, 516.1565551757812, 516.1565551757812]"
4,0.06,"[0.00010809996456373483, 0.0026924102567136288, -0.8453767895698547]","[7.9964002699919, 0.449932503037435, -10.12]","[0.012232322245836258, 0.061900895088911057, -0.0745503157377243]","[-0.10998602137206603, 7.497156431675, -1.9999999999999574]","[0.9991642832756042, 0.014503572136163712, -0.03821556270122528, 8.815254113869742e-05]","[[0.9970791261554639, -0.0012846820104892142, -0.07636468933472147], [-0.0009323665477284633, 0.9995792772722257, -0.02898963850336203], [0.07636980344139478, 0.028976163308258376, 0.9966584345111699]]","[1.380149245262146, -2.881927728652954, 0.005934478715062141]",[1.0],"[0.9577158417119104, 0.13843470556562001, -0.2496281642919617, -0.13843470556562001]",[0.594],"[-0.9692725307863239, 0.36813470887321803, 5.1030465620415235]","[516.1565551757812, 516.1565551757812, 516.1565551757812, 516.1565551757812]"
5,0.07,"[0.0005313492147251964, 0.003995303995907307, -0.8475258350372314]","[7.995100500187909, 0.5248928190650429, -10.14]","[0.037211183458566666, 0.08416704088449478, -0.16456077992916107]","[-0.12997698039916017, 7.4960316027607945, -2.000000000000135]","[0.9976495504379272, 0.027697958052158356, -0.06267490983009338, 0.0003319328825455159]","[[0.9921434914435091, -0.004134239193769737, -0.1250367963943909], [-0.00280962850491315, 0.9984654259678774, -0.055307315379157916], [0.12507357184452697, 0.05522409992995773, 0.9906093581291154]]","[1.4914155006408691, -2.515577554702759, 0.012586862780153751]",[1.0],"[0.9546544928123517, 0.1576620864752359, -0.249166874867816, -0.1576620864752359]",[0.594],"[-1.2186754435342886, 0.2802536334793436, 3.129718361009397]","[516.1565551757812, 516.1565551757812, 516.1565551757812, 516.1565551757812]"
6,0.08,"[0.0013158268993720412, 0.005437157116830349, -0.8506192564964294]","[7.993600853287823, 0.5998400127995124, -10.16]","[0.06908845901489258, 0.10908865928649902, -0.24899515509605408]","[-0.14996469000854162, 7.494719373446945, -1.9999999999999574]","[0.9959878325462341, 0.038896363228559494, -0.08059149235486984, 0.000654264003969729]","[[0.9870091679788822, -0.00757270908859971, -0.160485377535445], [-0.004966153416909814, 0.9969732900543127, -0.07758605698525428], [0.16058717148600193, 0.07737514455778968, 0.9839841702785602]]","[1.4923368692398071, -2.3102433681488037, 0.017797334119677544]",[1.0],"[0.9513177428087594, 0.17604655762385385, -0.24876283380669698, -0.17604655762385385]",[0.594],"[-1.2156557867030418, 0.23866536283116324, 1.7578615010590664]","[516.1565551757812, 516.1565551757812, 516.1565551757812, 516.1565551757812]"
7,0.09,"[0.0026436317712068558, 0.007294934708625078, -0.8549901247024536]","[7.99190136678274, 0.6747722105649036, -10.18]","[0.10937011986970901, 0.13958506286144257, -0.3334672152996063]","[-0.16994865050836694, 7.493219776539117, -1.9999999999999574]","[0.9939757585525513, 0.05037450045347214, -0.09733187407255173, 0.0010857266606763005]","[[0.981050656327249, -0.01196446017721355, -0.19338164704165137], [-0.007647716560918538, 0.9949224621658935, -0.10035340905599556], [0.19360041877867365, 0.09993070584371948, 0.9759778337023327]]","[1.5910980701446533, -2.1702098846435547, 0.02316734381020069]",[1.0],"[0.9479130853388059, 0.19272088831017595, -0.24852830001290319, -0.19272088831017595]",[0.594],"[-1.1071547887963606, 0.24709691981008186, 0.6795336315946052]","[516.1565551757812, 516.1565551757812, 516.1565551757812, 516.1565551757812]"
8,0.1,"[0.005113207269459963, 0.010187853127717972, -0.8618490099906921]","[7.99000208315973, 0.7496875390601748, -10.2]","[0.16685551404953003, 0.1833457499742508, -0.4282282292842865]","[-0.18992836230093957, 7.491532849527127, -1.9999999999999574]","[0.9911264777183533, 0.06543207168579102, -0.11568702757358551, 0.001878521521575749]","[[0.9732259674376379, -0.018862987317341363, -0.2290751056194008], [-0.011415578148009078, 0.9914302308866104, -0.13013754976819386], [0.22956676780540453, 0.1292682675430759, 0.9646703136957161]]","[1.7593225240707397, -1.9281350374221802, 0.030405551195144653]",[1.0],"[0.9449805641627983, 0.2054790474515676, -0.24872682927905676, -0.2054790474515676]",[0.594],"[-0.7762849739001263, 0.3763931909666183, -0.47412202591056385]","[516.1565551757812, 516.1565551757812, 516.1565551757812, 516.1565551757812]"
9,0.11,"[0.008023880422115326, 0.01325480081140995, -0.8688567876815796]","[7.987903049900788, 0.8245841254060159, -10.22]","[0.22222839295864105, 0.22658373415470123, -0.5052146911621094]","[-0.2099033258942562, 7.4896586345841065, -2.000000000000135]","[0.9884915351867676, 0.07865606248378754, -0.12918971478939056, 0.002783767180517316]","[[0.966604537236222, -0.02582656854943992, -0.2549679527927193], [-0.01481964762786385, 0.9876109492354582, -0.15622096848510134], [0.2558437934336794, 0.15478243216592172, 0.9542464839098265]]","[1.7590385675430298, -1.7195698022842407, 0.03699852526187897]",[1.0],"[0.941834833328887, 0.21832808281339333, -0.24889950675077205, -0.21832808281339333]",[0.594],"[-0.567959736682067, 0.3975494523571257, -0.9234491355879051]","[516.1565551757812, 516.1565551757812, 516.1565551757812, 516.1565551757812]"
