idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[0.0, 0.0, -0.8443335294723511]","[7.999600003333322, 0.14999750001249998, -10.04]","[0.0, 0.0, -0.013157187961041927]","[-0.029999687501103267, 7.499781251210935, -1.9999999999999574]","[0.9999998807907104, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[1.0],"[0.948742927272872, 0.1906206258089876, -0.24715326306269436, -0.1906206258089876]",[0.594],"[0.0, 0.0, 6.704988887178189]","[515.9187622070312, 515.9187622070312, 515.9187622070312, 515.9187622070312]"
1,0.03,"[0.0, 0.0, -0.8552627563476562]","[7.999100016874873, 0.22499156259492134, -10.06]","[0.0, 0.0, -0.008280531503260136]","[-0.049998645844873124, 7.499406258242136, -2.000000000000135]","[0.9999998807907104, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[1.0],"[0.943303652923086, 0.21593421085152292, -0.24573629924077997, -0.21593421085152292]",[0.594],"[0.0, 0.0, 6.827593399399497]","[515.9187622070312, 515.9187622070312, 515.9187622070312, 515.9187622070312]"
2,0.04,"[1.419785746747948e-07, 1.686514536913819e-07, -0.8553699254989624]","[7.998400053332622, 0.2999800003999962, -10.08]","[7.214973447844386e-05, 8.581183647038415e-05, 0.007428185548633337]","[-0.0699963542251325, 7.498843780507489, -1.9999999999999574]","[0.9999929666519165, 0.002876775339245796, -0.0024147075600922108, 2.240373078166158e-07]","[[0.9999883383751645, -1.4341213211214231e-05, -0.004829379671030522], [-1.3445070318725026e-05, 0.9999834483278567, -0.005753511063582415], [0.004829382249050427, 0.005753508899644178, 0.9999717867032221]]","[0.9970995187759399, -0.8369967937469482, 0.00019675635849125683]",[1.0],"[0.9371948785534825, 0.2410673620899302, -0.24414831437075651, -0.2410673620899302]",[0.594],"[-0.0779446163848942, -0.09286342027879287, 7.191157465844071]","[515.9187622070312, 515.9187622070312, 515.9187622070312, 515.9187622070312]"
3,0.05,"[1.334468925051624e-05, 1.5862786312936805e-05, -0.8550450801849365]","[7.997500130205621, 0.374960938720685, -10.1]","[0.0022020931355655193, 0.002610225463286042, 0.020743869245052338]","[-0.08999231270010455, 7.498093832068875, -1.9999999999999574]","[0.999681830406189, 0.01919100433588028, -0.01637009158730507, 1.3011835108045489e-05]","[[0.9994640398839324, -0.0006543323634839885, -0.0327292656203464], [-0.0006023015848456, 0.9992634103936214, -0.03837022128304375], [0.03273026446104559, 0.03836936926334532, 0.9987274509547853]]","[2.5212764739990234, -2.2132229804992676, 0.00453554280102253]",[1.0],"[0.9364493640261476, 0.24379710142861524, -0.24410424947695586, -0.24379710142861524]",[0.594],"[-0.4856398809376004, -0.5686299315244714, 7.383002876422211]","[515.9187622070312, 515.9187622070312, 515.9187622070312, 515.9187622070312]"
4,0.06,"[9.945176861947402e-05, 0.00011682268814183772, -0.8550246953964233]","[7.9964002699919, 0.449932503037435, -10.12]","[0.011095860973000526, 0.012890681624412537, -0.029770944267511368]","[-0.10998602137206603, 7.497156431675, -1.9999999999999574]","[0.9985523223876953, 0.04022866487503052, -0.03570723161101341, 4.704080129158683e-05]","[[0.997449983036978, -0.002966853630202049, -0.07130728657766619], [-0.0027789628424745682, 0.9967633049253454, -0.08034420526598744], [0.07131485613147237, 0.08033748647947565, 0.9942132968136704]]","[2.89353609085083, -2.803802967071533, 0.014164086431264877]",[1.0],"[0.9364493434900963, 0.24323984845105176, -0.24465985654309852, -0.24323984845105176]",[0.594],"[-0.9130320617363645, -1.01981197550368, 5.863230484164653]","[515.9187622070312, 515.9187622070312, 515.9187622070312, 515.9187622070312]"
5,0.07,"[0.00039095361717045307, 0.00045004088315181434, -0.8559980988502502]","[7.995100500187909, 0.5248928190650429, -10.14]","[0.02925151027739048, 0.03299829736351967, -0.09785429388284683]","[-0.12997698039916017, 7.4960316027607945, -2.000000000000135]","[0.99656081199646, 0.06059780344367027, -0.05651966482400894, 7.802875916240737e-05]","[[0.9936110429552126, -0.007005455715734877, -0.11264110665147731], [-0.006694414108961181, 0.9926558004377518, -0.12078760978272575], [0.11266002013665871, 0.12076996914589803, 0.9862668677469129]]","[2.5130128860473633, -2.6738085746765137, 0.02491939440369606]",[1.0],"[0.9364492390537231, 0.24222872176924803, -0.24566261242160561, -0.24222872176924803]",[0.594],"[-1.2058710301606157, -1.259560240813301, 4.208451596380208]","[515.9187622070312, 515.9187622070312, 515.9187622070312, 515.9187622070312]"
6,0.08,"[0.0010235689114779234, 0.0011517495149746537, -0.8579890131950378]","[7.993600853287823, 0.5998400127995124, -10.16]","[0.057010721415281296, 0.06239605322480202, -0.1702539473772049]","[-0.14996469000854162, 7.494719373446945, -1.9999999999999574]","[0.9940761923789978, 0.0782460868358612, -0.07543238997459412, 0.000151636399095878]","[[0.9886198630391918, -0.012106055003677473, -0.14994735688439975], [-0.011503102463591416, 0.9877550537390123, -0.1555880215400691], [0.14999481670405057, 0.1555422683558679, 0.9763750087525948]]","[2.2687110900878906, -2.4086358547210693, 0.03406233340501785]",[1.0],"[0.9364489893665181, 0.24097065881307017, -0.24690065902844333, -0.24097065881307017]",[0.594],"[-1.288796490302289, -1.280240482358149, 2.7959710609717217]","[515.9187622070312, 515.9187622070312, 515.9187622070312, 515.9187622070312]"
7,0.09,"[0.0021466780453920364, 0.0023650801740586758, -0.8611350655555725]","[7.99190136678274, 0.6747722105649036, -10.18]","[0.0941360667347908, 0.10070537030696869, -0.24859119951725006]","[-0.16994865050836694, 7.493219776539117, -1.9999999999999574]","[0.9911835193634033, 0.09467476606369019, -0.09269240498542786, 0.0003306410799268633]","[[0.9828160187002599, -0.01820671418969474, -0.1836877484879847], [-0.01689581032663198, 0.9820731599790237, -0.18774141802548897], [0.18381296194658536, 0.18761882636673136, 0.9648896159733472]]","[2.1441383361816406, -2.2284042835235596, 0.04293851926922798]",[1.0],"[0.9364485452358293, 0.2395375080958426, -0.24829819393013505, -0.2395375080958426]",[0.594],"[-1.2114406237547666, -1.1724818192338127, 1.5218817802959315]","[515.9187622070312, 515.9187622070312, 515.9187622070312, 515.9187622070312]"
8,0.1,"[0.004306411370635033, 0.004652412608265877, -0.8663838505744934]","[7.99000208315973, 0.7496875390601748, -10.2]","[0.1473022848367691, 0.1548238843679428, -0.33235156536102295]","[-0.18992836230093957, 7.491532849527127, -1.9999999999999574]","[0.9873465299606323, 0.11260508745908737, -0.11165358126163483, 0.0006321468390524387]","[[0.9750661563079273, -0.02639381860108779, -0.2203391866249344], [-0.023897226643652236, 0.974639389280733, -0.22250164813147263], [0.22062391842596468, 0.22221932229698796, 0.9497071440271684]]","[1.8673123121261597, -2.018437147140503, 0.053889449685811996]",[1.0],"[0.9364476998767981, 0.2376402243270471, -0.2501276448210778, -0.2376402243270471]",[0.594],"[-0.938498267560445, -0.8709890913539926, 0.32297798754259155]","[515.9187622070312, 515.9187622070312, 515.9187622070312, 515.9187622070312]"
9,0.11,"[0.006889407057315111, 0.007351323030889034, -0.8718487620353699]","[7.987903049900788, 0.8245841254060159, -10.22]","[0.19823646545410156, 0.20606614649295807, -0.39588215947151184]","[-0.2099033258942562, 7.4896586345841065, -2.000000000000135]","[0.9840812087059021, 0.12539254128932953, -0.12593699991703033, 0.00089030631352216]","[[0.968278159933944, -0.03333538717233725, -0.24764118590615358], [-0.029830852443643686, 0.968551836998486, -0.24701712347394822], [0.24808773697508973, 0.2465686334652658, 0.9368331675136454]]","[1.6143285036087036, -1.8334883451461792, 0.06327392905950546]",[1.0],"[0.9366400707482562, 0.23604677451920655, -0.2509719505556248, -0.23604677451920655]",[0.594],"[-0.7879731302412267, -0.6926438139726967, -0.09107169005859106]","[515.9187622070312, 515.9187622070312, 515.9187622070312, 515.9187622070312]"
