idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[-1.490848462955758e-17, 8.74093675520271e-05, -0.844201922416687]","[0.09999833334166665, 0.09999333346666539, -10.04]","[-5.5892324527851735e-15, 0.0055598602630198, -0.01315499097108841]","[4.9998541674739565, 4.999416679583207, -1.9999999999999574]","[1.0, -7.873743015807122e-06, -2.7223083059381577e-17, 3.5222358883701954e-12]","[[1.0, -7.0444717758749685e-12, -1.0991252656410909e-16], [7.044471776732359e-12, 0.9999999998760083, 1.5747486030637967e-05], [-1.0201943333336347e-18, -1.5747486030637967e-05, 0.9999999998760083]]","[-0.0022071178536862135, -6.392634732926405e-15, 0.0]",[1.0],"[0.9987783046077013, 0.03419896997125284, -0.03564882501902627, -0.03419896997125284]",[0.594],"[-1.4228795493262387e-13, 0.06675569678459613, 6.704942914392724]","[515.8756103515625, 515.9126586914062, 515.9126586914062, 515.8756103515625]"
1,0.03,"[-2.2199223015384462e-10, 0.06520595401525497, -0.8557806015014648]","[0.1499943750632809, 0.14997750101247828, -10.06]","[-4.52416637486408e-09, 0.09131340682506561, -0.009292760863900185]","[4.999604172161424, 4.998416754581289, -2.000000000000135]","[0.9999552965164185, -0.009462673217058182, 2.851327618458299e-09, -8.62701465820237e-10]","[[1.0, 1.6713632078051699e-09, 5.718726447772939e-09], [-1.779287918949185e-09, 0.9998209156557475, 0.018924497808465477], [-5.686072604033822e-09, -0.018924497808465484, 0.9998209156557475]]","[-0.01704416424036026, 3.3390929132792735e-08, -5.4692179674020736e-09]",[1.0],"[0.9985441392273157, 0.006964158886640943, -0.05348797384050579, -0.006964158886640943]",[0.594],"[-1.9259033711804946e-08, 2.517546095234594, 6.799106062323947]","[515.8756103515625, 515.9126586914062, 515.9126586914062, 515.8756103515625]"
2,0.04,"[8.532634865332511e-08, 0.06738901883363724, -0.8562101125717163]","[0.1999866669333308, 0.1999466709331708, -10.08]","[4.789326339960098e-05, 0.0902487188577652, -0.046291567385196686]","[4.999229187004992, 4.996916992069253, -1.9999999999999574]","[0.9999606609344482, -0.008799286559224129, -0.0011107295285910368, 1.0578809451544657e-05]","[[0.9999975323359684, -1.6095317830414989e-06, -0.002221557873016946], [4.070404202894221e-05, 0.9998451448859045, 0.017597857576015508], [0.002221185529107968, -0.01759790457680037, 0.9998426776695177]]","[0.23079606890678406, -0.40851765871047974, 2.3945747670950368e-05]",[1.0],"[0.9971621206858309, 0.024233315282619468, -0.07125624710491087, -0.024233315282619468]",[0.594],"[-0.03548564729979643, 1.9146996660483144, 5.845227249301681]","[515.8756103515625, 515.9126586914062, 515.9126586914062, 515.8756103515625]"
3,0.05,"[6.160907105368096e-06, 0.06873457878828049, -0.8574057221412659]","[0.24997395914712334, 0.24989584635339168, -10.1]","[0.0011258749291300774, 0.08923490345478058, -0.11828626692295074]","[4.998729221379253, 4.994917542022087, -1.9999999999999574]","[0.9999596476554871, -0.0066042630933225155, -0.006094303447753191, 5.700784458895214e-05]","[[0.9999257124354202, -3.3514319787716725e-05, -0.012188867351305295], [0.0001945078439667376, 0.9999127609231736, 0.013207297592428086], [0.012187361372174963, -0.013208687284764164, 0.9998384863581704]]","[0.3116965889930725, -0.8493636846542358, 0.0002633970871102065]",[1.0],"[0.9951773796780954, 0.04173330692038198, -0.08869317987847351, -0.04173330692038198]",[0.594],"[-0.1733071665007129, 1.408536038721237, 4.251203311459264]","[515.8756103515625, 515.9126586914062, 515.9126586914062, 515.8756103515625]"
4,0.06,"[6.395122909452766e-05, 0.07033746689558029, -0.8604753613471985]","[0.2999550020249566, 0.299820032397223, -10.12]","[0.0061260065995156765, 0.08915451914072037, -0.22371584177017212]","[4.998104287783328, 4.992418604383131, -1.9999999999999574]","[0.9998891949653625, -0.0032975056674331427, -0.014516220428049564, 0.0001383771887049079]","[[0.9995785203990323, -0.00018098907055359403, -0.029030136063023446], [0.0003724583440999318, 0.9999782146165926, 0.00659026304434271], [0.029028310864795848, -0.006598297899311537, 0.9995568116086092]]","[0.45916393399238586, -0.9617692232131958, 0.0007356515270657837]",[1.0],"[0.992707643549889, 0.05883054756862397, -0.10503217039737074, -0.05883054756862397]",[0.594],"[-0.3328118710985875, 0.9980503807600604, 2.2128911379271017]","[515.8756103515625, 515.9126586914062, 515.9126586914062, 515.8756103515625]"
5,0.07,"[0.00021007424220442772, 0.07168407738208771, -0.8644891977310181]","[0.349928546043362, 0.3497142366876639, -10.14]","[0.013942593708634377, 0.09072793275117874, -0.31080272793769836]","[4.9973544018405365, 4.989420429044089, -2.000000000000135]","[0.9997618794441223, 0.0010827076621353626, -0.02179243043065071, 0.00023559572582598776]","[[0.9990500688968679, -0.0005182689382535351, -0.04357397427904913], [0.00042388960823782436, 0.9999975444774302, -0.002175168202716981], [0.04357499460428678, 0.002154631387900165, 0.9990478353956925]]","[0.7095110416412354, -0.9917410612106323, 0.0013432264095172286]",[1.0],"[0.9897909768349508, 0.07549412540899744, -0.12054016243432748, -0.07549412540899744]",[0.594],"[-0.4134042399894099, 0.6693490058651813, 1.1429416680385103]","[515.8756103515625, 515.9126586914062, 515.9126586914062, 515.8756103515625]"
6,0.08,"[0.0004989375593140721, 0.07307055592536926, -0.869799792766571]","[0.3998933418663416, 0.39957346984586345, -10.16]","[0.025312650948762894, 0.09463585168123245, -0.39913317561149597]","[4.9964795822979635, 4.9859233158199565, -1.9999999999999574]","[0.9995357394218445, 0.007139340043067932, -0.029618851840496063, 0.00037311099004000425]","[[0.9982451689483364, -0.001168793554897744, -0.059204869672462995], [0.000322957402796682, 0.9998977812320704, -0.014294152150398642], [0.059215524736535755, 0.014249947677405585, 0.9981435070276057]]","[0.8586927056312561, -1.08967125415802, 0.002276785671710968]",[1.0],"[0.9865363131980484, 0.09143232281092685, -0.13501721207645975, -0.09143232281092685]",[0.594],"[-0.462753265075468, 0.39016461836044736, 0.30200380660520665]","[515.8756103515625, 515.9126586914062, 515.9126586914062, 515.8756103515625]"
7,0.09,"[0.0011153635568916798, 0.07484498620033264, -0.877966046333313]","[0.44984814037660237, 0.4493927459900553, -10.18]","[0.04422180354595184, 0.1033242866396904, -0.5084603428840637]","[4.995479851026074, 4.981927614419185, -1.9999999999999574]","[0.9990826845169067, 0.015211978927254677, -0.04002689570188522, 0.0005639577866531909]","[[0.996795059417335, -0.002344657306927812, -0.07996319217805525], [-9.089566124638481e-05, 0.9995365553369637, -0.030441193851352518], [0.07999750783099616, 0.030350899941021945, 0.9963328869477308]]","[0.9358084797859192, -1.2175934314727783, 0.0036976051051169634]",[1.0],"[0.9832579444005352, 0.10589618432220446, -0.1474370192416376, -0.10589618432220446]",[0.594],"[-0.4597809487319241, 0.18446801727036433, -0.8740095885511288]","[515.8756103515625, 515.9126586914062, 515.9126586914062, 515.8756103515625]"
8,0.1,"[0.0019258607644587755, 0.076471708714962, -0.886272132396698]","[0.49979169270678325, 0.4991670832341407, -10.2]","[0.06472883373498917, 0.1142294704914093, -0.5999422669410706]","[4.994355233018088, 4.977433724408542, -1.9999999999999574]","[0.9985212087631226, 0.02263462543487549, -0.04942132905125618, 0.0007517870981246233]","[[0.9951139339239209, -0.0037386174032493003, -0.09866246120166718], [-0.0007359158460453334, 0.998974217057792, -0.045276617382916474], [0.09873052688163829, 0.04512800010729034, 0.994090411717159]]","[1.030343770980835, -1.2664390802383423, 0.005198935978114605]",[1.0],"[0.9797458996898964, 0.11970700786255044, -0.1593398421212339, -0.11970700786255044]",[0.594],"[-0.46955281560638684, 0.040821467546283796, -1.3206062130376388]","[515.8756103515625, 515.9126586914062, 515.9126586914062, 515.8756103515625]"
9,0.11,"[0.0030793186742812395, 0.07828968018293381, -0.895964503288269]","[0.5497227502706772, 0.548891504185874, -10.22]","[0.08992442488670349, 0.12887008488178253, -0.6926324963569641]","[4.993105756389393, 4.9724420951733235, -2.000000000000135]","[0.9977884292602539, 0.030716324225068092, -0.05894006788730621, 0.000982012483291328]","[[0.9930502090575457, -0.005580525085964294, -0.11755909165406822], [-0.0016611628543226008, 0.9981110864160075, -0.06141253708672606], [0.11767974689272623, 0.06118101758897124, 0.99116515286709]]","[1.115213394165039, -1.27064049243927, 0.007003104314208031]",[1.0],"[0.9762526279234774, 0.13237309747386514, -0.16993306744736636, -0.13237309747386514]",[0.594],"[-0.439907057379217, -0.05589659394116797, -1.7059130294172]","[515.8756103515625, 515.9126586914062, 515.9126586914062, 515.8756103515625]"
