idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[0.0, 0.0, -0.8361697196960449]","[0.09999833334166665, 0.09999333346666539, -10.04]","[0.0, 0.0, -0.013155102729797363]","[4.9998541674739565, 4.999416679583207, -1.9999999999999574]","[0.9999998807907104, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[1.0],"[0.9987277348894337, 0.03564523621373272, -0.03564702006312155, -0.03564523621373272]",[0.594],"[0.0, 0.0, 6.704942869627086]","[515.930908203125, 515.930908203125, 515.930908203125, 515.930908203125]"
1,0.03,"[0.0, 0.0, -0.8482590317726135]","[0.1499943750632809, 0.14997750101247828, -10.06]","[0.0, 0.0, -0.007507534231990576]","[4.999604172161424, 4.998416754581289, -2.000000000000135]","[0.9999998807907104, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[1.0],"[0.9971392191697636, 0.05340669640301466, -0.05341271670656296, -0.05340669640301466]",[0.594],"[0.0, 0.0, 6.846934080132485]","[515.930908203125, 515.930908203125, 515.930908203125, 515.930908203125]"
2,0.04,"[2.740073341556126e-07, 3.27776916719813e-07, -0.8487412929534912]","[0.1999866669333308, 0.1999466709331708, -10.08]","[0.00010568127618171275, 0.00012639501073863357, -0.04573851078748703]","[4.999229187004992, 4.996916992069253, -1.9999999999999574]","[0.9999964833259583, 0.0020496889483183622, -0.001716843107715249, 1.2175600261343789e-07]","[[0.9999941049001378, -7.281498996064088e-06, -0.003433673244770479], [-6.794476754536557e-06, 0.9999915975513706, -0.004099363425304988], [0.0034336742430180955, 0.00409936258916127, 0.9999857024515678]]","[0.5832033157348633, -0.49139565229415894, 8.838061330607161e-05]",[1.0],"[0.9949229020204647, 0.07106237722618398, -0.07108291395537832, -0.07106237722618398]",[0.594],"[-0.054051573723910694, -0.06452495498708723, 5.850214762638057]","[530.0216674804688, 667.8115234375, 600.1058349609375, 605.6151123046875]"
3,0.05,"[9.16411772777792e-06, 1.0903740985668264e-05, -0.8498780727386475]","[0.24997395914712334, 0.24989584635339168, -10.1]","[0.0014945568982511759, 0.0017679649172350764, -0.11374737322330475]","[4.998729221379253, 4.994917542022087, -1.9999999999999574]","[0.9999433159828186, 0.008059182204306126, -0.006962276995182037, 2.1111222849867772e-06]","[[0.9999030533948814, -0.00011644251609954268, -0.013923729842733556], [-0.00010799850612453157, 0.9998700991631333, -0.016117479202052754], [0.01392379789840615, 0.016117420409183743, 0.9997731525758421]]","[0.9105699062347412, -0.8359146118164062, 0.0008062271517701447]",[1.0],"[0.9921437084817786, 0.08822817516565733, -0.08834551272537113, -0.08822817516565733]",[0.594],"[-0.1930577369620888, -0.2225471863006105, 4.352264919612793]","[652.8309936523438, 661.4481811523438, 648.184326171875, 666.0427856445312]"
4,0.06,"[5.9138510550837964e-05, 6.899873551446944e-05, -0.8522533774375916]","[0.2999550020249566, 0.299820032397223, -10.12]","[0.005738012492656708, 0.006572440732270479, -0.20353156328201294]","[4.998104287783328, 4.992418604383131, -1.9999999999999574]","[0.9997965097427368, 0.014845079742372036, -0.013660884462296963, 4.451384029380279e-06]","[[0.9996267604530868, -0.00041449477116506513, -0.027316075489564835], [-0.0003966928593166319, 0.9995592472004096, -0.029684237752146177], [0.027316339814153268, 0.02968399451278837, 0.9991860077327557]]","[0.8623090982437134, -0.9113471508026123, 0.0019134683534502983]",[1.0],"[0.9889314726962342, 0.10444907582589381, -0.10479705107276922, -0.10444907582589381]",[0.594],"[-0.31685735042712915, -0.33682139031584635, 2.6764485344544884]","[653.3214721679688, 665.7036743164062, 657.9930419921875, 661.0281982421875]"
5,0.07,"[0.0001973366306629032, 0.00022374445688910782, -0.8559989333152771]","[0.349928546043362, 0.3497142366876639, -10.14]","[0.013322301208972931, 0.014655405655503273, -0.29687103629112244]","[4.9973544018405365, 4.989420429044089, -2.000000000000135]","[0.9995577335357666, 0.021375715732574463, -0.020676303654909134, 8.055146281549241e-06]","[[0.9991449808845067, -0.0009000446620294906, -0.04133397020496867], [-0.0008678383299985858, 0.9990861575095065, -0.04273285304683698], [0.041334658942972675, 0.04273218684429726, 0.9982311386535546]]","[0.8981150984764099, -0.9520094990730286, 0.0030521152075380087]",[1.0],"[0.9853897901270052, 0.11966800351725408, -0.12030410685745443, -0.11966800351725408]",[0.594],"[-0.3914972176390551, -0.387732405965561, 1.3239466488397742]","[629.3798828125, 669.4241333007812, 652.9627075195312, 645.8245849609375]"
6,0.08,"[0.0005493398639373481, 0.0006030825898051262, -0.862296998500824]","[0.3998933418663416, 0.39957346984586345, -10.16]","[0.02662557177245617, 0.028307346627116203, -0.4018688201904297]","[4.9964795822979635, 4.9859233158199565, -1.9999999999999574]","[0.9990996718406677, 0.030308714136481285, -0.02968716248869896, 3.616633694036864e-05]","[[0.9982373423293756, -0.0018718268038156267, -0.05931867027843409], [-0.0017272917169889616, 0.9981627612649813, -0.060564993908960786], [0.05932305489866047, 0.060560699205710576, 0.996400108826372]]","[1.0987725257873535, -1.0673948526382446, 0.004799737129360437]",[1.0],"[0.9817755196721701, 0.13324607871152008, -0.13427657707140386, -0.13324607871152008]",[0.594],"[-0.4273409607271693, -0.41904612520895945, -7.306093799286373e-05]","[626.0427856445312, 669.7858276367188, 648.595458984375, 646.8955688476562]"
7,0.09,"[0.0010556132765486836, 0.0011368870036676526, -0.8689576983451843]","[0.44984814037660237, 0.4493927459900553, -10.18]","[0.041590508073568344, 0.04360368102788925, -0.4864261746406555]","[4.995479851026074, 4.981927614419185, -1.9999999999999574]","[0.9984995126724243, 0.039170391857624054, -0.03826931118965149, 8.244097989518195e-05]","[[0.9970709064690847, -0.003162681933871317, -0.07641730769860322], [-0.002833412868083872, 0.9969313476503958, -0.07822953306446723], [0.07643022467870167, 0.07821691322821911, 0.9940022813055372]]","[1.2548577785491943, -1.226739525794983, 0.0068969689309597015]",[1.0],"[0.9779132091733013, 0.1461877523983486, -0.1477400530113782, -0.1461877523983486]",[0.594],"[-0.4724297943811464, -0.47240981695106865, -0.4945671234335567]","[628.4990844726562, 669.8539428710938, 644.0424194335938, 652.7557373046875]"
8,0.1,"[0.0018191536655649543, 0.001933888765051961, -0.8769131898880005]","[0.49979169270678325, 0.4991670832341407, -10.2]","[0.06112482771277428, 0.06358366459608078, -0.5754428505897522]","[4.994355233018088, 4.977433724408542, -1.9999999999999574]","[0.9976582527160645, 0.048810768872499466, -0.047911882400512695, 0.0001347159850411117]","[[0.9954088669686412, -0.004946032432260066, -0.09558621408647357], [-0.004408430400527954, 0.9952349816112847, -0.09740583718951122], [0.09561251644847461, 0.09738001920499346, 0.9906439211735089]]","[1.2805405855178833, -1.3134835958480835, 0.00968173611909151]",[1.0],"[0.9740978832231157, 0.1576782184432338, -0.16000035418887834, -0.1576782184432338]",[0.594],"[-0.4965077351678242, -0.49293621964251355, -1.0026722750801866]","[663.6067504882812, 665.3342895507812, 659.0811767578125, 665.4351196289062]"
9,0.11,"[0.0029137227684259415, 0.0030684825032949448, -0.8862378597259521]","[0.5497227502706772, 0.548891504185874, -10.22]","[0.08562798798084259, 0.08847485482692719, -0.6673102974891663]","[4.993105756389393, 4.9724420951733235, -2.000000000000135]","[0.9966267347335815, 0.058275435119867325, -0.057785216718912125, 0.00019023589265998453]","[[0.993321665359833, -0.0071141053485334884, -0.11515840669207693], [-0.0063557286744022725, 0.9932078752303168, -0.11617969398090494], [0.11520275100788697, 0.11613572269361958, 0.9865296853489233]]","[1.250403881072998, -1.3136742115020752, 0.012878595851361752]",[1.0],"[0.9704596835122687, 0.16766402657256735, -0.1709516476355306, -0.16766402657256735]",[0.594],"[-0.47587855372694454, -0.45782049272609493, -1.4811473439499707]","[656.894287109375, 665.6978149414062, 658.6047973632812, 657.0416870117188]"
