idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[-1.5533259109302558e-17, 8.840782538754866e-05, -0.844201922416687]","[4.999750002083326, 0.049999166670833324, -10.04]","[-6.470466472867234e-15, 0.005681854672729969, -0.01315499097108841]","[-0.01874980468823395, 2.4999270837369783, -1.9999999999999574]","[1.0, -7.881684723543003e-06, -2.0132399858709643e-17, 7.044471776740391e-12]","[[1.0, -1.4088943552288209e-11, -1.5130941088434896e-16], [1.4088943552922918e-11, 0.999999999875758, 1.576336944610677e-05], [-7.077981145451296e-17, -1.576336944610677e-05, 0.999999999875758]]","[-0.0022151924204081297, -1.372379552393773e-14, 1.9567560904931725e-09]",[1.0],"[0.9643050178676958, 0.08102590665871519, -0.2512072816581109, -0.08102590665871519]",[0.594],"[-1.6511945733809346e-13, 0.08313186993259807, 6.70488348480454]","[516.1591186523438, 516.1591186523438, 516.1591186523438, 516.1591186523438]"
1,0.03,"[-4.984799482503398e-16, 0.00019495314336381853, -0.8443992137908936]","[4.999437510546796, 0.07499718753164045, -10.06]","[-7.224374500318029e-14, 0.008533401414752007, -0.013157602399587631]","[-0.03124915365297909, 2.499802086080712, -2.000000000000135]","[1.0, -3.551706686266698e-05, -4.860272404367215e-16, 2.3481574323858112e-11]","[[1.0, -4.696314855394948e-11, -2.6400477681454286e-15], [4.696314862299852e-11, 0.9999999974770759, 7.103413363572709e-05], [-6.95938808850962e-16, -7.103413363572709e-05, 0.9999999974770759]]","[-0.005056482274085283, -1.14282362869908e-13, 3.130809611562313e-09]",[1.0],"[0.9636122778528138, 0.08888612381877693, -0.2510268186967819, -0.08888612381877693]",[0.594],"[-1.8184131330548682e-12, 0.13488397277745348, 6.704885070229878]","[516.1591186523438, 516.1591186523438, 516.1591186523438, 516.1591186523438]"
2,0.04,"[3.568568018863516e-08, 0.0003450653166510165, -0.8445624113082886]","[4.999000033332889, 0.0999933334666654, -10.08]","[3.2824995287228376e-05, 0.011504383757710457, -0.005425877403467894]","[-0.04374772139073002, 2.499614593502496, -1.9999999999999574]","[0.999998152256012, 0.0008104402804747224, -0.0017655093688517809, 1.4276497495302465e-07]","[[0.9999937659537846, -3.147208991874907e-06, -0.0035310117052172745], [-2.5761501919790403e-06, 0.9999986863731657, -0.0016208779430835199], [0.003531012168027184, 0.0016208769348719956, 0.9999924523270319]]","[0.3997463583946228, -0.7985225915908813, 5.1179638830944896e-05]",[1.0],"[0.9628599796071567, 0.09669487525742038, -0.2508311055833031, -0.09669487525742038]",[0.594],"[-0.057490211200562066, 0.14800552117330965, 6.8991467534923565]","[516.1591186523438, 516.1591186523438, 516.1591186523438, 516.1591186523438]"
3,0.05,"[1.193992284242995e-05, 0.0005908558960072696, -0.8445941209793091]","[4.998437581378513, 0.12498697957356167, -10.1]","[0.002214586129412055, 0.01628945954144001, -0.007868905551731586]","[-0.05624519543756534, 2.4993646106896263, -1.9999999999999574]","[0.9998251795768738, 0.008486525155603886, -0.016660567373037338, 8.72571581567172e-06]","[[0.9994448508292392, -0.00030022903338191106, -0.03331516191537146], [-0.0002653322713432813, 0.9998559576271883, -0.01697037407378067], [0.03331545811940286, 0.016969792572267283, 0.9993008087609799]]","[1.235809326171875, -2.407062530517578, 0.0022371946834027767]",[1.0],"[0.9620961185021811, 0.10395420788103958, -0.25066121618934417, -0.10395420788103958]",[0.594],"[-0.49475366728406805, -0.02915730107821296, 6.777536406026439]","[516.1591186523438, 516.1591186523438, 516.1591186523438, 516.1591186523438]"
4,0.06,"[0.00010358957661082968, 0.0008888300508260727, -0.8451112508773804]","[4.997750168744938, 0.1499775010124783, -10.12]","[0.011888397857546806, 0.024404767900705338, -0.07025644183158875]","[-0.06874126335754127, 2.499052143891664, -1.9999999999999574]","[0.9991304874420166, 0.018759604543447495, -0.03723399341106415, 3.707882933667861e-05]","[[0.9972272567899089, -0.0014710831243119938, -0.07440184291880557], [-0.0013228967727511364, 0.9992961517429025, -0.037489345899263095], [0.07440462525543622, 0.03748382352785418, 0.9965234140321695]]","[1.379781723022461, -2.893686294555664, 0.007258468773216009]",[1.0],"[0.961372457663223, 0.11017432207047276, -0.25059896348988625, -0.11017432207047276]",[0.594],"[-0.9441134490367011, -0.2271823620554959, 5.1426029529971995]","[516.1591186523438, 516.1591186523438, 516.1591186523438, 516.1591186523438]"
5,0.07,"[0.0004127498541492969, 0.0013451670529320836, -0.8467031121253967]","[4.996937812617443, 0.174964273021681, -10.14]","[0.030849028378725052, 0.03714200481772423, -0.13999490439891815]","[-0.08123561274953062, 2.4986772009202682, -2.000000000000135]","[0.9979128241539001, 0.02815578691661358, -0.05811426043510437, 6.54941686661914e-05]","[[0.9932454570546968, -0.0034032203255038645, -0.1159822405871802], [-0.0031417904486325463, 0.99841449478609, -0.056201652589700876], [0.11598961674642845, 0.05618642800937454, 0.991659968998731]]","[1.1044080257415771, -2.6223604679107666, 0.012278977781534195]",[1.0],"[0.9607485046562693, 0.11500894804566926, -0.25066877426525547, -0.11500894804566926]",[0.594],"[-1.225826301399418, -0.3146075216022143, 3.687844568065053]","[516.1591186523438, 516.1591186523438, 516.1591186523438, 516.1591186523438]"
6,0.08,"[0.0010778113501146436, 0.0020252149552106857, -0.8493600487709045]","[4.99600053330489, 0.1999466709331708, -10.16]","[0.05984983593225479, 0.054401103407144547, -0.2178705334663391]","[-0.09372793125530521, 2.4982397911489818, -1.9999999999999574]","[0.9964250922203064, 0.03564899042248726, -0.07659181952476501, 8.662840264150873e-05]","[[0.988267372871218, -0.005633478781430231, -0.15262982550943346], [-0.005288203969692107, 0.9974582842832637, -0.07105635800871715], [0.15264217836822122, 0.07102981790422402, 0.9857256871723984]]","[0.9533002972602844, -2.352889060974121, 0.016102006658911705]",[1.0],"[0.9602438731417912, 0.11856713542684444, -0.250827281954253, -0.11856713542684444]",[0.594],"[-1.2755218550509206, -0.28037405726554465, 2.3563257602927568]","[516.1591186523438, 516.1591186523438, 516.1591186523438, 516.1591186523438]"
7,0.09,"[0.0025613559409976006, 0.0032306641805917025, -0.8542059659957886]","[4.9949383542392125, 0.22492407018830118, -10.18]","[0.1070663258433342, 0.08043067902326584, -0.3204718828201294]","[-0.10621790656770713, 2.497739925513037, -1.9999999999999574]","[0.9943051934242249, 0.0445232130587101, -0.09682340174913406, 0.00021633489814121276]","[[0.9812503632477398, -0.009051984149376425, -0.19252476778102598], [-0.008191572457198598, 0.9960352732063649, -0.08858122074909931], [0.1925632954819194, 0.08849743562206554, 0.9772858236572662]]","[1.0427265167236328, -2.1642444133758545, 0.020818835124373436]",[1.0],"[0.9600190845595928, 0.1195936591748245, -0.2511608333387554, -0.1195936591748245]",[0.594],"[-1.060661629433309, -0.14007390279596943, 0.6720174533514083]","[516.1591186523438, 516.1591186523438, 516.1591186523438, 516.1591186523438]"
8,0.1,"[0.004514461383223534, 0.004624142777174711, -0.859636127948761]","[4.993751301974831, 0.24989584635339163, -10.2]","[0.15434101223945618, 0.10588173568248749, -0.4017435908317566]","[-0.11870522643810943, 2.497177616509044, -1.9999999999999574]","[0.9923002123832703, 0.05231707543134689, -0.11226332187652588, 0.00045874438364990056]","[[0.9747934735344348, -0.01265700100106544, -0.2227498244226699], [-0.010836152498015821, 0.9945254266271814, -0.10393148508061782], [0.22284582507579312, 0.10372548441767802, 0.9693197419472106]]","[1.0178029537200928, -1.9714624881744385, 0.025343885645270348]",[1.0],"[0.9597814426823816, 0.12075076246527273, -0.2514714409111032, -0.12075076246527273]",[0.594],"[-0.9042317523704333, -0.08640159629992916, -0.08011249903345252]","[516.1591186523438, 516.1591186523438, 516.1591186523438, 516.1591186523438]"
9,0.11,"[0.007855747826397419, 0.006833446212112904, -0.8676677346229553]","[4.992439406187993, 0.2748613751353386, -10.22]","[0.21845780313014984, 0.1404043436050415, -0.49001187086105347]","[-0.13118957868387682, 2.4965528781946964, -2.000000000000135]","[0.9898254871368408, 0.06056366488337517, -0.12875141203403473, 0.0007745280163362622]","[[0.9668449472978307, -0.017128610254059436, -0.25478904724383195], [-0.014062019903794593, 0.9926628850466284, -0.12009436392741163], [0.2549766802687657, 0.11969547761577642, 0.959510231919103]]","[0.830778956413269, -1.7279127836227417, 0.03089875727891922]",[1.0],"[0.9598632723663505, 0.11924243294775674, -0.25192124286627954, -0.11924243294775674]",[0.594],"[-0.5192454205676529, 0.1046393867202755, -0.8825640061253281]","[516.1591186523438, 516.1591186523438, 516.1591186523438, 516.1591186523438]"
