idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[-1.3369419808696107e-16, 0.0007856854936107993, -0.8444031476974487]","[4.999750002083326, 0.049999166670833324, -10.04]","[-4.454419553481456e-14, 0.04993797093629837, -0.01315813697874546]","[-0.01874980468823395, 2.4999270837369783, -1.9999999999999574]","[1.0, -7.085550168994814e-05, -1.5081899405384628e-16, 3.52223610521063e-12]","[[1.0, -7.044472153681763e-12, -8.007775966976835e-16], [7.0444721964271854e-12, 0.9999999899589959, 0.00014171100266843593], [-1.975016235110464e-16, -0.00014171100266843593, 0.9999999899589959]]","[-0.019847631454467773, -4.890631018108875e-14, 7.827024028905782e-10]",[1.0],"[0.9668320516656141, 0.04105056523743594, -0.25186558922692887, -0.04105056523743594]",[0.594],"[-1.1327427029573268e-12, 0.5989028761772854, 6.7050419949742555]","[516.1295166015625, 516.1295166015625, 516.1295166015625, 516.1295166015625]"
1,0.03,"[-2.1345746960906194e-15, 0.0017121556447818875, -0.8446004986763]","[4.999437510546796, 0.07499718753164045, -10.06]","[-2.220322043626835e-13, 0.07356424629688263, -0.013163534924387932]","[-0.03124915365297909, 2.499802086080712, -2.000000000000135]","[1.0, -0.0003163535729981959, -1.827958510063456e-15, 2.348157475753898e-12]","[[1.0, -4.696313324940305e-12, -5.141612520390815e-15], [4.696315638064897e-12, 0.9999997998408537, 0.0006327070826753308], [2.17022078809778e-15, -0.0006327070826753308, 0.9999997998408537]]","[-0.04456818476319313, 3.917696448827411e-14, 0.0]",[1.0],"[0.9667234785608617, 0.04353252845170271, -0.25183730527743825, -0.04353252845170271]",[0.594],"[-5.383826949987917e-12, 1.05087230690449, 6.704930568257602]","[516.1295166015625, 516.1295166015625, 516.1295166015625, 516.1295166015625]"
2,0.04,"[2.2327026272250805e-07, 0.0032900734804570675, -0.8448107838630676]","[4.999000033332889, 0.0999933334666654, -10.08]","[0.00011521446867845953, 0.10173597186803818, -0.00893540307879448]","[-0.04374772139073002, 2.499614593502496, -1.9999999999999574]","[0.9999942183494568, 0.00016040389891713858, -0.0034002913162112236, 1.9638896446849685e-06]","[[0.9999768760307813, -5.018596426783573e-06, -0.006800542517548623], [2.8369165418208474e-06, 0.999999948533466, -0.0003208192907865532], [0.006800543777610816, 0.00032079257959958694, 0.9999768245796747]]","[0.2717912197113037, -1.1705729961395264, 6.452642992371693e-05]",[1.0],"[0.9666716259869448, 0.04466986078127223, -0.25182366213845464, -0.04466986078127223]",[0.594],"[-0.10941633463383231, 1.4816705293818675, 6.810870265641622]","[516.1295166015625, 516.1295166015625, 516.1295166015625, 516.1295166015625]"
3,0.05,"[1.3602052604255732e-05, 0.004993819165974855, -0.8449977040290833]","[4.998437581378513, 0.12498697957356167, -10.1]","[0.0025173856411129236, 0.12561027705669403, -0.02421206422150135]","[-0.05624519543756534, 2.4993646106896263, -1.9999999999999574]","[0.9998359680175781, 0.003758476348593831, -0.017717765644192696, 1.6067999240476638e-05]","[[0.9993721610501703, -0.00016531433198096397, -0.035429597642140834], [-0.00010105287823244997, 0.9999717471949549, -0.0075162889902574545], [0.03542983920691922, 0.0075151502340875505, 0.9993439092778477]]","[0.6466706395149231, -2.5323774814605713, 0.0012123476481065154]",[1.0],"[0.9665698100131142, 0.04679508668634572, -0.25180232396331664, -0.04679508668634572]",[0.594],"[-0.5225841288739892, 1.5891469434499053, 6.389806882289424]","[516.1295166015625, 516.1295166015625, 516.1295166015625, 516.1295166015625]"
4,0.06,"[0.00011597407137742266, 0.007067861035466194, -0.8458303213119507]","[4.997750168744938, 0.1499775010124783, -10.12]","[0.013010491617023945, 0.15136829018592834, -0.09325755387544632]","[-0.06874126335754127, 2.499052143891664, -1.9999999999999574]","[0.999201238155365, 0.008924825116991997, -0.03895152360200882, 4.391715265228413e-05]","[[0.9969655537302483, -0.0007830352268556722, -0.07784003809848024], [-0.0006075069318666712, 0.9998406911342292, -0.017838814073657987], [0.07784160591012422, 0.017831971513556973, 0.9968062525793429]]","[0.654678463935852, -2.9259884357452393, 0.0038345593493431807]",[1.0],"[0.9664929510578881, 0.04822751898109496, -0.25180865662129337, -0.04822751898109496]",[0.594],"[-0.9749967404840278, 1.6354442290969262, 4.689126075518004]","[516.1295166015625, 516.1295166015625, 516.1295166015625, 516.1295166015625]"
5,0.07,"[0.0005535385571420193, 0.010090937837958336, -0.8482790589332581]","[4.996937812617443, 0.174964273021681, -10.14]","[0.03798825293779373, 0.18498733639717102, -0.17878489196300507]","[-0.08123561274953062, 2.4986772009202682, -2.000000000000135]","[0.9978846907615662, 0.013736087828874588, -0.06354088336229324, 5.349812636268325e-05]","[[0.9919251064207834, -0.0018523762634431694, -0.1268114819497676], [-0.0016388364146615784, 0.9996226340517574, -0.027420862616485076], [0.12681442136966747, 0.027407265343423116, 0.9915477519207391]]","[0.42779597640037537, -2.5077080726623535, 0.00639864057302475]",[1.0],"[0.9665278068618656, 0.04726310756963811, -0.25187001230516615, -0.04726310756963811]",[0.594],"[-1.2340559834896632, 1.8370583191258287, 2.9461707153551338]","[516.1295166015625, 516.1295166015625, 516.1295166015625, 516.1295166015625]"
6,0.08,"[0.0013514531310647726, 0.013089090585708618, -0.8515769243240356]","[4.99600053330489, 0.1999466709331708, -10.16]","[0.07024415582418442, 0.2150641530752182, -0.2631100118160248]","[-0.09372793125530521, 2.4982397911489818, -1.9999999999999574]","[0.99654620885849, 0.016703076660633087, -0.08134311437606812, 5.118442641105503e-05]","[[0.9867665908302645, -0.002819375718506122, -0.16212262748233264], [-0.002615345143120762, 0.9994420092450189, -0.033299100979784266], [0.16212604723177476, 0.03328244697791034, 0.986208610554665]]","[0.3949093222618103, -2.2886226177215576, 0.00788842886686325]",[1.0],"[0.9665190142570169, 0.04718921914118757, -0.2519184224912647, -0.04718921914118757]",[0.594],"[-1.2227512683484596, 1.9203720021721424, 1.6483245490672296]","[516.1295166015625, 516.1295166015625, 516.1295166015625, 516.1295166015625]"
7,0.09,"[0.002703755861148238, 0.016549956053495407, -0.8561890721321106]","[4.9949383542392125, 0.22492407018830118, -10.18]","[0.11145906150341034, 0.24660849571228027, -0.35139715671539307]","[-0.10621790656770713, 2.497739925513037, -1.9999999999999574]","[0.9949964880943298, 0.019746027886867523, -0.09793893992900848, 8.76567282830365e-05]","[[0.9808159119674367, -0.004042246511059443, -0.19489434849330406], [-0.0036933739501074686, 0.9992201733672338, -0.03931162836642527], [0.1949012719823816, 0.0392772883368887, 0.9800361160694797]]","[0.4135873317718506, -2.150392770767212, 0.009538943879306316]",[1.0],"[0.966535998647543, 0.04656366596884571, -0.2519774348392754, -0.04656366596884571]",[0.594],"[-1.093750793664317, 1.9930129549731928, 0.5411619690115863]","[516.1295166015625, 516.1295166015625, 516.1295166015625, 516.1295166015625]"
8,0.1,"[0.004726757295429707, 0.020492924377322197, -0.8620851635932922]","[4.993751301974831, 0.24989584635339163, -10.2]","[0.15935204923152924, 0.27929943799972534, -0.433395117521286]","[-0.11870522643810943, 2.497177616509044, -1.9999999999999574]","[0.9933037161827087, 0.02268269658088684, -0.11328382045030594, 0.00015050644287839532]","[[0.9743335073583034, -0.005438162141476955, -0.2250436465030506], [-0.004840167719707489, 0.9989709452718901, -0.04509571242403641], [0.22505730207063285, 0.04502751264626215, 0.9733045432389488]]","[0.36393216252326965, -1.9542343616485596, 0.01135299727320671]",[1.0],"[0.966574725023835, 0.045466016199083005, -0.2520428249256575, -0.045466016199083005]",[0.594],"[-0.9220493729722223, 2.0550309542625596, -0.16452936843690225]","[516.1295166015625, 516.1295166015625, 516.1295166015625, 516.1295166015625]"
9,0.11,"[0.0075142900459468365, 0.024934271350502968, -0.8691708445549011]","[4.992439406187993, 0.2748613751353386, -10.22]","[0.21350787580013275, 0.31306615471839905, -0.5112414956092834]","[-0.13118957868387682, 2.4965528781946964, -2.000000000000135]","[0.9915845394134521, 0.025085417553782463, -0.12700720131397247, 0.0002028161397902295]","[[0.9677382608859149, -0.006774275731308444, -0.25186656706641564], [-0.005969838375118389, 0.9987413614430622, -0.049800140287286514], [0.2518869179756662, 0.04969710385097565, 0.9664797868665156]]","[0.2871180772781372, -1.7353956699371338, 0.013173296116292477]",[1.0],"[0.9666335579931665, 0.043929536049623824, -0.25210809418241487, -0.043929536049623824]",[0.594],"[-0.7063042921709828, 2.122321919071661, -0.6180002229870993]","[516.1295166015625, 516.1295166015625, 516.1295166015625, 516.1295166015625]"
