idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[9.590594345354475e-07, 0.0007980348309502006, -0.844295859336853]","[4.999750002083326, 0.049999166670833324, -10.04]","[7.962430390762165e-05, 0.05164354294538498, -0.013157396577298641]","[-0.01874980468823395, 2.4999270837369783, -1.9999999999999574]","[1.0, -7.069916318869218e-05, 5.1590284044777945e-08, -1.2871103488576452e-11]","[[0.9999999999999947, 1.844742706368028e-11, 1.0318056939377328e-07], [-3.303698663328716e-11, 0.9999999900032567, 0.0001413983256706213], [-1.0318056575386831e-07, -0.00014139832567062395, 0.9999999900032513]]","[-0.019898539409041405, 1.6056641470640898e-05, -2.6564532795703144e-09]",[1.0],"[0.9665498459574682, 0.04723092538703114, -0.251792072937378, -0.04723092538703114]",[0.594],"[0.001376729180910327, 0.6401950704128787, 6.704983408761905]","[516.1514282226562, 516.1514282226562, 516.1514282226562, 516.1514282226562]"
1,0.03,"[2.3837064873077907e-06, 0.00176263228058815, -0.8444932103157043]","[4.999437510546796, 0.07499718753164045, -10.06]","[0.00010731531074270606, 0.07694513350725174, -0.013165470212697983]","[-0.03124915365297909, 2.499802086080712, -2.000000000000135]","[1.0, -0.00032021256629377604, 3.11476583192416e-07, -5.7420769528082616e-11]","[[0.9999999999998059, -8.463588435451478e-11, 6.229531392832977e-07], [-3.143189389160211e-10, 0.9999997949278459, 0.0006404250669207732], [-6.229530657358975e-07, -0.0006404250669208448, 0.9999997949276518]]","[-0.04583360627293587, 5.689321915269829e-05, -4.741885550885172e-09]",[1.0],"[0.9664472138489489, 0.04928638625318265, -0.2517653366680635, -0.04928638625318265]",[0.594],"[0.0017356827029973798, 1.124023234001129, 6.704819377258659]","[516.1514282226562, 516.1514282226562, 516.1514282226562, 516.1514282226562]"
2,0.04,"[4.168158284301171e-06, 0.003109794110059738, -0.8446723222732544]","[4.999000033332889, 0.0999933334666654, -10.08]","[0.0001608958700671792, 0.10271809995174408, -0.009029580280184746]","[-0.04374772139073002, 2.499614593502496, -1.9999999999999574]","[0.9999982714653015, -0.00013091480650473386, -0.0018621868221089244, 1.0155690688407049e-06]","[[0.9999930645186093, -1.5435589288734392e-06, -0.003724367368828743], [2.5187102117197095e-06, 0.999999965720565, 0.0002618253707870555], [0.003724366837016645, -0.0002618329355041928, 0.9999930302432999]]","[0.21125221252441406, -0.8428893089294434, 2.2852742404211313e-05]",[1.0],"[0.9663533888139384, 0.05109361873786066, -0.25174075736756507, -0.05109361873786066]",[0.594],"[-0.05887010946867378, 1.4856762671672796, 6.808736427595999]","[516.1514282226562, 516.1514282226562, 516.1514282226562, 516.1514282226562]"
3,0.05,"[2.003797453653533e-05, 0.00522793922573328, -0.844855546951294]","[4.998437581378513, 0.12498697957356167, -10.1]","[0.0026316430885344744, 0.13261738419532776, -0.021539486944675446]","[-0.05624519543756534, 2.4993646106896263, -1.9999999999999574]","[0.9998368620872498, 0.00435648113489151, -0.017532922327518463, 1.6588917787885293e-05]","[[0.9993851928009188, -0.00018593608893577106, -0.035059974872227034], [-0.00011959125175746194, 0.9999620415989203, -0.008712121397897175], [0.03506026394941805, 0.008710957989224033, 0.9993472355006077]]","[0.7323498725891113, -2.5121748447418213, 0.0013679703697562218]",[1.0],"[0.9663255254648387, 0.05158710154910205, -0.251740223828525, -0.05158710154910205]",[0.594],"[-0.5149488624252923, 1.7166167399495176, 6.457600019679958]","[516.1514282226562, 516.1514282226562, 516.1514282226562, 516.1514282226562]"
4,0.06,"[0.0001233995717484504, 0.007406996097415686, -0.8456388711929321]","[4.997750168744938, 0.1499775010124783, -10.12]","[0.013022814877331257, 0.1584267020225525, -0.0896608829498291]","[-0.06874126335754127, 2.499052143891664, -1.9999999999999574]","[0.9991998076438904, 0.010215658694505692, -0.038670383393764496, 4.537724089459516e-05]","[[0.9970091988256916, -0.0008807687234247462, -0.07727795095244464], [-0.0006994050048132862, 0.9997912765200032, -0.020418477591186424], [0.07727980518603708, 0.02041145857008697, 0.9968004835820706]]","[0.744502067565918, -2.9227664470672607, 0.004326774738729]",[1.0],"[0.9662435884143558, 0.052952081818468284, -0.25175198335989263, -0.052952081818468284]",[0.594],"[-0.9671295359722696, 1.704349064860645, 4.762969542913675]","[516.1514282226562, 516.1514282226562, 516.1514282226562, 516.1514282226562]"
5,0.07,"[0.0004536256892606616, 0.009992496110498905, -0.8475110530853271]","[4.996937812617443, 0.174964273021681, -10.14]","[0.03261011093854904, 0.18667277693748474, -0.1589692384004593]","[-0.08123561274953062, 2.4986772009202682, -2.000000000000135]","[0.9981180429458618, 0.014882562682032585, -0.05948906019330025, 5.142722511664033e-05]","[[0.9929220986352864, -0.0018733600872823657, -0.11875266971180966], [-0.0016680383363513872, 0.9995570133971902, -0.029715225333116567], [0.11875573118720308, 0.0297029879048019, 0.9924791226115136]]","[0.5006563663482666, -2.5901646614074707, 0.006847114767879248]",[1.0],"[0.9662008157181403, 0.05347753091000135, -0.2517973592183449, -0.05347753091000135]",[0.594],"[-1.2375005799368786, 1.7476123336408516, 3.4245358472855294]","[516.1514282226562, 516.1514282226562, 516.1514282226562, 516.1514282226562]"
6,0.08,"[0.0011521641863510013, 0.01301762368530035, -0.8504728674888611]","[4.99600053330489, 0.1999466709331708, -10.16]","[0.062493450939655304, 0.2170378565788269, -0.23908352851867676]","[-0.09372793125530521, 2.4982397911489818, -1.9999999999999574]","[0.9968103766441345, 0.018128635361790657, -0.0777205377817154, 2.9944480047561228e-05]","[[0.9879190349126801, -0.0028776323511285565, -0.15494418249566694], [-0.0027582364842308835, 0.9993427034041547, -0.036146276217237185], [0.15494635390578204, 0.036136967013399, 0.9872617419035221]]","[0.4100806713104248, -2.324890375137329, 0.008504575118422508]",[1.0],"[0.9661953376174941, 0.053295086895921856, -0.25185948779349143, -0.053295086895921856]",[0.594],"[-1.2660487559608407, 1.841998065734348, 2.118169849974512]","[516.1514282226562, 516.1514282226562, 516.1514282226562, 516.1514282226562]"
7,0.09,"[0.0026911478489637375, 0.017258239910006523, -0.8557146787643433]","[4.9949383542392125, 0.22492407018830118, -10.18]","[0.1105615496635437, 0.25438830256462097, -0.3432079553604126]","[-0.10621790656770713, 2.497739925513037, -1.9999999999999574]","[0.9949621558189392, 0.022087901830673218, -0.09778807312250137, 6.280665547819808e-05]","[[0.9808749791144579, -0.004444846862167908, -0.19458807436115827], [-0.004194885900354607, 0.9990242413723005, -0.04396553289546763], [0.1945936234296869, 0.0439409659301126, 0.979899236265461]]","[0.4737854599952698, -2.15126895904541, 0.010653110221028328]",[1.0],"[0.9663072312694354, 0.05087977692671131, -0.2519634379236544, -0.05087977692671131]",[0.594],"[-1.0376262057751187, 2.0386036226180395, 0.4796059860787665]","[516.1514282226562, 516.1514282226562, 516.1514282226562, 516.1514282226562]"
8,0.1,"[0.004699868615716696, 0.02131926827132702, -0.86148601770401]","[4.993751301974831, 0.24989584635339163, -10.2]","[0.15829338133335114, 0.2873329818248749, -0.42471417784690857]","[-0.11870522643810943, 2.497177616509044, -1.9999999999999574]","[0.9932514429092407, 0.025528661906719208, -0.11313656717538834, 0.0001482898514950648]","[[0.9744001915395677, -0.0060710282826097845, -0.22473853551014686], [-0.005481871873988562, 0.9986965309230199, -0.05074631221165379], [0.2247536780753787, 0.05067920419577661, 0.9730968104221038]]","[0.4281594753265381, -1.9553875923156738, 0.012759574688971043]",[1.0],"[0.96635503128845, 0.04964264801619706, -0.2520434828339596, -0.04964264801619706]",[0.594],"[-0.882828680261666, 2.05976296041653, -0.1999942101884642]","[516.1514282226562, 516.1514282226562, 516.1514282226562, 516.1514282226562]"
9,0.11,"[0.007467286195605993, 0.025889333337545395, -0.8684249520301819]","[4.992439406187993, 0.2748613751353386, -10.22]","[0.21184945106506348, 0.3223077952861786, -0.500247061252594]","[-0.13118957868387682, 2.4965528781946964, -2.000000000000135]","[0.9915160536766052, 0.02822570689022541, -0.1268826127052307, 0.00020463738474063575]","[[0.9678015219005104, -0.007568505265844692, -0.2516007391386136], [-0.006756900269011147, 0.9984065352112989, -0.056024412055139784], [0.2516238432776402, 0.05592055235251469, 0.9662082246176438]]","[0.2998739778995514, -1.740272045135498, 0.014822912402451038]",[1.0],"[0.966436935655141, 0.047726235511190145, -0.25212463628069487, -0.047726235511190145]",[0.594],"[-0.6913967064823479, 2.1232991427974133, -0.5883237061317992]","[516.1514282226562, 516.1514282226562, 516.1514282226562, 516.1514282226562]"
