idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[-5.96663772331322e-17, 7.152245962060988e-05, -0.8442480564117432]","[7.999600003333322, 0.14999750001249998, -10.04]","[-9.941967056201467e-15, 0.005031069740653038, -0.013155939057469368]","[-0.029999687501103267, 7.499781251210935, -1.9999999999999574]","[1.0, -4.992869435227476e-06, -1.3328572968303749e-17, 2.3481572589134636e-12]","[[1.0, -4.69631451757676e-12, -5.0105231149631573e-17], [4.696314517842951e-12, 0.9999999999501425, 9.985738870206023e-06], [3.209060722254372e-18, -9.985738870206023e-06, 0.9999999999501425]]","[-0.001657762797549367, -3.094555992850373e-16, -2.0119913795968735e-22]",[1.0],"[0.9546114467799284, 0.158639057962462, -0.2486820478399757, -0.158639057962462]",[0.594],"[-2.50696380812092e-13, 0.06668044219479995, 6.704972595299054]","[516.14892578125, 516.14892578125, 516.14892578125, 516.14892578125]"
1,0.03,"[-3.0186742815728007e-16, 0.00016680832777637988, -0.8444453477859497]","[7.999100016874873, 0.22499156259492134, -10.06]","[-2.234365680485722e-14, 0.007671942003071308, -0.013157399371266365]","[-0.049998645844873124, 7.499406258242136, -2.000000000000135]","[1.0, -2.8086311431252398e-05, -9.540885150154853e-17, 1.1740785210365146e-12]","[[1.0, -2.3481570348613414e-12, -2.567687727736989e-16], [2.348157045580072e-12, 0.9999999984223182, 5.6172622818193534e-05], [1.248666329314456e-16, -5.6172622818193534e-05, 0.9999999984223182]]","[-0.004480934701859951, 4.354545136341049e-15, -3.913512014452891e-10]",[1.0],"[0.9501556143503513, 0.18344937599466743, -0.24752127657870343, -0.18344937599466743]",[0.594],"[-5.029990194059277e-13, 0.11709840969280794, 6.704980730173435]","[516.14892578125, 516.14892578125, 516.14892578125, 516.14892578125]"
2,0.04,"[2.8186908807015243e-08, 0.00030166286160238087, -0.844592809677124]","[7.998400053332622, 0.2999800003999962, -10.08]","[2.584025787655264e-05, 0.010328073054552078, -0.0018427507020533085]","[-0.0699963542251325, 7.498843780507489, -1.9999999999999574]","[0.9999979734420776, 0.0013745889300480485, -0.0014612076338380575, 1.2410697536324733e-07]","[[0.9999957297443491, -4.2653332451736696e-06, -0.002922409087297386], [-3.7689063356177477e-06, 0.9999962210104083, -0.002749172729741904], [0.0029224097696817033, 0.0027491720043576443, 0.9999919507548191]]","[0.6484032869338989, -0.6627501249313354, 6.951057002879679e-05]",[1.0],"[0.9450592394487541, 0.20811535355050206, -0.24619446457850455, -0.20811535355050206]",[0.594],"[-0.047614592351289085, 0.10832667652210681, 6.989258769759456]","[516.14892578125, 516.14892578125, 516.14892578125, 516.14892578125]"
3,0.05,"[8.793122105998918e-06, 0.000524123024661094, -0.8444130420684814]","[7.997500130205621, 0.374960938720685, -10.1]","[0.001602238044142723, 0.015049207955598831, 0.01647796295583248]","[-0.08999231270010455, 7.498093832068875, -1.9999999999999574]","[0.9997985363006592, 0.014301884919404984, -0.014084568247199059, 1.289466399612138e-05]","[[0.9996032495548622, -0.0004286558669421975, -0.02816309168943406], [-0.0003770876038517644, 0.9995909118561853, -0.028598369524483132], [0.0281638293614124, 0.028597643061406306, 0.9991941620761371]]","[2.1917648315429688, -2.0953755378723145, 0.0031940629705786705]",[1.0],"[0.9394527294918612, 0.23202015667530543, -0.24482476360324198, -0.23202015667530543]",[0.594],"[-0.42501231343435303, -0.2385581461549734, 7.365095467684402]","[516.14892578125, 516.14892578125, 516.14892578125, 516.14892578125]"
4,0.06,"[7.561781239928678e-05, 0.0008132839575409889, -0.8443478941917419]","[7.9964002699919, 0.449932503037435, -10.12]","[0.009018938057124615, 0.025289049372076988, -0.02113262191414833]","[-0.10998602137206603, 7.497156431675, -1.9999999999999574]","[0.9988847374916077, 0.03397885710000992, -0.03278394788503647, 7.52659616409801e-05]","[[0.9978504143522006, -0.0023782860243816285, -0.06548965057723215], [-0.002077557965420819, 0.9976908633822873, -0.06788685348730279], [0.06549988038189115, 0.06787698342658156, 0.9955413003943461]]","[2.885303497314453, -2.7613818645477295, 0.011787984520196915]",[1.0],"[0.936449353002554, 0.24341964533802313, -0.24448082205901087, -0.24341964533802313]",[0.594],"[-0.8651436764641315, -0.6888054722770598, 6.190303895476166]","[516.14892578125, 516.14892578125, 516.14892578125, 516.14892578125]"
5,0.07,"[0.00032855398603715, 0.0013340997975319624, -0.8452228903770447]","[7.995100500187909, 0.5248928190650429, -10.14]","[0.026161741465330124, 0.04564307630062103, -0.09289534389972687]","[-0.12997698039916017, 7.4960316027607945, -2.000000000000135]","[0.9970408082008362, 0.05510779097676277, -0.0535980649292469, 0.00018605966761242598]","[[0.9942544258020544, -0.006278359898260884, -0.10685840617384763], [-0.005536323594320093, 0.9939261936872242, -0.10990937459327774], [0.10689941952174513, 0.10986948484185396, 0.9881807579620743]]","[2.6520142555236816, -2.701270580291748, 0.02275753952562809]",[1.0],"[0.9364492789801263, 0.24252825012989526, -0.24536628434761612, -0.24252825012989526]",[0.594],"[-1.1719035464704333, -0.9799242483025151, 4.376037944605237]","[516.14892578125, 516.14892578125, 516.14892578125, 516.14892578125]"
6,0.08,"[0.0009027959313243628, 0.002224578754976392, -0.8471192121505737]","[7.993600853287823, 0.5998400127995124, -10.16]","[0.05228342488408089, 0.07491573691368103, -0.16244295239448547]","[-0.14996469000854162, 7.494719373446945, -1.9999999999999574]","[0.9946382641792297, 0.07348740845918655, -0.07276173681020737, 0.0003201658255420625]","[[0.9894112548152513, -0.011331040757346342, -0.1446961518502319], [-0.01005724409541334, 0.9891989971087526, -0.14623336131076028], [0.14479026447284118, 0.1461401780291561, 0.9786106619486072]]","[2.318838119506836, -2.4413928985595703, 0.032163143157958984]",[1.0],"[0.9364490783097448, 0.24134893190523649, -0.24652951667801595, -0.24134893190523649]",[0.594],"[-1.2892969401895975, -1.054038335261775, 3.00637604310835]","[516.14892578125, 516.14892578125, 516.14892578125, 516.14892578125]"
7,0.09,"[0.0019450649851933122, 0.003627658123150468, -0.8501442670822144]","[7.99190136678274, 0.6747722105649036, -10.18]","[0.08822917193174362, 0.11362732201814651, -0.24104812741279602]","[-0.16994865050836694, 7.493219776539117, -1.9999999999999574]","[0.9918282628059387, 0.09016387164592743, -0.09026072174310684, 0.0005225027562119067]","[[0.9837054597920913, -0.017312976572965443, -0.17895203049257088], [-0.01524004477115912, 0.9837404080674887, -0.1789484578603117], [0.17914047395997126, 0.1787598119751602, 0.9674469598959946]]","[2.1748809814453125, -2.257751703262329, 0.040894292294979095]",[1.0],"[0.9364486991725208, 0.239976401946396, -0.24787164630776604, -0.239976401946396]",[0.594],"[-1.2281789507458538, -0.9634684514680438, 1.6872649061966563]","[516.14892578125, 516.14892578125, 516.14892578125, 516.14892578125]"
8,0.1,"[0.003583877347409725, 0.005665915086865425, -0.8543223738670349]","[7.99000208315973, 0.7496875390601748, -10.2]","[0.13137096166610718, 0.15917789936065674, -0.31439661979675293]","[-0.18992836230093957, 7.491532849527127, -1.9999999999999574]","[0.9886919260025024, 0.10567615926265717, -0.10639645159244537, 0.0008082603453658521]","[[0.977358284363175, -0.024085376878215606, -0.2102157905755548], [-0.020888895074614274, 0.9776637929028927, -0.20913431595338783], [0.21055744596008227, 0.20879033183402917, 0.955024690405124]]","[1.9900230169296265, -2.077667236328125, 0.049809087067842484]",[1.0],"[0.9364480983255867, 0.23845458493173005, -0.24934526315871702, -0.23845458493173005]",[0.594],"[-1.0943362454635706, -0.8177987717007023, 0.7646746772529553]","[516.14892578125, 516.14892578125, 516.14892578125, 516.14892578125]"
9,0.11,"[0.006471431814134121, 0.009077033028006554, -0.8607001304626465]","[7.987903049900788, 0.8245841254060159, -10.22]","[0.19100983440876007, 0.2212718427181244, -0.3931634724140167]","[-0.2099033258942562, 7.4896586345841065, -2.000000000000135]","[0.9847727417945862, 0.1219482272863388, -0.12389500439167023, 0.001186121953651309]","[[0.9692972451383146, -0.03255367012286561, -0.2437275305106209], [-0.02788142832638771, 0.9702544489904293, -0.24047646489575397], [0.24430611232990979, 0.2398886466171543, 0.939557321669325]]","[1.6824216842651367, -1.8552967309951782, 0.06077175587415695]",[1.0],"[0.9365135134633866, 0.23654839038277703, -0.25093803963334776, -0.23654839038277703]",[0.594],"[-0.7464075013379134, -0.43734880897883643, -0.16407309973376805]","[516.14892578125, 516.14892578125, 516.14892578125, 516.14892578125]"
