idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[0.0, 0.0, -0.844389796257019]","[7.999600003333322, 0.14999750001249998, -10.04]","[0.0, 0.0, -0.01315746083855629]","[-0.029999687501103267, 7.499781251210935, -1.9999999999999574]","[0.9999998807907104, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[1.0],"[0.9518612782725312, 0.17438311833285638, -0.24796561233327702, -0.17438311833285638]",[0.594],"[0.0, 0.0, 6.7050235992983716]","[515.9205932617188, 515.9205932617188, 515.9205932617188, 515.9205932617188]"
1,0.03,"[0.0, 0.0, -0.8553290963172913]","[7.999100016874873, 0.22499156259492134, -10.06]","[0.0, 0.0, -0.008244520984590054]","[-0.049998645844873124, 7.499406258242136, -2.000000000000135]","[0.9999998807907104, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[1.0],"[0.9468552914233975, 0.19978594079068981, -0.2466615225223851, -0.19978594079068981]",[0.594],"[0.0, 0.0, 6.828531288619544]","[515.9205932617188, 515.9205932617188, 515.9205932617188, 515.9205932617188]"
2,0.04,"[4.7301955419243313e-07, 5.284312010189751e-07, -0.8554065227508545]","[7.998400053332622, 0.2999800003999962, -10.08]","[0.00016995205078274012, 0.00019222743867430836, 0.0119241401553154]","[-0.0699963542251325, 7.498843780507489, -1.9999999999999574]","[0.9999821782112122, 0.004507029894739389, -0.003911066334694624, 7.767753800180799e-07]","[[0.9999694071180196, -3.680811008764645e-05, -0.007821986525137672], [-3.370106383759198e-05, 0.999959373360488, -0.009013905520824102], [0.007822000528937577, 0.009013893368743541, 0.9999287804809212]]","[1.2682788372039795, -1.0870224237442017, 0.00043257561628706753]",[1.0],"[0.9411830028442317, 0.22498902576697394, -0.24519180527550544, -0.22498902576697394]",[0.594],"[-0.12490993169850956, -0.14403481294641007, 7.303240004174594]","[515.9205932617188, 515.9205932617188, 515.9205932617188, 515.9205932617188]"
3,0.05,"[1.35626387418597e-05, 1.559766496939119e-05, -0.8551098704338074]","[7.997500130205621, 0.374960938720685, -10.1]","[0.0022291785571724176, 0.0025767949409782887, 0.020806195214390755]","[-0.08999231270010455, 7.498093832068875, -1.9999999999999574]","[0.9996825456619263, 0.019050458446145058, -0.016489021480083466, 1.490959130023839e-05]","[[0.999456223896732, -0.0006580565533406244, -0.03296700586432009], [-0.0005984371206045609, 0.9992741596214785, -0.03808931327551799], [0.03296814200251801, 0.03808832989723327, 0.9987303844073941]]","[2.5169458389282227, -2.217377185821533, 0.004535364918410778]",[1.0],"[0.9364493640390252, 0.24379808611232928, -0.24410326582532824, -0.24379808611232928]",[0.594],"[-0.4895032391054756, -0.5655030730180138, 7.356066953507039]","[515.9205932617188, 515.9205932617188, 515.9205932617188, 515.9205932617188]"
4,0.06,"[0.00010042476787930354, 0.00011567059846129268, -0.8550885915756226]","[7.9964002699919, 0.449932503037435, -10.12]","[0.011176267638802528, 0.012804936617612839, -0.029781896620988846]","[-0.10998602137206603, 7.497156431675, -1.9999999999999574]","[0.998553454875946, 0.04008835181593895, -0.03583279997110367, 5.437642175820656e-05]","[[0.9974320151604447, -0.002981551100389185, -0.07155756763620644], [-0.002764360060504224, 0.9967858424110346, -0.0800646156699701], [0.07156628708009366, 0.08005682183274514, 0.9942178693986594]]","[2.896747589111328, -2.802224636077881, 0.0141663933172822]",[1.0],"[0.9364493437151482, 0.24324357563337318, -0.2446561473982733, -0.24324357563337318]",[0.594],"[-0.9157782473914302, -1.017641594662852, 5.841261858359863]","[515.9205932617188, 515.9205932617188, 515.9205932617188, 515.9205932617188]"
5,0.07,"[0.00039354420732706785, 0.00044716420234180987, -0.8560622930526733]","[7.995100500187909, 0.5248928190650429, -10.14]","[0.02938278578221798, 0.03285427391529083, -0.09785854071378708]","[-0.12997698039916017, 7.4960316027607945, -2.000000000000135]","[0.996561586856842, 0.06048320233821869, -0.056629035621881485, 9.242457599611953e-05]","[[0.9935862880158735, -0.007034423908618266, -0.11285745499129303], [-0.006665996806071657, 0.9926835479001664, -0.12056093154467344], [0.11287981552704325, 0.12053999588772123, 0.9862698700852464]]","[2.5152862071990967, -2.6720192432403564, 0.02492358908057213]",[1.0],"[0.9364492401146767, 0.24223600956883248, -0.24565540966395424, -0.24223600956883248]",[0.594],"[-1.2071269908884785, -1.2591133768399545, 4.192165863227327]","[515.9205932617188, 515.9205932617188, 515.9205932617188, 515.9205932617188]"
6,0.08,"[0.0012099187588319182, 0.0013432108098641038, -0.8585873246192932]","[7.993600853287823, 0.5998400127995124, -10.16]","[0.06397140026092529, 0.06923706084489822, -0.1860559582710266]","[-0.14996469000854162, 7.494719373446945, -1.9999999999999574]","[0.9935300946235657, 0.0814950242638588, -0.07909835875034332, 0.00019846155191771686]","[[0.9874868214836329, -0.013286599348435712, -0.15714084024818614], [-0.01249788931185246, 0.9867170442978654, -0.1619669017263491], [0.15720553475911875, 0.1619041097990977, 0.9742040233294365]]","[2.243980646133423, -2.368765115737915, 0.03581538423895836]",[1.0],"[0.9364489205853619, 0.2407078355378262, -0.24715796757789218, -0.2407078355378262]",[0.594],"[-1.234221608102871, -1.2125038717600587, 2.3508459873681105]","[515.9205932617188, 515.9205932617188, 515.9205932617188, 515.9205932617188]"
7,0.09,"[0.002449923427775502, 0.002670279238373041, -0.8619675040245056]","[7.99190136678274, 0.6747722105649036, -10.18]","[0.10264928638935089, 0.10892413556575775, -0.2635079026222229]","[-0.16994865050836694, 7.493219776539117, -1.9999999999999574]","[0.9905644059181213, 0.09772561490535736, -0.09608236700296402, 0.0004014890582766384]","[[0.9815360373406181, -0.01957481597562888, -0.190273051116539], [-0.01798401308537937, 0.9808990882979092, -0.19368416003812886], [0.19042999415801518, 0.19352985598054598, 0.9624357704123052]]","[2.109431266784668, -2.194361925125122, 0.044726211577653885]",[1.0],"[0.9364484338848793, 0.2392449403893219, -0.24858182979567836, -0.2392449403893219]",[0.594],"[-1.151376167532529, -1.1064164451184042, 1.1971964415717515]","[515.9205932617188, 515.9205932617188, 515.9205932617188, 515.9205932617188]"
8,0.1,"[0.004318933468312025, 0.0046389224007725716, -0.8664484024047852]","[7.99000208315973, 0.7496875390601748, -10.2]","[0.14758682250976562, 0.15453384816646576, -0.3323994576931]","[-0.18992836230093957, 7.491532849527127, -1.9999999999999574]","[0.9873476028442383, 0.11249816417694092, -0.11175165325403214, 0.0006588158430531621]","[[0.9750222677092523, -0.02644467237242755, -0.22052722456472862], [-0.02384275137774927, 0.9746874578301714, -0.22229683478470116], [0.22082368685864773, 0.22200233974369024, 0.949711461692698]]","[1.8680182695388794, -2.018000364303589, 0.05385647341609001]",[1.0],"[0.9364477073017187, 0.23765446583968652, -0.25011399933333467, -0.23765446583968652]",[0.594],"[-1.0220208783779832, -0.9585160542612057, 0.4840006844476292]","[515.9205932617188, 515.9205932617188, 515.9205932617188, 515.9205932617188]"
9,0.11,"[0.006906530819833279, 0.007333165965974331, -0.8719141483306885]","[7.987903049900788, 0.8245841254060159, -10.22]","[0.19856417179107666, 0.20573392510414124, -0.3959401845932007]","[-0.2099033258942562, 7.4896586345841065, -2.000000000000135]","[0.984082043170929, 0.12529104948043823, -0.12603133916854858, 0.0009203958907164633]","[[0.9682305107549443, -0.033392685625694626, -0.24781970581437465], [-0.02976970556970133, 0.9686026134779031, -0.2468253264842752], [0.24828097525487722, 0.2463613316055896, 0.9368365127470255]]","[1.6140111684799194, -1.8337688446044922, 0.06322621554136276]",[1.0],"[0.9366362542288409, 0.23606191805622848, -0.2509709279223296, -0.23606191805622848]",[0.594],"[-0.850042571832339, -0.7585979274270764, 0.029228785849028327]","[515.9205932617188, 515.9205932617188, 515.9205932617188, 515.9205932617188]"
