idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[1.3452405767111486e-07, 0.0008265317883342505, -0.8443202972412109]","[7.999600003333322, 0.14999750001249998, -10.04]","[1.0178341653954703e-05, 0.05266188830137253, -0.013157933950424194]","[-0.029999687501103267, 7.499781251210935, -1.9999999999999574]","[1.0, -7.437014573952183e-05, 8.323166156287698e-09, 9.407068873867885e-12]","[[0.9999999999999999, -2.0052127796943828e-11, 1.6646330821295734e-08], [1.7576147490408787e-11, 0.9999999889381629, 0.0001487402906563734], [-1.664633361971605e-08, -0.00014874029065637306, 0.9999999889381628]]","[-0.02084355428814888, 2.479661361576291e-06, -7.686623559877148e-10]",[1.0],"[0.9669367775785283, 0.03850497630827874, -0.25189287095938495, -0.03850497630827874]",[0.594],"[0.00018281165149194682, 0.7605224067085891, 6.7049698386987195]","[529.510009765625, 529.8802490234375, 529.8801879882812, 529.51025390625]"
1,0.03,"[0.0002454750647302717, 0.6156314015388489, -0.8901783227920532]","[7.999100016874873, 0.22499156259492134, -10.06]","[0.00034169459831900895, 0.8031332492828369, -0.06691572815179825]","[-0.049998645844873124, 7.499406258242136, -2.000000000000135]","[0.9962198138237, -0.08686848729848862, 3.559722608770244e-05, -3.6231561750810215e-08]","[[0.9999999974656725, -6.112364842338712e-06, 7.093161490765598e-05], [-6.256743233522169e-06, 0.9849077326259287, 0.1730802073447604], [-7.091902538447378e-05, -0.17308020734991938, 0.9849077300916065]]","[-0.13713091611862183, 6.431463407352567e-05, 2.9565117642960104e-07]",[1.0],"[0.9364493650339993, -0.24395231032175427, -0.2439491213596852, 0.24395231032175427]",[0.594],"[0.009640018908898039, 22.287391551346815, 5.1046836753492215]","[529.510009765625, 529.8802490234375, 529.8801879882812, 529.51025390625]"
2,0.04,"[0.0002495372318662703, 0.6252542734146118, -0.8909755349159241]","[7.998400053332622, 0.2999800003999962, -10.08]","[0.00033445365261286497, 0.8008807301521301, -0.06439729779958725]","[-0.0699963542251325, 7.498843780507489, -1.9999999999999574]","[0.9961485862731934, -0.0876813754439354, 3.597959585022181e-05, -3.874507115142478e-08]","[[0.9999999974109345, -6.232289016292409e-06, 7.168883931397013e-05], [-6.386672402943207e-06, 0.9846239532745346, 0.17468735099381896], [-7.167525042986812e-05, -0.1746873509993951, 0.9846239506854749]]","[-0.08037705719470978, -0.06614147871732712, 3.4172438745372347e-07]",[1.0],"[0.9364493650339948, -0.24395234343294686, -0.24394908824812725, 0.24395234343294686]",[0.594],"[0.0073421553473981705, 17.374295144846393, 5.502889768903852]","[529.510009765625, 529.8802490234375, 529.8801879882812, 529.51025390625]"
3,0.05,"[0.00025663102860562503, 0.6396782994270325, -0.8918547034263611]","[7.997500130205621, 0.374960938720685, -10.1]","[0.0006570665864273906, 0.8021431565284729, -0.030450623482465744]","[-0.08999231270010455, 7.498093832068875, -1.9999999999999574]","[0.9958092570304871, -0.09123526513576508, -0.0063036042265594006, 0.0005540724378079176]","[[0.9999199151543696, 4.672108092740822e-05, -0.012655476870462286], [0.00225372294820688, 0.9833516386723947, 0.18169885925120377], [0.012453273085857171, -0.1817128298647529, 0.9832727818118391]]","[-1.0654151439666748, -1.4507938623428345, -0.000524511793628335]",[1.0],"[0.9364493509342022, -0.24337576314266748, -0.24452453848104444, 0.24337576314266748]",[0.594],"[-0.1962884926261781, 13.880259448408351, 6.572087693367816]","[529.510009765625, 529.8802490234375, 529.8801879882812, 529.51025390625]"
4,0.06,"[0.00028194408514536917, 0.651698648929596, -0.8921670317649841]","[7.9964002699919, 0.449932503037435, -10.12]","[0.0035727815702557564, 0.7983231544494629, -0.019728371873497963]","[-0.10998602137206603, 7.497156431675, -1.9999999999999574]","[0.9943724274635315, -0.10376466810703278, -0.02128738909959793, 0.0018244184320792556]","[[0.9990870372279255, 0.0007894548708949306, -0.04271380109674963], [0.008046059596155066, 0.9784591327187468, 0.20628375244854594], [0.04195656048940369, -0.20643910085127934, 0.9775594839556385]]","[-2.18833327293396, -2.4695396423339844, -0.005129195284098387]",[1.0],"[0.9364491850419374, -0.24189122681443673, -0.24599577788728536, 0.24189122681443673]",[0.594],"[-0.622622900535722, 11.455965197229979, 6.711223932514827]","[529.510009765625, 529.8802490234375, 529.8801879882812, 529.51025390625]"
5,0.07,"[0.0004026501555927098, 0.6635376811027527, -0.8927530646324158]","[7.995100500187909, 0.5248928190650429, -10.14]","[0.014089000411331654, 0.7779215574264526, -0.062876857817173]","[-0.12997698039916017, 7.4960316027607945, -2.000000000000135]","[0.9917572140693665, -0.12116052955389023, -0.041540078818798065, 0.003491200041025877]","[[0.9965244667904269, 0.0031411902035558123, -0.08324133595852691], [0.01699088134028755, 0.9706158755596634, 0.2400336061113696], [0.0815493533961829, -0.2406137050037943, 0.9671890962604012]]","[-2.264486074447632, -2.808161973953247, -0.015452095307409763]",[1.0],"[0.9381627359006155, -0.2329001395694699, -0.2485952074818101, 0.2329001395694699]",[0.594],"[-1.0484502839548904, 9.477627091920793, 5.36084532547604]","[529.510009765625, 529.8802490234375, 529.8801879882812, 529.51025390625]"
6,0.08,"[0.0007335692644119263, 0.6750263571739197, -0.8939387202262878]","[7.993600853287823, 0.5998400127995124, -10.16]","[0.031092330813407898, 0.7535074949264526, -0.092063307762146]","[-0.14996469000854162, 7.494719373446945, -1.9999999999999574]","[0.9888334274291992, -0.13548479974269867, -0.06184827908873558, 0.005215407814830542]","[[0.9922951804702598, 0.0064446636747208675, -0.12372849762934303], [0.027073340193796556, 0.9632333403653168, 0.26729864619826377], [0.12090206394535029, -0.26858890207674885, 0.9556373227406729]]","[-1.5925366878509521, -2.5995349884033203, -0.026611637324094772]",[1.0],"[0.9446111868999737, -0.20313317930267347, -0.25201125870006535, 0.20313317930267347]",[0.594],"[-1.3717679636024607, 7.928643512985422, 4.6382028762867265]","[529.510009765625, 529.8802490234375, 529.8801879882812, 529.51025390625]"
7,0.09,"[0.0015480916481465101, 0.6882807612419128, -0.89590984582901]","[7.99190136678274, 0.6747722105649036, -10.18]","[0.06145796179771423, 0.7176417112350464, -0.12897233664989471]","[-0.16994865050836694, 7.493219776539117, -1.9999999999999574]","[0.9856202602386475, -0.14647190272808075, -0.08394153416156769, 0.007252736482769251]","[[0.9858024347181498, 0.010293263394643029, -0.1675935811194947], [0.0388870366414858, 0.9569867633088646, 0.2875137096433264], [0.16334429308981654, -0.28994893271110994, 0.9429996067521325]]","[-0.9794134497642517, -2.380992889404297, -0.0397954024374485]",[1.0],"[0.9507470009660944, -0.1705662394678286, -0.2547518911151768, 0.1705662394678286]",[0.594],"[-1.5018331740918018, 6.4778866734245115, 3.8372081360043584]","[529.510009765625, 529.8802490234375, 529.8801879882812, 529.51025390625]"
8,0.1,"[0.0027061053551733494, 0.6987994909286499, -0.8980717062950134]","[7.99000208315973, 0.7496875390601748, -10.2]","[0.09400422126054764, 0.6845583915710449, -0.15863457322120667]","[-0.18992836230093957, 7.491532849527127, -1.9999999999999574]","[0.9831457138061523, -0.15203623473644257, -0.10113850980997086, 0.008974935859441757]","[[0.9793809059337023, 0.01310609622113643, -0.2015968038792353], [0.04840077303026684, 0.9536088704388728, 0.29713210427412534], [0.19613874238036993, -0.3007629506141663, 0.9333119742483258]]","[-0.6057462692260742, -2.240903854370117, -0.05188532546162605]",[1.0],"[0.9559935739478467, -0.13816290552330734, -0.2561577061086683, 0.13816290552330734]",[0.594],"[-1.563605389931863, 5.370577025495838, 3.4159226649686136]","[529.510009765625, 529.8802490234375, 529.8801879882812, 529.51025390625]"
9,0.11,"[0.004383075516670942, 0.7088313102722168, -0.9005964994430542]","[7.987903049900788, 0.8245841254060159, -10.22]","[0.13029924035072327, 0.6532190442085266, -0.17651814222335815]","[-0.2099033258942562, 7.4896586345841065, -2.000000000000135]","[0.9809486269950867, -0.1546630710363388, -0.11706579476594925, 0.01071141380816698]","[[0.9723617308698301, 0.015196817189710936, -0.23298437949169604], [0.057226203483128464, 0.9519292005780398, 0.3009251712997133], [0.22635773893272504, -0.30594093193647154, 0.9247498689868021]]","[-0.1603856086730957, -2.0502145290374756, -0.06472258269786835]",[1.0],"[0.9601011277163478, -0.10602072491558438, -0.2572133138380438, 0.10602072491558438]",[0.594],"[-1.6135756667558159, 4.529112452123697, 3.3749256822215834]","[529.510009765625, 529.8802490234375, 529.8801879882812, 529.51025390625]"
