idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[-1.5537373505669397e-17, 7.218812970677391e-05, -0.8458166718482971]","[0.09999833334166665, 0.09999333346666539, -10.04]","[-5.178075036891411e-15, 0.0051308972761034966, -0.01315503753721714]","[4.9998541674739565, 4.999416679583207, -1.9999999999999574]","[1.0, -4.994186383555643e-06, -1.4844159756403008e-17, 2.3481572589134636e-12]","[[1.0, -4.6963145175615234e-12, -5.314258952930647e-17], [4.696314517858061e-12, 0.9999999999501162, 9.988372766862157e-06], [6.2340494948246e-18, -9.988372766862157e-06, 0.9999999999501162]]","[-0.0016604363918304443, -1.8920242705455087e-15, -3.913512014452891e-10]",[1.0],"[0.9954083780495636, 0.07445039665009773, -0.05999304293536293, -0.07445039665009773]",[0.594],"[-1.3101687788306204e-13, 0.06918944871666866, 6.704941909128987]","[516.1491088867188, 516.1491088867188, 516.1491088867188, 516.1491088867188]"
1,0.03,"[-1.2798482544555266e-16, 0.00019529236305970699, -0.846053421497345]","[0.1499943750632809, 0.14997750101247828, -10.06]","[8.995554274344661e-15, 0.008556004613637924, -0.013157560490071774]","[4.999604172161424, 4.998416754581289, -2.000000000000135]","[1.0, -3.552548514562659e-05, 9.410225024084957e-17, -1.4088943553480782e-11]","[[1.0, 2.8177887064713326e-11, 1.189237608834316e-15], [-2.8177887078085438e-11, 0.9999999974758799, 7.105097020158261e-05], [8.128286083459685e-16, -7.105097020158261e-05, 0.9999999974758799]]","[-0.005062467884272337, 9.602766444429672e-14, -1.9567560904931725e-09]",[1.0],"[0.992779878678571, 0.09116513079017585, -0.0776287054557257, -0.09116513079017585]",[0.594],"[2.7843093047430647e-13, 0.13893249689817394, 6.704931033616379]","[516.1491088867188, 516.1491088867188, 516.1491088867188, 516.1491088867188]"
2,0.04,"[1.0144932360844905e-07, 0.00034586357651278377, -0.8463567495346069]","[0.1999866669333308, 0.1999466709331708, -10.08]","[5.19283494213596e-05, 0.011585110798478127, -0.031446442008018494]","[4.999229187004992, 4.996916992069253, -1.9999999999999574]","[0.9999975562095642, 0.0018183229258283973, -0.0012721918756142259, 1.4318659680156998e-07]","[[0.9999967630557426, -4.912883617993602e-06, -0.0025443769179293286], [-4.34013865176303e-06, 0.9999933874036798, -0.0036366371935113665], [0.002544377959367176, 0.003636636464868093, 0.9999901504595045]]","[0.6504440307617188, -0.4433414936065674, 6.728107837261632e-05]",[1.0],"[0.9895479015888033, 0.10786253724033756, -0.09514757215924194, -0.10786253724033756]",[0.594],"[-0.04071566854284793, 0.11920657406680718, 6.245173979211334]","[516.1491088867188, 516.1491088867188, 516.1491088867188, 516.1491088867188]"
3,0.05,"[5.9672092902474105e-06, 0.0005499686230905354, -0.8470674157142639]","[0.24997395914712334, 0.24989584635339168, -10.1]","[0.0010909376433119178, 0.016156673431396484, -0.06999453902244568]","[4.998729221379253, 4.994917542022087, -1.9999999999999574]","[0.9999274611473083, 0.009833663702011108, -0.006958787329494953, 2.626933792271302e-06]","[[0.9999031505491591, -0.00014211422765493943, -0.013916512688600396], [-0.00013160725526415508, 0.999806598112884, -0.019665936272458898], [0.01391661601812882, 0.01966586315136843, 0.9997097486896462]]","[1.3915189504623413, -1.034389615058899, 0.0010852436535060406]",[1.0],"[0.9858026831693897, 0.12401300185056094, -0.11231304581613227, -0.12401300185056094]",[0.594],"[-0.20274306997899588, -0.07567833546155206, 5.38728773014166]","[516.1491088867188, 516.1491088867188, 516.1491088867188, 516.1491088867188]"
4,0.06,"[6.665564433205873e-05, 0.0009321605321019888, -0.8490955233573914]","[0.2999550020249566, 0.299820032397223, -10.12]","[0.006741984747350216, 0.02769809402525425, -0.1601460725069046]","[4.998104287783328, 4.992418604383131, -1.9999999999999574]","[0.9995672106742859, 0.02325429953634739, -0.01801939122378826, 4.364290816738503e-06]","[[0.9993506030869399, -0.0008467813870376376, -0.03602297976364672], [-0.0008293317802587677, 0.9989184751433074, -0.0464886246964542], [0.036023385717722144, 0.04648831012902153, 0.9982690783064354]]","[1.4120539426803589, -1.3010940551757812, 0.004049609415233135]",[1.0],"[0.9819018085816301, 0.13815426403702696, -0.12828271275856332, -0.13815426403702696]",[0.594],"[-0.4326169399848633, -0.29119912553652816, 3.4277501183131545]","[516.1491088867188, 516.1491088867188, 516.1491088867188, 516.1491088867188]"
5,0.07,"[0.00023457783390767872, 0.0014574377564713359, -0.8521313071250916]","[0.349928546043362, 0.3497142366876639, -10.14]","[0.01648304983973503, 0.04321477189660072, -0.24514982104301453]","[4.9973544018405365, 4.989420429044089, -2.000000000000135]","[0.9990782141685486, 0.032883170992136, -0.02759495936334133, -7.146456937334733e-06]","[[0.9984770364289605, -0.0018005396825992454, -0.05513951197545907], [-0.0018290991585442195, 0.997837394164659, -0.0657053209637637], [0.05513857198285626, 0.06570610978846929, 0.9963144307979068]]","[1.1912113428115845, -1.2386549711227417, 0.0064140865579247475]",[1.0],"[0.9778519167190373, 0.1510744351252583, -0.14315374593968838, -0.1510744351252583]",[0.594],"[-0.5443021545297491, -0.3383636167342218, 2.075607755263304]","[516.1491088867188, 516.1491088867188, 516.1491088867188, 516.1491088867188]"
6,0.08,"[0.0005834183539263904, 0.002251314464956522, -0.8564684391021729]","[0.3998933418663416, 0.39957346984586345, -10.16]","[0.030857382342219353, 0.06345623731613159, -0.33363157510757446]","[4.9964795822979635, 4.9859233158199565, -1.9999999999999574]","[0.9984310269355774, 0.042097058147192, -0.036924634128808975, -2.0876068447250873e-06]","[[0.9972731430704981, -0.00310466794654716, -0.07373356865927114], [-0.003113005271442817, 0.9964556757593241, -0.08406185487608869], [0.07373321713088163, 0.08406216321253165, 0.9937288188472547]]","[1.3023663759231567, -1.2591092586517334, 0.008722170256078243]",[1.0],"[0.9738109569063057, 0.162553318015595, -0.1567917157822827, -0.162553318015595]",[0.594],"[-0.5821895267769361, -0.32048474298816854, 0.9573503715272533]","[516.1491088867188, 516.1491088867188, 516.1491088867188, 516.1491088867188]"
7,0.09,"[0.001335339853540063, 0.003654662985354662, -0.8634073138237]","[0.44984814037660237, 0.4493927459900553, -10.18]","[0.05381125584244728, 0.09366735070943832, -0.43682989478111267]","[4.995479851026074, 4.981927614419185, -1.9999999999999574]","[0.9973132014274597, 0.054706718772649765, -0.04871984198689461, 6.179793854244053e-05]","[[0.9952527467051736, -0.00545386878667179, -0.09717111448915977], [-0.0052073412051092, 0.9940143426450893, -0.10912547921280699], [0.09718463753794218, 0.10911343607049026, 0.9892671046262025]]","[1.4869184494018555, -1.3898175954818726, 0.012355170212686062]",[1.0],"[0.9703124552901997, 0.171135342386895, -0.16830128286935842, -0.171135342386895]",[0.594],"[-0.5520968796324803, -0.24349600650266878, -0.2914421523022952]","[516.1491088867188, 516.1491088867188, 516.1491088867188, 516.1491088867188]"
8,0.1,"[0.002320239320397377, 0.00528590427711606, -0.8706163763999939]","[0.49979169270678325, 0.4991670832341407, -10.2]","[0.07846680283546448, 0.12484464794397354, -0.5246861577033997]","[4.994355233018088, 4.977433724408542, -1.9999999999999574]","[0.9960496425628662, 0.0658707544207573, -0.05954977497458458, 0.00011873494077008218]","[[0.992907620664101, -0.008081708701686069, -0.11861341750246787], [-0.007608645137714432, 0.9913220595451575, -0.13123521927560264], [0.1186447021418234, 0.13120693672061803, 0.9842297366012012]]","[1.4538172483444214, -1.4721128940582275, 0.016307277604937553]",[1.0],"[0.9667535841314363, 0.17922080237368998, -0.17933791527012946, -0.17922080237368998]",[0.594],"[-0.5511303453866443, -0.21682179866550877, -0.8688172333266344]","[516.1491088867188, 516.1491088867188, 516.1491088867188, 516.1491088867188]"
9,0.11,"[0.00371448858641088, 0.007425922900438309, -0.8791444897651672]","[0.5497227502706772, 0.548891504185874, -10.22]","[0.10829412192106247, 0.16131210327148438, -0.6115745902061462]","[4.993105756389393, 4.9724420951733235, -2.000000000000135]","[0.9945932030677795, 0.07624246180057526, -0.07050838321447372, 0.0001516983611509204]","[[0.990057089844597, -0.011053221660579622, -0.1402311846180075], [-0.010449709029549283, 0.988374128101746, -0.15168185943055695], [0.14027744804367293, 0.15163907540616162, 0.9784313099959133]]","[1.329285740852356, -1.4447708129882812, 0.02070118859410286]",[1.0],"[0.9635654291121253, 0.18566526839154773, -0.18905822750248374, -0.18566526839154773]",[0.594],"[-0.512324522069626, -0.12820015475890711, -1.3102355509109724]","[516.1491088867188, 516.1491088867188, 516.1491088867188, 516.1491088867188]"
