idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[0.0, 0.0, -0.8457342982292175]","[0.09999833334166665, 0.09999333346666539, -10.04]","[0.0, 0.0, -0.013155952095985413]","[4.9998541674739565, 4.999416679583207, -1.9999999999999574]","[0.9999998807907104, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[1.0],"[0.9945032458286128, 0.08539248597833682, -0.06037008531133943, -0.08539248597833682]",[0.594],"[0.0, 0.0, 6.704973298323136]","[515.9203491210938, 515.9203491210938, 515.9203491210938, 515.9203491210938]"
1,0.03,"[0.0, 0.0, -0.8568660616874695]","[0.1499943750632809, 0.14997750101247828, -10.06]","[0.0, 0.0, -0.008190780878067017]","[4.999604172161424, 4.998416754581289, -2.000000000000135]","[0.9999998807907104, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[1.0],"[0.9915894439722245, 0.10298518441806358, -0.07796701887897707, -0.10298518441806358]",[0.594],"[0.0, 0.0, 6.829806347012482]","[515.9203491210938, 515.9203491210938, 515.9203491210938, 515.9203491210938]"
2,0.04,"[1.6527359036899725e-08, 2.7932983925893495e-08, -0.8570505380630493]","[0.1999866669333308, 0.1999466709331708, -10.08]","[1.590526881045662e-05, 2.6507335860515013e-05, -0.01563749834895134]","[4.999229187004992, 4.996916992069253, -1.9999999999999574]","[0.9999989867210388, 0.0012362325796857476, -0.0007561956881545484, 1.642480640384747e-08]","[[0.999998856336246, -1.9025169322284092e-06, -0.001512389691994739], [-1.8368177780165733e-06, 0.9999969434582421, -0.002472462497075541], [0.0015123897732142561, 0.0024724624473940735, 0.9999957997944892]]","[0.5719488263130188, -0.3547918200492859, 3.159247353323735e-05]",[1.0],"[0.9880519819358341, 0.12045068683970388, -0.09544387279708567, -0.12045068683970388]",[0.594],"[-0.024577601908060034, -0.04016689074188737, 6.611251275001074]","[515.9203491210938, 515.9203491210938, 515.9203491210938, 515.9203491210938]"
3,0.05,"[3.52295455741114e-06, 5.712748134101275e-06, -0.8574338555335999]","[0.24997395914712334, 0.24989584635339168, -10.1]","[0.0007463300717063248, 0.0011996959801763296, -0.0421304926276207]","[4.998729221379253, 4.994917542022087, -1.9999999999999574]","[0.9999384880065918, 0.009370442479848862, -0.0059417253360152245, 1.9636347587947967e-06]","[[0.9999293917986417, -0.00011528020865713573, -0.011882681838374135], [-0.00010742615347005124, 0.9998243896233976, -0.018739753835681494], [0.011882755438873812, 0.018739707166172064, 0.9997537814374627]]","[1.5112433433532715, -0.9949469566345215, 0.0009697244386188686]",[1.0],"[0.9839563397403653, 0.13747344806552075, -0.11262055442554084, -0.13747344806552075]",[0.594],"[-0.17758743677875552, -0.2795056601579652, 5.964994900658349]","[515.9203491210938, 515.9203491210938, 515.9203491210938, 515.9203491210938]"
4,0.06,"[5.2023911848664284e-05, 8.167178748408332e-05, -0.8588773608207703]","[0.2999550020249566, 0.299820032397223, -10.12]","[0.00575774721801281, 0.008849777281284332, -0.12663733959197998]","[4.998104287783328, 4.992418604383131, -1.9999999999999574]","[0.9995498061180115, 0.0247025266289711, -0.017028801143169403, 6.0682395996991545e-06]","[[0.9994200397953111, -0.0008534398344321001, -0.0340419696255622], [-0.0008291778038093528, 0.998779570294649, -0.04938301758910634], [0.03404256922895751, 0.04938260424972867, 0.9981996102372542]]","[1.6894910335540771, -1.3629204034805298, 0.004325366113334894]",[1.0],"[0.9796639406297769, 0.1526297571305197, -0.1286885431103664, -0.1526297571305197]",[0.594],"[-0.4222897606093028, -0.6008521451076747, 4.000438370220852]","[515.9203491210938, 515.9203491210938, 515.9203491210938, 515.9203491210938]"
5,0.07,"[0.00020136189414188266, 0.0003045509511139244, -0.8613944053649902]","[0.349928546043362, 0.3497142366876639, -10.14]","[0.01506931334733963, 0.02195044420659542, -0.210176482796669]","[4.9973544018405365, 4.989420429044089, -2.000000000000135]","[0.9989697337150574, 0.03628617897629738, -0.027255356311798096, -8.384497959923465e-06]","[[0.9985142910683034, -0.001961233617354455, -0.054455156735259136], [-0.001994737053780573, 0.9973666264748144, -0.07249712696606764], [0.05445393976977014, 0.07249804105592106, 0.9958809178243171]]","[1.4204949140548706, -1.3418214321136475, 0.007326176855713129]",[1.0],"[0.975274445347435, 0.1661629518744778, -0.1436341296509152, -0.1661629518744778]",[0.594],"[-0.560556817648504, -0.7072934764990657, 2.534872698984099]","[515.9203491210938, 515.9203491210938, 515.9203491210938, 515.9203491210938]"
6,0.08,"[0.0005305125378072262, 0.0007698294357396662, -0.8652491569519043]","[0.3998933418663416, 0.39957346984586345, -10.16]","[0.029646139591932297, 0.04095106199383736, -0.3031747341156006]","[4.9964795822979635, 4.9859233158199565, -1.9999999999999574]","[0.9982119202613831, 0.0468025840818882, -0.03718230873346329, -1.5998564776964486e-05]","[[0.9972349514441626, -0.0034485161939562347, -0.07423314188567469], [-0.0035123960234173667, 0.9956190359272269, -0.09343660082384218], [0.07423014678911373, 0.09343898027803689, 0.9928539883952057]]","[1.4312721490859985, -1.308211088180542, 0.01012106891721487]",[1.0],"[0.9709715743917, 0.17795473420571298, -0.15721357376199613, -0.17795473420571298]",[0.594],"[-0.6059819223245312, -0.6987267818705478, 1.1785896768491142]","[515.9203491210938, 515.9203491210938, 515.9203491210938, 515.9203491210938]"
7,0.09,"[0.001262384350411594, 0.0017551907803863287, -0.8716400861740112]","[0.44984814037660237, 0.4493927459900553, -10.18]","[0.052889563143253326, 0.06991146504878998, -0.4071367383003235]","[4.995479851026074, 4.981927614419185, -1.9999999999999574]","[0.9969479441642761, 0.06057296693325043, -0.04925176501274109, 4.133806214667857e-05]","[[0.9951485239935733, -0.006049074703350362, -0.09819788128389415], [-0.005884227123305729, 0.9926618281251832, -0.12078025854555263], [0.09820789715992209, 0.12077211465567073, 0.9878103589540979]]","[1.618422269821167, -1.395551085472107, 0.014180198311805725]",[1.0],"[0.967245615688807, 0.18687580201282125, -0.1686752133125472, -0.18687580201282125]",[0.594],"[-0.573412672860254, -0.6346761831406145, -0.15824142007404873]","[515.9203491210938, 515.9203491210938, 515.9203491210938, 515.9203491210938]"
8,0.1,"[0.0020105792209506035, 0.002733649220317602, -0.8769485950469971]","[0.49979169270678325, 0.4991670832341407, -10.2]","[0.07246711850166321, 0.09392459690570831, -0.4780244529247284]","[4.994355233018088, 4.977433724408542, -1.9999999999999574]","[0.9958446621894836, 0.0703328549861908, -0.05785112455487251, 9.559411410009488e-05]","[[0.9933064769237233, -0.008328062756303763, -0.1152080130551158], [-0.007947275227412356, 0.990106561370275, -0.14009224799391887], [0.11523490668126748, 0.1400701270873164, 0.9834130748469346]]","[1.6170505285263062, -1.4672176837921143, 0.01759052649140358]",[1.0],"[0.9628867321394307, 0.19687209989692733, -0.18089384235129144, -0.19687209989692733]",[0.594],"[-0.6257765770759312, -0.6919131255762632, -0.33810280941758464]","[515.9203491210938, 515.9203491210938, 515.9203491210938, 515.9203491210938]"
9,0.11,"[0.00330946734175086, 0.004399471916258335, -0.8847827911376953]","[0.5497227502706772, 0.548891504185874, -10.22]","[0.10156897455453873, 0.1290811002254486, -0.5655426979064941]","[4.993105756389393, 4.9724420951733235, -2.000000000000135]","[0.9942411780357361, 0.08200976997613907, -0.06898501515388489, 0.0001357885921606794]","[[0.9904820991883275, -0.011584902820472052, -0.13715320344098564], [-0.01104487642068238, 0.9865487593648421, -0.16309370343622326], [0.1371977474025577, 0.16305623392661533, 0.9770309323073312]]","[1.5029648542404175, -1.4927806854248047, 0.0224202461540699]",[1.0],"[0.9594053972470797, 0.20365798837246982, -0.19084925824158386, -0.20365798837246982]",[0.594],"[-0.5777155818086683, -0.595791947289372, -0.9417630073313177]","[515.9203491210938, 515.9203491210938, 515.9203491210938, 515.9203491210938]"
