idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[5.424080827465727e-16, 0.0005208983202464879, -0.8443202972412109]","[0.09999833334166665, 0.09999333346666539, -10.04]","[1.129334120794287e-13, 0.03662026301026344, -0.013157397508621216]","[4.9998541674739565, 4.999416679583207, -1.9999999999999574]","[1.0, -3.6409976019058377e-05, 2.0829111920222642e-16, -7.044471776740391e-12]","[[1.0, 1.4088943519635514e-11, 9.2956033408825e-16], [-1.4088943549971012e-11, 0.9999999973486273, 7.281995194158034e-05], [9.639585838385889e-17, -7.281995194158034e-05, 0.9999999973486273]]","[-0.012080876156687737, 4.235677021798001e-14, -1.174053632091443e-09]",[1.0],"[0.9364493650341079, 0.24395071584148342, -0.24395071584866432, -0.24395071584148342]",[0.594],"[2.8536780516284384e-12, 0.484967217744972, 6.70502517057211]","[523.0052490234375, 523.2949829101562, 523.2949829101562, 523.0052490234375]"
1,0.03,"[1.54324979462217e-08, 0.4610530436038971, -0.8760551810264587]","[0.1499943750632809, 0.14997750101247828, -10.06]","[3.2424043894252463e-08, 0.6251922845840454, -0.04665157198905945]","[4.999604172161424, 4.998416754581289, -2.000000000000135]","[0.9978153705596924, -0.06606490164995193, 2.663784526291124e-09, -1.101063684671999e-09]","[[1.0, 1.8453510547972914e-09, 5.4614131524856705e-09], [-2.549281645979079e-09, 0.9912708582815503, 0.13184113744108344], [-5.17044652105204e-09, -0.13184113744108344, 0.9912708582815503]]","[-0.11138329654932022, 2.241599972307995e-08, 3.5642579998551582e-09]",[1.0],"[0.9364493650341079, 0.24395071519540976, -0.24395071649473798, -0.24395071519540976]",[0.594],"[9.051004571338098e-07, 17.331985957296396, 5.719093333786047]","[523.0052490234375, 523.2949829101562, 523.2949829101562, 523.0052490234375]"
2,0.04,"[1.6007943415274895e-08, 0.4722870886325836, -0.876863956451416]","[0.1999866669333308, 0.1999466709331708, -10.08]","[4.049463314004242e-06, 0.6237178444862366, -0.037479251623153687]","[4.999229187004992, 4.996916992069253, -1.9999999999999574]","[0.9977976679801941, -0.0663285180926323, -0.0005812247982248664, 3.891210144502111e-05]","[[0.9999993213271632, -5.492490673792674e-07, -0.0011650514630066546], [0.00015475636757477138, 0.991201052328274, 0.13236483639467425], [0.0011547275348858478, -0.1323649268613877, 0.9912003797120438]]","[0.36541613936424255, -0.38014835119247437, 1.006152160698548e-05]",[1.0],"[0.9364493649676345, 0.24399015162934726, -0.2439112747331896, -0.24399015162934726]",[0.594],"[-0.019139432129443093, 13.494809389310152, 6.160046130994198]","[523.0052490234375, 523.2949829101562, 523.2949829101562, 523.0052490234375]"
3,0.05,"[2.2516483113577124e-06, 0.4816531538963318, -0.8772348761558533]","[0.24997395914712334, 0.24989584635339168, -10.1]","[0.0005304578226059675, 0.6252884864807129, -0.012302765622735023]","[4.998729221379253, 4.994917542022087, -1.9999999999999574]","[0.9982638359069824, -0.05840372294187546, -0.007619153708219528, 0.0005150513607077301]","[[0.9998833664374661, -0.00013834040992178698, -0.01527201308311431], [0.0019182881828958298, 0.9931774797216549, 0.11659680074594281], [0.015151689414952848, -0.11661249776791813, 0.9930619072707402]]","[1.7718552350997925, -1.5308538675308228, 0.0012458277633413672]",[1.0],"[0.936449354818227, 0.24443922289782388, -0.24346139002068412, -0.24443922289782388]",[0.594],"[-0.23891348277983793, 10.431664996126067, 6.924018794024512]","[523.0052490234375, 523.2949829101562, 523.2949829101562, 523.0052490234375]"
4,0.06,"[3.051104795304127e-05, 0.49104344844818115, -0.8773813247680664]","[0.2999550020249566, 0.299820032397223, -10.12]","[0.00428368616849184, 0.626464307308197, -0.018298940733075142]","[4.998104287783328, 4.992418604383131, -1.9999999999999574]","[0.998902440071106, -0.04073235020041466, -0.023073090240359306, 0.0015803115675225854]","[[0.9989302703233911, -0.0012775116834400438, -0.04622426846944694], [0.005036796172716924, 0.9966767567709564, 0.08130235664999105], [0.04596678927172679, -0.08144820732481786, 0.9956170166322099]]","[2.792543888092041, -2.5166943073272705, 0.007154242135584354]",[1.0],"[0.9364492944728368, 0.24523283223734924, -0.24266294402010488, -0.24523283223734924]",[0.594],"[-0.6591099479554172, 7.740519676587989, 6.731711029651127]","[523.0052490234375, 523.2949829101562, 523.2949829101562, 523.0052490234375]"
5,0.07,"[0.00023043072724249214, 0.5023441314697266, -0.878390908241272]","[0.349928546043362, 0.3497142366876639, -10.14]","[0.020352620631456375, 0.6311326622962952, -0.09860196709632874]","[4.9973544018405365, 4.989420429044089, -2.000000000000135]","[0.9987429976463318, -0.01496257446706295, -0.04772546514868736, 0.0032804664224386215]","[[0.9954230367374151, -0.005124494415028855, -0.09542912285803136], [0.007980877904412887, 0.9995307197804532, 0.02957441128820966], [0.09523278595283118, -0.03020065847228611, 0.9949968023604411]]","[2.706207752227783, -2.7821412086486816, 0.018095066770911217]",[1.0],"[0.9364491866401757, 0.24598670951145332, -0.24190042330543612, -0.24598670951145332]",[0.594],"[-1.0940903511136297, 5.3956111278355365, 4.678365181816048]","[523.0052490234375, 523.2949829101562, 523.2949829101562, 523.0052490234375]"
6,0.08,"[0.0006984794163145125, 0.5119023323059082, -0.8803901672363281]","[0.3998933418663416, 0.39957346984586345, -10.16]","[0.04391545057296753, 0.6447725892066956, -0.17029090225696564]","[4.9964795822979635, 4.9859233158199565, -1.9999999999999574]","[0.9977021217346191, 0.003792672883719206, -0.06748782843351364, 0.0046289530582726]","[[0.9908479310855177, -0.009748551651799314, -0.13463039480088226], [0.008724714565174232, 0.9999283768478283, -0.008192712018839796], [0.1347006192239125, 0.006943119987412451, 0.9908620167639564]]","[2.3410379886627197, -2.5043184757232666, 0.024419307708740234]",[1.0],"[0.9364491498693911, 0.2461859585313089, -0.24169822668164315, -0.2461859585313089]",[0.594],"[-1.2704305351247693, 3.881379948447138, 3.2969591498632305]","[523.0052490234375, 523.2949829101562, 523.2949829101562, 523.0052490234375]"
7,0.09,"[0.0015926776686683297, 0.5217264890670776, -0.8835285902023315]","[0.44984814037660237, 0.4493927459900553, -10.18]","[0.07660280168056488, 0.6664913892745972, -0.24685440957546234]","[4.995479851026074, 4.981927614419185, -1.9999999999999574]","[0.9961187243461609, 0.021347660571336746, -0.08518513292074203, 0.005946847144514322]","[[0.9854162578438954, -0.015484536525512717, -0.16945509111715554], [0.00821052409396111, 0.9990178248998925, -0.04354277008172675], [0.16996289615982632, 0.04151643844163052, 0.9845755426924266]]","[2.400996208190918, -2.265443801879883, 0.02820170670747757]",[1.0],"[0.9364491723738585, 0.24606626755262617, -0.24181972166609278, -0.24606626755262617]",[0.594],"[-1.2635606810970559, 2.833918612716403, 2.087529202277919]","[523.0052490234375, 523.2949829101562, 523.2949829101562, 523.0052490234375]"
8,0.1,"[0.0030321385711431503, 0.5319357514381409, -0.8877823352813721]","[0.49979169270678325, 0.4991670832341407, -10.2]","[0.11681655794382095, 0.69627845287323, -0.3210553228855133]","[4.994355233018088, 4.977433724408542, -1.9999999999999574]","[0.9940293431282043, 0.040085550397634506, -0.1012108102440834, 0.007426320109516382]","[[0.9794024425914593, -0.022878143078093646, -0.20061766127432934], [0.0066497783657911026, 0.9966759967205329, -0.08119567727914014], [0.2018084138324493, 0.07818918167132007, 0.9762990402412574]]","[2.573188304901123, -2.0616297721862793, 0.03149450197815895]",[1.0],"[0.9364492370954142, 0.2456758276093548, -0.24221534961080962, -0.2456758276093548]",[0.594],"[-1.1533248736397197, 2.0677308511862367, 1.1824816647548175]","[523.0052490234375, 523.2949829101562, 523.2949829101562, 523.0052490234375]"
9,0.11,"[0.005652126856148243, 0.5448796153068542, -0.8944244384765625]","[0.5497227502706772, 0.548891504185874, -10.22]","[0.17632032930850983, 0.7443302273750305, -0.41802626848220825]","[4.993105756389393, 4.9724420951733235, -2.000000000000135]","[0.990916907787323, 0.06315640360116959, -0.11835195869207382, 0.009369073435664177]","[[0.9718100690995866, -0.03351731418898056, -0.2333704763808265], [0.0036185783604048977, 0.9918469784175034, -0.1273831907855912], [0.23573734427813162, 0.12294779808368218, 0.9640081656599532]]","[2.525977849960327, -1.8176836967468262, 0.03494799882173538]",[1.0],"[0.9364493265526823, 0.24489808221141618, -0.2430002652685706, -0.24489808221141618]",[0.594],"[-0.7415933255876226, 1.6559127040212243, -0.16802727428388842]","[523.0052490234375, 523.2949829101562, 523.2949829101562, 523.0052490234375]"
