idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[-6.222805632853542e-17, 0.0002846909628715366, -0.8442440032958984]","[0.09999833334166665, 0.09999333346666539, -10.04]","[-6.223207814684811e-15, 0.018243592232465744, -0.01315514650195837]","[4.9998541674739565, 4.999416679583207, -1.9999999999999574]","[1.0, -2.552394289523363e-05, 8.965590629419328e-18, -1.1740785210365146e-12]","[[1.0, 2.3481570400855964e-12, 7.786540745902426e-17], [-2.3481570410009453e-12, 0.9999999986970567, 5.1047885757211e-05], [4.200304496471025e-17, -5.1047885757211e-05, 0.9999999986970567]]","[-0.0071561019867658615, 1.4581699292037092e-14, -3.913512014452891e-10]",[1.0],"[0.9364493650341079, 0.24395071584447545, -0.24395071584567227, -0.24395071584447545]",[0.594],"[-1.5512031261703637e-13, 0.22215192960467758, 6.704940671286678]","[516.5419311523438, 516.6800537109375, 516.6800537109375, 516.5419311523438]"
1,0.03,"[4.43392034199519e-09, 0.23107729852199554, -0.8612497448921204]","[0.1499943750632809, 0.14997750101247828, -10.06]","[1.986618336502488e-08, 0.3034023344516754, -0.018509428948163986]","[4.999604172161424, 4.998416754581289, -2.000000000000135]","[0.9994603395462036, -0.03284968435764313, -2.450334379844321e-09, 7.116414124652692e-10]","[[1.0, -1.2615292226368387e-09, -4.944778097652306e-09], [1.5835000432208074e-09, 0.9978417966307874, 0.06566390863055761], [4.8512693212919405e-09, -0.06566390863055761, 0.9978417966307874]]","[-0.05396879464387894, -1.1201457539300463e-08, -2.3813553351459404e-09]",[1.0],"[0.9364493650341079, 0.2439507162486162, -0.24395071544153157, -0.2439507162486162]",[0.594],"[4.1762792553309247e-07, 8.416958158832536, 6.5347827219496]","[516.5419311523438, 516.6800537109375, 516.6800537109375, 516.5419311523438]"
2,0.04,"[4.675722475866451e-09, 0.2347141057252884, -0.8614646792411804]","[0.1999866669333308, 0.1999466709331708, -10.08]","[2.042268221202903e-08, 0.30290818214416504, -0.014616649597883224]","[4.999229187004992, 4.996916992069253, -1.9999999999999574]","[0.9994564056396484, -0.032968275249004364, -0.0001659069093875587, 5.493653588928282e-06]","[[0.9999999448894367, -4.200522909459494e-08, -0.0003319956654432449], [2.1920662938682574e-05, 0.9978261856840697, 0.06590070320311588], [0.000331271200338742, -0.06590070684885609, 0.9978261306942272]]","[0.18665297329425812, -0.19635961949825287, 1.2522334600362228e-06]",[1.0],"[0.9364493650327743, 0.24395630209770638, -0.24394512948555006, -0.24395630209770638]",[0.594],"[-0.0054825709248293745, 6.565589003101408, 6.6662203782327545]","[516.5419311523438, 516.6800537109375, 516.6800537109375, 516.5419311523438]"
3,0.05,"[1.1202652103747823e-06, 0.23926350474357605, -0.8615323901176453]","[0.24997395914712334, 0.24989584635339168, -10.1]","[0.00031731935450807214, 0.3039405643939972, 0.006444412283599377]","[4.998729221379253, 4.994917542022087, -1.9999999999999574]","[0.9996259212493896, -0.026775263249874115, -0.005575822200626135, 0.00018685909162741154]","[[0.9999377505822948, -7.499016707155211e-05, -0.011157478966823418], [0.0006721665830391251, 0.9985661007545124, 0.0535284094291417], [0.011137466161785181, -0.05353257700133652, 0.9985039910020846]]","[1.5280652046203613, -1.3067224025726318, 0.0007699649431742728]",[1.0],"[0.9364493637799346, 0.24412197248664338, -0.24377935868577846, -0.24412197248664338]",[0.594],"[-0.17629257338898263, 5.010627525633805, 7.207498816925547]","[516.5419311523438, 516.6800537109375, 516.6800537109375, 516.5419311523438]"
4,0.06,"[2.081657112285029e-05, 0.24384145438671112, -0.8613611459732056]","[0.2999550020249566, 0.299820032397223, -10.12]","[0.0031438516452908516, 0.3068491220474243, 0.007501167245209217]","[4.998104287783328, 4.992418604383131, -1.9999999999999574]","[0.9997513294219971, -0.010555016808211803, -0.01963169313967228, 0.0006731535540893674]","[[0.9992282869663905, -0.0009315466325264325, -0.03926783349109195], [0.0017603980487365988, 0.9997762769657141, 0.021078354188259204], [0.03923941290237022, -0.021131214765060916, 0.9990063764749604]]","[2.6729414463043213, -2.376539945602417, 0.005815698299556971]",[1.0],"[0.9364493564194187, 0.244399339693078, -0.2435014015565789, -0.244399339693078]",[0.594],"[-0.5715051393885688, 3.510682843585597, 7.109891685288595]","[516.5419311523438, 516.6800537109375, 516.6800537109375, 516.5419311523438]"
5,0.07,"[0.0001809275127016008, 0.24944214522838593, -0.861819863319397]","[0.349928546043362, 0.3497142366876639, -10.14]","[0.017176365479826927, 0.3176206946372986, -0.06761129200458527]","[4.9973544018405365, 4.989420429044089, -2.000000000000135]","[0.9989210367202759, 0.01514909416437149, -0.04387465491890907, 0.0015229886630550027]","[[0.9961453904670864, -0.004372013222087199, -0.08760848447246324], [0.0017133682065897469, 0.9995363709204462, -0.030399137760351334], [0.08770077206367448, 0.0301318553622253, 0.9956910393650559]]","[2.781759738922119, -2.811113119125366, 0.01751270703971386]",[1.0],"[0.9364493568229687, 0.2443887138678813, -0.24351205972517434, -0.2443887138678813]",[0.594],"[-1.0365372685918395, 2.13640271822887, 5.061509740752996]","[516.5419311523438, 516.6800537109375, 516.6800537109375, 516.5419311523438]"
6,0.08,"[0.0004797876172233373, 0.2533343732357025, -0.8629561066627502]","[0.3998933418663416, 0.39957346984586345, -10.16]","[0.03371806442737579, 0.33215197920799255, -0.12169237434864044]","[4.9964795822979635, 4.9859233158199565, -1.9999999999999574]","[0.9977094531059265, 0.030788268893957138, -0.060196273028850555, 0.0020856226328760386]","[[0.9927441178662497, -0.007868368823806975, -0.11998835449331821], [0.00045501274681225426, 0.9980954653752558, -0.06168658655454705], [0.12024520533211247, 0.061184399722510385, 0.9908569825283738]]","[2.4426631927490234, -2.617096185684204, 0.024603983387351036]",[1.0],"[0.9364493644510358, 0.2440674963400959, -0.2438338886188132, -0.2440674963400959]",[0.594],"[-1.2586846977676818, 1.321782194904974, 4.017675592902519]","[516.5419311523438, 516.6800537109375, 516.6800537109375, 516.5419311523438]"
7,0.09,"[0.0013973723398521543, 0.2595897316932678, -0.8659743070602417]","[0.44984814037660237, 0.4493927459900553, -10.18]","[0.07057615369558334, 0.3650306165218353, -0.21490637958049774]","[4.995479851026074, 4.981927614419185, -1.9999999999999574]","[0.9952611327171326, 0.05189025029540062, -0.0821833685040474, 0.0029415604658424854]","[[0.9864744833980603, -0.014384271586594357, -0.1632825353044626], [-0.0026737893094174745, 0.9945974987205437, -0.10377218504766508], [0.16389308849142734, 0.102805195733295, 0.9811065932277594]]","[2.370192766189575, -2.3183367252349854, 0.03261690214276314]",[1.0],"[0.9364493446436796, 0.2432591650512847, -0.24464063240042946, -0.2432591650512847]",[0.594],"[-1.229044763985402, 0.8648191942908228, 2.1514092108120852]","[516.5419311523438, 516.6800537109375, 516.6800537109375, 516.5419311523438]"
8,0.1,"[0.0030876407399773598, 0.26654568314552307, -0.8706769943237305]","[0.49979169270678325, 0.4991670832341407, -10.2]","[0.11942365020513535, 0.4101700782775879, -0.3085971176624298]","[4.994355233018088, 4.977433724408542, -1.9999999999999574]","[0.9920270442962646, 0.07413990050554276, -0.10182847082614899, 0.004088903311640024]","[[0.9792284896656144, -0.02321170751999991, -0.2014268642986972], [-0.006986499093466882, 0.9889731135678802, -0.14793028584529164], [0.20263946767008836, 0.14626481898891028, 0.9682684797454292]]","[2.5559885501861572, -2.0880300998687744, 0.04056660085916519]",[1.0],"[0.9364492237617967, 0.2421268836707758, -0.24576322476892404, -0.2421268836707758]",[0.594],"[-1.0001785072976284, 0.6219388336192773, 0.6507398518778622]","[516.5419311523438, 516.6800537109375, 516.6800537109375, 516.5419311523438]"
9,0.11,"[0.0052328226156532764, 0.2730398178100586, -0.8758702278137207]","[0.5497227502706772, 0.548891504185874, -10.22]","[0.1673046052455902, 0.4568588435649872, -0.38111603260040283]","[4.993105756389393, 4.9724420951733235, -2.000000000000135]","[0.9888530373573303, 0.09248755127191544, -0.1165710911154747, 0.005189584102481604]","[[0.9727684986202428, -0.03182622065592579, -0.22958340482464965], [-0.011299277215042158, 0.9828382426284843, -0.1841230978486141], [0.23150329247450516, 0.18170327599059136, 0.9557144683783702]]","[2.300899028778076, -1.8983533382415771, 0.04740056023001671]",[1.0],"[0.9364489906519198, 0.24097578790542667, -0.24689563299339537, -0.24097578790542667]",[0.594],"[-0.8465006704454807, 0.42729967799931723, 0.010740491735521829]","[516.5419311523438, 516.6800537109375, 516.6800537109375, 516.5419311523438]"
