idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[5.593391993361123e-17, 7.152245962060988e-05, -0.8442061543464661]","[0.09999833334166665, 0.09999333346666539, -10.04]","[1.3668310630727838e-14, 0.005031069740653038, -0.013155031017959118]","[4.9998541674739565, 4.999416679583207, -1.9999999999999574]","[1.0, -4.993149104848271e-06, 2.895428936339381e-17, -9.392629035653854e-12]","[[1.0, 1.8785258070550218e-11, 1.5170617324609917e-16], [-1.8785258071128508e-11, 0.9999999999501369, 9.986298209447569e-06], [3.588901579541148e-17, -9.986298209447569e-06, 0.9999999999501369]]","[-0.001657882472500205, 1.0408393371903572e-14, -1.174053632091443e-09]",[1.0],"[0.9364493650341079, 0.24395071584028657, -0.24395071584986117, -0.24395071584028657]",[0.594],"[3.4602756455276597e-13, 0.06668045143237226, 6.704943032650412]","[515.8732299804688, 515.9112548828125, 515.9112548828125, 515.8732299804688]"
1,0.03,"[-3.4724016995113516e-09, 0.0643836036324501, -0.8557260036468506]","[0.1499943750632809, 0.14997750101247828, -10.06]","[-2.2045909986445622e-08, 0.09143926948308945, -0.0093398317694664]","[4.999604172161424, 4.998416754581289, -2.000000000000135]","[0.9999560117721558, -0.009385582990944386, 4.239937290151374e-09, 3.572207807334138e-10]","[[1.0, -7.939986100450304e-10, 8.472795143696734e-09], [6.348214950418035e-10, 0.9998238216840386, 0.018770338119593027], [-8.486206043293863e-09, -0.01877033811959302, 0.9998238216840385]]","[-0.017215412110090256, 1.1108534536674597e-08, 1.3322534186954726e-08]",[1.0],"[0.9364493650341079, 0.24395071600685309, -0.24395071568329468, -0.24395071600685309]",[0.594],"[-4.14144741622488e-07, 2.5314682533282684, 6.797972129039852]","[515.8732299804688, 515.9112548828125, 515.9112548828125, 515.8732299804688]"
2,0.04,"[1.3696461564904894e-07, 0.06657588481903076, -0.855858325958252]","[0.1999866669333308, 0.1999466709331708, -10.08]","[7.166789873735979e-05, 0.09145611524581909, 0.006371739320456982]","[4.999229187004992, 4.996916992069253, -1.9999999999999574]","[0.9999747276306152, -0.006697888020426035, -0.002401742385700345, 2.3075786884874105e-05]","[[0.9999884622030396, -1.3977203094396923e-05, -0.00480367207850103], [7.832360374157789e-05, 0.9999102755349092, 0.013395325494927229], [0.004803053842408356, -0.01339554718328983, 0.9998987398679164]]","[0.9847068786621094, -0.8331872820854187, 0.00019087563850916922]",[1.0],"[0.9364493650170806, 0.24397067553835866, -0.24393075478711088, -0.24397067553835866]",[0.594],"[-0.07753202219821735, 1.8848053558871305, 7.170024529391238]","[515.8732299804688, 515.9112548828125, 515.9112548828125, 515.8732299804688]"
3,0.05,"[7.967695637489669e-06, 0.06795665621757507, -0.8556156158447266]","[0.24997395914712334, 0.24989584635339168, -10.1]","[0.0014556382084265351, 0.09312887489795685, 0.021559976041316986]","[4.998729221379253, 4.994917542022087, -1.9999999999999574]","[0.999896228313446, 0.0059009878896176815, -0.013140950351953506, 0.00013401947217062116]","[[0.9996545949223526, -0.0004231003108157084, -0.02627759191315152], [0.00011292195266760817, 0.9999303207608294, -0.011804273454027377], [0.02628075530230713, 0.01179722888104818, 0.9995849875280582]]","[2.3158719539642334, -2.0070862770080566, 0.003192950040102005]",[1.0],"[0.9364493649986914, 0.2439795016246494, -0.2439219272269802, -0.2439795016246494]",[0.594],"[-0.3978468228660061, 1.0925680592600238, 7.429309146541353]","[515.8732299804688, 515.9112548828125, 515.9112548828125, 515.8732299804688]"
4,0.06,"[9.886421321425587e-05, 0.06969960778951645, -0.8555423021316528]","[0.2999550020249566, 0.299820032397223, -10.12]","[0.011040259152650833, 0.10290581732988358, -0.030466530472040176]","[4.998104287783328, 4.992418604383131, -1.9999999999999574]","[0.9988975524902344, 0.030578142032027245, -0.035616468638181686, 0.00038747742655687034]","[[0.9974626341122499, -0.0029522713023530894, -0.07113070816468231], [-0.0014040703306577016, 0.998129654231076, -0.06111646202995627], [0.07117810152257834, 0.06106125972095419, 0.9955928888983346]]","[2.8956990242004395, -2.802356004714966, 0.013942908495664597]",[1.0],"[0.9364493595344869, 0.24359176952520098, -0.24430922138811886, -0.24359176952520098]",[0.594],"[-0.9067958944936892, 0.20030273511621277, 5.872086941987844]","[515.8732299804688, 515.9112548828125, 515.9112548828125, 515.8732299804688]"
5,0.07,"[0.00038942438550293446, 0.07137072086334229, -0.8565303087234497]","[0.349928546043362, 0.3497142366876639, -10.14]","[0.0291884932667017, 0.12140952795743942, -0.0991901084780693]","[4.9973544018405365, 4.989420429044089, -2.000000000000135]","[0.9971036911010742, 0.05098480358719826, -0.05643041431903839, 0.0006154982838779688]","[[0.9936304589491637, -0.006981618461568817, -0.11247118765324497], [-0.00452675599782439, 0.994800341885891, -0.10174373820462171], [0.11259671189075872, 0.10160480691075358, 0.9884323161876174]]","[2.5146231651306152, -2.6751163005828857, 0.024363549426198006]",[1.0],"[0.9364493074296157, 0.24278741788588454, -0.24510939687610672, -0.24278741788588454]",[0.594],"[-1.2007656021607693, -0.3096322117440895, 4.217696312962342]","[515.8732299804688, 515.9112548828125, 515.9112548828125, 515.8732299804688]"
6,0.08,"[0.0010221132542937994, 0.07338718324899673, -0.8585544228553772]","[0.3998933418663416, 0.39957346984586345, -10.16]","[0.057180605828762054, 0.1493149846792221, -0.17404453456401825]","[4.9964795822979635, 4.9859233158199565, -1.9999999999999574]","[0.9947845935821533, 0.06874634325504303, -0.07534480839967728, 0.0008698193123564124]","[[0.9886448070236711, -0.012089925290827138, -0.14978410880861256], [-0.008628794038856559, 0.9905463678235423, -0.13690667297477715], [0.15002329638613818, 0.13664452750860462, 0.9791942011896246]]","[2.320251941680908, -2.407228946685791, 0.032939523458480835]",[1.0],"[0.9364491536348251, 0.24171809973950587, -0.246166387321302, -0.24171809973950587]",[0.594],"[-1.278525631844656, -0.5335025034934868, 2.760981992823167]","[515.8732299804688, 515.9112548828125, 515.9112548828125, 515.8732299804688]"
7,0.09,"[0.002151965629309416, 0.0758948102593422, -0.8617895245552063]","[0.44984814037660237, 0.4493927459900553, -10.18]","[0.09491033852100372, 0.18646590411663055, -0.2568405270576477]","[4.995479851026074, 4.981927614419185, -1.9999999999999574]","[0.9919764399528503, 0.08610375225543976, -0.09255984425544739, 0.0012761162361130118]","[[0.9828620946625917, -0.018471253044715932, -0.18341460052684103], [-0.013407744419573799, 0.9851690317407062, -0.1710620100684508], [0.18385411408244848, 0.17058954161975298, 0.968037640293455]]","[2.3185858726501465, -2.2200138568878174, 0.04131285473704338]",[1.0],"[0.9364488487191395, 0.2404539363195739, -0.24740610433032506, -0.2404539363195739]",[0.594],"[-1.1860685934076973, -0.5980547591764238, 1.4007584160315343]","[515.8732299804688, 515.9112548828125, 515.9112548828125, 515.8732299804688]"
8,0.1,"[0.003897363319993019, 0.07901092618703842, -0.8661999702453613]","[0.49979169270678325, 0.4991670832341407, -10.2]","[0.13868916034698486, 0.22997993230819702, -0.32872071862220764]","[4.994355233018088, 4.977433724408542, -1.9999999999999574]","[0.9887968301773071, 0.1025872603058815, -0.10841388255357742, 0.0017776129534468055]","[[0.9764865414331506, -0.025759161272472915, -0.21403387584787256], [-0.01872836938961188, 0.978945389223681, -0.20326134186731631], [0.21476331758456804, 0.20249047021584626, 0.9554445702874843]]","[2.0792086124420166, -2.0441904067993164, 0.0499039962887764]",[1.0],"[0.9364483448043084, 0.2390230864536105, -0.24879653759114426, -0.2390230864536105]",[0.594],"[-1.0546780844380366, -0.5959260832087017, 0.5867084932246946]","[515.8732299804688, 515.9112548828125, 515.9112548828125, 515.8732299804688]"
9,0.11,"[0.006919184233993292, 0.08367595076560974, -0.8728083968162537]","[0.5497227502706772, 0.548891504185874, -10.22]","[0.19873970746994019, 0.28999578952789307, -0.40523457527160645]","[4.993105756389393, 4.9724420951733235, -2.000000000000135]","[0.984886884689331, 0.11921599507331848, -0.1256193220615387, 0.002304384019225836]","[[0.9684289563204006, -0.034490774865617975, -0.2468921687890261], [-0.025412545866701094, 0.9715644770272474, -0.23540745419664214], [0.24799104635601765, 0.2342495537411771, 0.9400146740872224]]","[1.689311146736145, -1.8253778219223022, 0.060056813061237335]",[1.0],"[0.9364474564422961, 0.23718935275549144, -0.25055897269646504, -0.23718935275549144]",[0.594],"[-0.7114260073593197, -0.31236737344812804, -0.23832587425394536]","[515.8732299804688, 515.9112548828125, 515.9112548828125, 515.8732299804688]"
