idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[0.0, 0.0, -0.8443595170974731]","[0.09999833334166665, 0.09999333346666539, -10.04]","[0.0, 0.0, -0.013150607235729694]","[4.9998541674739565, 4.999416679583207, -1.9999999999999574]","[0.9999998807907104, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[1.0],"[0.936449365034108, 0.24395071584507388, -0.24395071584507388, -0.24395071584507388]",[0.594],"[0.0, 0.0, 6.705036707044361]","[516.0722045898438, 516.0722045898438, 516.0722045898438, 516.0722045898438]"
1,0.03,"[0.0, 0.0, -0.8647013306617737]","[0.1499943750632809, 0.14997750101247828, -10.06]","[0.0, 0.0, -0.0002911677001975477]","[4.999604172161424, 4.998416754581289, -2.000000000000135]","[0.9999998807907104, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[1.0],"[0.936449365034108, 0.24395071584507388, -0.24395071584507388, -0.24395071584507388]",[0.594],"[0.0, 0.0, 7.028258422200544]","[516.0722045898438, 516.0722045898438, 516.0722045898438, 516.0722045898438]"
2,0.04,"[4.573923604311858e-07, 5.471873123497062e-07, -0.8645655512809753]","[0.1999866669333308, 0.1999466709331708, -10.08]","[0.0001653324579820037, 0.00019776792032644153, 0.019797630608081818]","[4.999229187004992, 4.996916992069253, -1.9999999999999574]","[0.9999821186065674, 0.004590086173266172, -0.0038416311144828796, 6.316309395515418e-07]","[[0.9999704837418679, -3.6530072654812956e-05, -0.007683118547074265], [-3.4003594237466355e-05, 0.9999578622197662, -0.009180012452638678], [0.007683130144035285, 0.009180002746667023, 0.99992834596323]]","[1.2811530828475952, -1.076258659362793, 0.0004327103088144213]",[1.0],"[0.9364493650308986, 0.24394204991623297, -0.2439593815166916, -0.24394204991623297]",[0.594],"[-0.12273260903063263, -0.1466388466013992, 7.450755886102588]","[516.0722045898438, 516.0722045898438, 516.0722045898438, 516.0722045898438]"
3,0.05,"[1.3323922757990658e-05, 1.5888421330600977e-05, -0.8641510009765625]","[0.24997395914712334, 0.24989584635339168, -10.1]","[0.002199501032009721, 0.0026134445797652006, 0.028650054708123207]","[4.998729221379253, 4.994917542022087, -1.9999999999999574]","[0.9996817111968994, 0.019204476848244667, -0.016358662396669388, 1.282950415770756e-05]","[[0.9994647879687523, -0.0006539699860410861, -0.032706420376347876], [-0.0006026683003659999, 0.9992623757657249, -0.038397150544786], [0.03270740591206769, 0.038396311050628074, 0.9987271643928619]]","[2.5216898918151855, -2.212822437286377, 0.004535529296845198]",[1.0],"[0.9364493640249216, 0.24379700800454718, -0.24410434280275792, -0.24379700800454718]",[0.594],"[-0.4859163279749877, -0.5697009429859708, 7.4657155368736206]","[516.0722045898438, 516.0722045898438, 516.0722045898438, 516.0722045898438]"
4,0.06,"[9.935854177456349e-05, 0.00011693347914842889, -0.8640119433403015]","[0.2999550020249566, 0.299820032397223, -10.12]","[0.011088136583566666, 0.012898901477456093, -0.021857507526874542]","[4.998104287783328, 4.992418604383131, -1.9999999999999574]","[0.9985522031784058, 0.04024209454655647, -0.0356951467692852, 4.633649223251268e-05]","[[0.9974517088894249, -0.002965433534778705, -0.07128320024744078], [-0.002780355922903873, 0.9967611435995047, -0.08037096634450462], [0.07129065895689213, 0.08036435039343211, 0.9942128610772111]]","[2.8932278156280518, -2.8039536476135254, 0.014163819141685963]",[1.0],"[0.936449343468567, 0.24323949291331926, -0.2446602103552894, -0.24323949291331926]",[0.594],"[-0.9132526977515857, -1.0205971282004795, 5.925333777108474]","[650.405517578125, 613.8513793945312, 612.260986328125, 651.8905639648438]"
5,0.07,"[0.00039070486673153937, 0.000450316903879866, -0.8648665547370911]","[0.349928546043362, 0.3497142366876639, -10.14]","[0.029238879680633545, 0.033012084662914276, -0.0899413526058197]","[4.9973544018405365, 4.989420429044089, -2.000000000000135]","[0.9965607523918152, 0.06060877814888954, -0.05650915205478668, 7.664706936338916e-05]","[[0.9936134200208742, -0.007002667911281221, -0.11262030987591146], [-0.0066971340812907, 0.9926531406208304, -0.12080931591023568], [0.11263889181592307, 0.12079199086746696, 0.9862665841407964]]","[2.512795925140381, -2.673981189727783, 0.024918945506215096]",[1.0],"[0.9364492389519362, 0.24222802419051132, -0.24566330184148874, -0.24222802419051132]",[0.594],"[-1.206113872850952, -1.260035732128407, 4.25493488089511]","[650.405517578125, 613.8513793945312, 612.260986328125, 651.8905639648438]"
6,0.08,"[0.0012039742432534695, 0.001349833095446229, -0.8672494292259216]","[0.3998933418663416, 0.39957346984586345, -10.16]","[0.06376839429140091, 0.06946258246898651, -0.1781611144542694]","[4.9964795822979635, 4.9859233158199565, -1.9999999999999574]","[0.9935290813446045, 0.08161582052707672, -0.07898606359958649, 0.0001767908688634634]","[[0.9875223410930988, -0.01324431842632441, -0.15692104343085303], [-0.01254173095320976, 0.986677653264426, -0.16220330925508994], [0.15697875915773715, 0.162147453196241, 0.9742001193775691]]","[2.244274616241455, -2.3690600395202637, 0.0358223095536232]",[1.0],"[0.9364489174949655, 0.24069651695469346, -0.24716903837118454, -0.24069651695469346]",[0.594],"[-1.234250645186897, -1.212325826212283, 2.397254011475127]","[650.405517578125, 613.8513793945312, 612.260986328125, 651.8905639648438]"
7,0.09,"[0.0024405154399573803, 0.0026806562673300505, -0.8705109357833862]","[0.44984814037660237, 0.4493927459900553, -10.18]","[0.10239048302173615, 0.1091981902718544, -0.25557947158813477]","[4.995479851026074, 4.981927614419185, -1.9999999999999574]","[0.990563154220581, 0.09784190356731415, -0.09597615897655487, 0.0003751613839995116]","[[0.9815768716687949, -0.019524222964899147, -0.19006748728417255], [-0.018037738736521217, 0.9808536416395051, -0.19390918921957892], [0.19021431330521682, 0.19376516301992566, 0.9624310762925761]]","[2.1077964305877686, -2.1957406997680664, 0.044747114181518555]",[1.0],"[0.9364484283950588, 0.23923097420404285, -0.24859535559913604, -0.23923097420404285]",[0.594],"[-1.1521229953597882, -1.1058567219398574, 1.2327557419972006]","[650.405517578125, 613.8513793945312, 612.260986328125, 651.8905639648438]"
8,0.1,"[0.004305270034819841, 0.004653754644095898, -0.8748727440834045]","[0.49979169270678325, 0.4991670832341407, -10.2]","[0.14728108048439026, 0.15485365688800812, -0.32445719838142395]","[4.994355233018088, 4.977433724408542, -1.9999999999999574]","[0.987346887588501, 0.11259684711694717, -0.11165935546159744, 0.0006262437673285604]","[[0.9750635955613737, -0.02638161898492907, -0.22035197932094883], [-0.02390833996891116, 0.9746431189789871, -0.22248411607762658], [0.2206340315791215, 0.22220441221237236, 0.949708283265181]]","[1.865488052368164, -2.0200014114379883, 0.05389116331934929]",[1.0],"[0.9364476983203517, 0.23763724289208293, -0.25013050131399717, -0.23763724289208293]",[0.594],"[-1.0234071852083049, -0.9572576998718443, 0.5109760483921164]","[650.405517578125, 613.8513793945312, 612.260986328125, 651.8905639648438]"
9,0.11,"[0.007498953491449356, 0.007987670600414276, -0.8814023733139038]","[0.5497227502706772, 0.548891504185874, -10.22]","[0.209187850356102, 0.21704216301441193, -0.40055692195892334]","[4.993105756389393, 4.9724420951733235, -2.000000000000135]","[0.9834325313568115, 0.12771070003509521, -0.12864533066749573, 0.0009356982191093266]","[[0.9668990088268212, -0.034699160412646445, -0.2527889930285099], [-0.031018376372703403, 0.967378205194694, -0.25143044453982477], [0.2532669876966043, 0.25094895174307863, 0.9342807161459227]]","[1.5695099830627441, -1.8003673553466797, 0.06521615386009216]",[1.0],"[0.9367188319002044, 0.2357340277849931, -0.25099305454268434, -0.2357340277849931]",[0.594],"[-0.6606295030557732, -0.5552250785740611, -0.30838758083646134]","[650.405517578125, 613.8513793945312, 612.260986328125, 651.8905639648438]"
