t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,"[0.0, 0.0, -4.617852210998535]","[-3.7637964345791257, 3.3555868416713857, -7.2677705909313275]","[0.0, 0.0, 0.04815887659788132]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 1.0]",[0.68],"[0.0, 0.0, -9.81]","[480.2718200683594, 480.2718200683594, 480.2718200683594, 480.2718200683594]"
0.015998125076294,"[0.0, 0.0, -4.6169962882995605]","[-3.6918870803675214, 3.30133319090574, -7.246258024335602]","[0.0, 0.0, 0.06491736322641373]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 1.0]",[0.0],"[0.0, 0.0, -8.13415133714676]","[492.6512145996094, 492.6512145996094, 492.6512145996094, 492.6512145996094]"
0.031004428863525,"[0.0, 0.0, -4.6159281730651855]","[-3.6246018807273748, 3.2505585673829893, -7.226154405783234]","[0.0, 0.0, 0.07676663994789124]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[1.0],"[0.24395071584507388, -0.24395071584507388, 0.06355063496589204, 0.936449365034108]",[0.0],"[0.0, 0.0, -23.05154291608754]","[499.8336181640625, 499.8336181640625, 499.8336181640625, 499.8336181640625]"
0.047003507614136,"[0.0, 0.0, -4.6144490242004395]","[-3.5530421434948813, 3.196547877535927, -7.204800912115763]","[0.0, 0.0, 0.08908087015151978]","[0.0, 0.0, 0.0]","[0.00020065423450432718, 0.00016772632079664618, 0.0, 1.0]","[[0.9999999437357626, 6.73099930113565e-08, 0.00033545264159329236], [6.73099930113565e-08, 0.9999999194757564, -0.00040130846900865436], [-0.00033545264159329236, 0.00040130846900865436, 0.999999863211519]]","[0.23735585808753967, 0.19840508699417114, -2.0731149561470374e-06]",[0.305403374109664],"[-0.2439506986916593, 0.24395073299848746, 0.06355063496589147, 0.9364493650341079]",[0.3333333333333333],"[-0.0014779683763714126, 0.001768122091832942, -12.984469171102653]","[503.15216064453125, 503.15216064453125, 503.15216064453125, 503.15216064453125]"
0.06199836730957,"[-1.1286343806204968e-06, 1.3500728073267965e-06, -4.6129560470581055]","[-3.4861395494023175, 3.1460424596329837, -7.184862685849499]","[-0.0003199388738721609, 0.00038256222615018487, 0.1107473149895668]","[0.0, 0.0, 0.0]","[0.006323132198303938, 0.005300478544086218, -1.4670218888568343e-06, 0.9999659657478333]","[[0.999943809850103, 6.996519701678936e-05, 0.010600577740179007], [6.409730917733362e-05, 0.9999200359941013, -0.012645849542292526], [-0.01060061484487237, 0.012645818438620343, 0.999863845852813]]","[1.093382716178894, 0.9239729046821594, -0.0007389067905023694]",[1.0],"[0.24393437978385765, -0.2439670509922542, 0.06355063444359267, 0.9364493650227035]",[0.326350843527416],"[-0.1849228103742103, 0.22069119910015036, -22.06786188063073]","[476.44891357421875, 472.52569580078125, 490.8267517089844, 457.5721130371094]"
0.077032327651978,"[-1.7060285244951956e-05, 2.0329325707280077e-05, -4.6111249923706055]","[-3.4192231308128878, 3.0955171096057184, -7.164945191740324]","[-0.002053762087598443, 0.0024367489386349916, 0.13226723670959473]","[0.0, 0.0, 0.0]","[0.010810554027557373, 0.009307002648711205, -8.530510967830196e-06, 0.9998982548713684]","[[0.9998267592578546, 0.00021828699599681306, 0.018611926973959674], [0.00018416842387723514, 0.9997662636976953, -0.021619066999670866], [-0.018612295852158473, 0.021618749425718176, 0.9995930232466282]]","[0.31740012764930725, 0.3301542401313782, -0.0014192952075973153]",[0.9990691881355332],"[-0.1871384008557928, 0.24736774347458737, 0.04875784841159118, 0.9494267168305829]",[0.4610806748219328],"[-0.44163681135576055, 0.5170151974986616, -22.06518431310212]","[490.8758544921875, 477.3874206542969, 463.0863037109375, 504.3294677734375]"
0.0930016040802,"[-6.641192157985643e-05, 7.829105015844107e-05, -4.6089863777160645]","[-3.3483195852590324, 3.0419708543175816, -7.143868206256526]","[-0.004704510793089867, 0.005473825614899397, 0.15379072725772858]","[0.0, 0.0, 0.0]","[0.01662103645503521, 0.014780763536691666, -1.6252382920356467e-05, 0.9997526407241821]","[[0.9995630575302649, 0.0005238399446385886, 0.029553674492556387], [0.0004588464936678407, 0.9994474817660409, -0.03323433062024641], [-0.02955475501835239, 0.03323336972973099, 0.9990105403528656]]","[1.013051986694336, 0.9354622960090637, -0.0021494729444384575]",[0.36650594578090123],"[-0.24383370794784903, 0.24406767686643951, 0.06355060818004088, 0.9364493644492314]",[0.5507454270408663],"[-0.42133659216962127, 0.47943044351787545, -12.939806536088248]","[474.94830322265625, 473.4075927734375, 358.8101501464844, 566.4976806640625]"
0.10903000831604,"[-0.000165696837939322, 0.00019259550026617944, -4.606505870819092]","[-3.2773356202671518, 2.9883530685876374, -7.122795573131781]","[-0.008762340061366558, 0.010003297589719296, 0.17704236507415771]","[0.0, 0.0, 0.0]","[0.020149819552898407, 0.018461816012859344, -2.5553401428624056e-05, 0.9996265172958374]","[[0.999318321393062, 0.0007950922379061681, 0.03690881189492672], [0.0006929168072055364, 0.9991879682380186, -0.04028553141199816], [-0.036910871480637715, 0.04028364436321545, 0.9985062922429859]]","[-0.204238623380661, -0.06307397782802582, -0.002770048100501299]",[0.9635376569411425],"[-0.24377395765577037, 0.24412736708230284, 0.06355057385123415, 0.9364493636996525]",[0.5244255011465856],"[-0.9188319350802927, 1.0129341186729302, -21.364520680367193]","[474.8715515136719, 472.3586730957031, 80.05880737304688, 665.0918579101562]"
0.12499833106995,"[-0.0003711712488438934, 0.00042410887544974685, -4.603067398071289]","[-3.206798960599165, 2.935062392595413, -7.10188389451445]","[-0.013830847106873989, 0.015373535454273224, 0.20410433411598206]","[0.0, 0.0, 0.0]","[0.010488766245543957, 0.011225498281419277, -1.8119508240488358e-05, 0.9998819828033447]","[[0.9997479757200346, 0.0002717179945809665, 0.022447966856589254], [0.00019924851527328234, 0.9997799709086596, -0.020975463582527797], [-0.022448727061734928, 0.020974649980493344, 0.9995279479419604]]","[-1.9194955825805664, -1.5605475902557373, -0.004234605468809605]",[1.0],"[-0.1433534685299636, 0.24933942679936377, 0.03734898150582247, 0.9570186450034667]",[0.5793145206209052],"[-0.8306956381730086, 0.8396256949033306, -21.523463638921434]","[471.94482421875, 499.880126953125, 155.7267303466797, 669.7277221679688]"
0.14065384864807,"[-0.000598842918407172, 0.000672435387969017, -4.600001335144043]","[-3.137819470415596, 2.882937728751866, -7.081461168613511]","[-0.015851229429244995, 0.01687380112707615, 0.19331449270248413]","[0.0, 0.0, 0.0]","[-0.007880449295043945, -0.004687244538217783, -2.5201838070643134e-05, 0.9999579787254333]","[[0.9999560582070126, 0.0001242767439483658, -0.009373697944842049], [2.3473627719221854e-05, 0.9998757957675511, 0.01576047255139652], [0.009374492352070277, -0.01576000004268512, 0.9998318565150944]]","[-2.733128309249878, -2.5836334228515625, -0.010876745916903019]",[1.0],"[0.24922378241038842, -0.1454883247440589, 0.037900036972038795, 0.9567048870167564]",[0.6260573516630268],"[-0.06680885453283517, -0.07734142643911904, -25.313029012545492]","[523.5474853515625, 653.6321411132812, 580.75634765625, 601.6181030273438]"
0.15659332275391,"[-0.0008162714075297117, 0.0008962815627455711, -4.597431659698486]","[-3.0677670935462884, 2.8299917137262356, -7.060748583028654]","[-0.012038450688123703, 0.011969797313213348, 0.15719853341579437]","[0.0, 0.0, 0.0]","[-0.02627825364470482, -0.025362756103277206, -4.278582855476998e-05, 0.9993329048156738]","[[0.9987134575444371, 0.0014184924486905746, -0.05068942478792862], [0.00124746330335224, 0.9986189031095148, 0.05252361742956049], [0.05069392213534926, -0.052519276763423245, 0.9973323679764605]]","[-1.9536068439483643, -2.6552817821502686, -0.02010039985179901]",[0.8076567163216614],"[-0.24363222701635281, 0.24426885761092262, 0.06355043664695864, 0.9364493607037638]",[0.6634516164967241],"[0.9718925938665361, -1.1023864459043187, -25.042149515118282]","[483.17193603515625, 509.89874267578125, 665.2576293945312, 221.73974609375]"
